Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-13 00:00:00+05:30,550.0999755859375,588.7000122070312,548.75,583.2000122070312,3493020,0.0,0.0,2023-12-13,501.22750091552734,25.86801827035703,527.0955191858844,475.3594826451703,552.9635374562414,449.4914643748133,172.41052271477733,387.3915558140989,59679070,4178327.6362171387,2115600.013551041,387.72016914435477,90.48066297646008,573.5500081380209,598.3500162760417,558.4000040690105,613.5000203450521,533.5999959309896,638.300028483073,518.4499918619792,0.15165555012087062,-5.1546385855404475,13.481690481057683,5.014477589549427,8.467212891508256,77.85464027187885,24.500622569927113,533.2400085449219,501.22750091552734,498.0730010986328,476.72600341796874,STAR.NS,2023-12-13 11:03:38.161333
2,2023-12-12 00:00:00+05:30,540.0,552.9000244140625,532.6500244140625,546.9000244140625,1178906,0.0,0.0,2023-12-12,496.0125,17.694830179797695,513.7073301797977,478.3176698202023,531.4021603595954,460.6228396404046,178.56671964989994,287.509137581484,56186050,1322424.8924863557,1599918.1078845162,385.76472285059333,86.37730184003249,544.1500244140625,555.6500244140625,535.4000244140625,564.4000244140625,523.9000244140625,575.9000244140625,515.1500244140625,0.00417510268999935,-19.578668405197742,8.308830803325236,2.8976743666723634,5.411156436652872,70.89327697624503,21.366864970959206,514.0600036621094,496.0125,496.4530010986328,475.2437518310547,STAR.NS,2023-12-13 11:03:38.161333
3,2023-12-11 00:00:00+05:30,516.2999877929688,562.7000122070312,512.75,537.7000122070312,4950261,0.0,0.0,2023-12-11,492.80499877929685,13.237955340586128,506.042954119883,479.5670434387107,519.2809094604692,466.3290880981246,262.143681894342,275.2883466521741,55007144,5459489.543917134,1669291.4117340562,385.21886264076954,85.72261314582299,537.7166748046875,562.683349609375,512.7333374023438,587.6666870117188,487.76666259765625,612.6333618164062,462.7833251953125,-0.03261879709306521,-30.978929638652264,5.1351103045765285,1.544885257509145,3.5902250470673835,68.56796876021367,18.783104342162247,502.8399963378906,492.80499877929685,495.8330010986328,474.1997448730469,STAR.NS,2023-12-13 11:03:38.161333
4,2023-12-08 00:00:00+05:30,487.79998779296875,514.75,486.5,512.25,1804295,0.0,0.0,2023-12-08,490.0249984741211,8.188863985104463,498.2138624592256,481.8361344890166,506.40272644433,473.6472705039122,110.42051972141029,73.86717724881377,50056883,1895716.575512428,721741.8786882863,383.0185832210122,75.8007252252865,504.5,522.5,494.25,532.75,476.25,550.75,466.0,-0.057199762395808776,-24.375,1.900043439377498,0.6473289957422991,1.252714443635199,60.45231394655795,16.00059289576552,494.54999389648435,490.0249984741211,495.5680010986328,473.16601501464845,STAR.NS,2023-12-13 11:03:38.161333
5,2023-12-07 00:00:00+05:30,487.29998779296875,498.95001220703125,482.0,486.1499938964844,408964,0.0,0.0,2023-12-07,488.77749786376955,6.309734371316247,495.0872322350858,482.4677634924533,501.39696660640203,476.1580291211371,-80.52267541143065,-34.952678707411096,48252588,407792.5236466413,428248.20448225085,382.3353021100457,70.04991337873521,489.03333536783856,496.0666707356771,479.11665852864587,505.9833475748698,472.0833231608073,513.0166829427084,462.1666463216146,-0.2950249656380741,-72.13279134455381,0.23582958781685193,0.3341503848334993,-0.09832079701664737,47.5579935941325,14.802288469947648,492.5699951171875,488.77749786376955,496.04000061035157,472.3673513793945,STAR.NS,2023-12-13 11:03:38.161333
6,2023-12-06 00:00:00+05:30,492.95001220703125,494.70001220703125,484.6000061035156,487.29998779296875,401943,0.0,0.0,2023-12-06,488.8274978637695,6.291754005966238,495.11925186973576,482.53574385780325,501.41100587570196,476.24398985183706,-86.21080664744629,-37.78093211722472,48661552,401739.71291416796,433362.1246911532,382.21073928718704,65.78078402610257,488.8666687011719,493.1333312988281,483.0333251953125,498.9666748046875,478.76666259765625,503.23333740234375,472.9333190917969,-0.2552513135778908,-69.81892089379026,0.6720135215769005,0.3587305840876611,0.3132829374892394,48.20098615932252,14.505342721273566,492.6699951171875,488.8274978637695,496.29200073242185,471.91988189697264,STAR.NS,2023-12-13 11:03:38.161333
7,2023-12-05 00:00:00+05:30,498.20001220703125,501.6000061035156,488.25,490.79998779296875,399543,0.0,0.0,2023-12-05,488.56249847412107,6.468604939866968,495.03110341398803,482.0938935342541,501.499708353855,475.62528859438714,-31.932371791226192,-7.658409105816566,49063495,402209.1665899048,441267.72763539944,382.086665583451,71.60928151272492,493.5499979654948,498.8499959309896,485.499989827474,506.90000406901044,480.1999918619792,512.2000020345052,472.14998372395837,-0.187597340836416,-62.776669102341316,1.1070221360314463,0.2804098497153512,0.8266122863160951,50.115873610765775,14.49515763996306,492.4,488.56249847412107,496.28800109863283,471.3722134399414,STAR.NS,2023-12-13 11:03:38.161333
8,2023-12-04 00:00:00+05:30,521.0,522.0,495.3999938964844,496.25,556812,0.0,0.0,2023-12-04,487.69749908447267,7.2617315987828706,494.95923068325556,480.4357674856898,502.2209622820384,473.17403588690695,137.26938859501107,62.73147329658175,49463038,566751.9209490572,451032.36789677304,381.95892959521836,75.59726487116974,504.5499979654948,513.7000020345052,487.0999959309896,531.1500040690105,477.9499918619792,540.3000081380209,460.499989827474,-0.23310849250177276,-51.810852465660055,1.3024949509613748,0.07375677813632742,1.2287381728250475,53.17008027184185,14.121907893922831,493.4,487.69749908447267,496.2330010986328,470.8079824829102,STAR.NS,2023-12-13 11:03:38.161333
9,2023-12-01 00:00:00+05:30,489.0,505.8999938964844,489.0,502.3500061035156,833660,0.0,0.0,2023-12-01,487.97999877929686,7.708135264518204,495.68813404381507,480.27186351477866,503.3962693083333,472.56372825026045,84.09829941277334,25.885974427543008,50019850,858972.5207978543,422102.4796337019,381.7714734873836,70.15366212743582,499.0833333333333,509.16666666666663,492.26667277018225,515.9833272298176,482.18333943684894,526.066660563151,475.3666788736979,-0.09400378865947415,-19.002659388513383,0.9962809898236742,-0.23342776506993443,1.2297087548936085,56.76555864023539,12.97848084121801,493.35999755859376,487.97999877929686,496.03300109863284,470.2490484619141,STAR.NS,2023-12-13 11:03:38.161333
10,2023-11-30 00:00:00+05:30,488.0,494.8999938964844,485.20001220703125,486.6499938964844,210319,0.0,0.0,2023-11-30,486.91749877929686,7.060455850747726,493.97795463004456,479.85704292854916,501.0384104807923,472.7965870778014,-32.04094754450935,-41.194366034181535,49186190,209932.23294180227,312884.96934266377,381.4746450831647,62.138017877904936,488.9166666666667,492.6333211263021,482.933339436849,498.6166483561198,479.21668497721356,502.33330281575525,473.23335774739587,-0.1789728567915074,-61.32074462878375,-0.011619015915869113,-0.5408549537933366,0.5292359378774675,48.431444026941804,12.857005860208272,491.93999633789065,486.91749877929686,495.8650012207031,469.6291143798828,STAR.NS,2023-12-13 11:03:38.161333
11,2023-11-29 00:00:00+05:30,498.0,499.45001220703125,483.04998779296875,485.95001220703125,402370,0.0,0.0,2023-11-29,486.42749938964846,7.411341101256386,493.83884049090483,479.0161582883921,501.25018159216125,471.60481718713567,-16.658303517853355,-40.08233332929388,48975871,401052.3681506782,338623.1534428791,381.40928557590195,67.09522706113103,489.48333740234375,495.91668701171875,479.51666259765625,505.88336181640625,473.08331298828125,512.3167114257812,463.11663818359375,-0.18789140580888514,-63.207487416642195,0.24435292160876543,-0.6731639382627034,0.9175168598714688,48.0165776975466,13.698789671890138,491.97999877929686,486.42749938964846,495.4950012207031,469.26285247802736,STAR.NS,2023-12-13 11:03:38.161333
12,2023-11-28 00:00:00+05:30,498.0,502.75,493.6499938964844,495.79998779296875,189149,0.0,0.0,2023-11-28,486.57249908447267,7.429853040989986,494.00235212546266,479.14264604348267,501.43220516645266,471.7127930024927,80.90294057204055,7.786868799888199,49378241,192351.00336130726,323015.8497659293,381.28485014859353,76.16557030966133,497.3999938964844,501.1499938964844,492.04998779296875,506.5,488.29998779296875,510.25,482.9499816894531,-0.27103191896827517,-36.65769236147613,0.6373098425279409,-0.9025431532305705,1.5398529957585114,53.65687651929437,14.60532608447061,493.8799987792969,486.57249908447267,495.0910009765625,469.22300720214844,STAR.NS,2023-12-13 11:03:38.161333
13,2023-11-24 00:00:00+05:30,497.70001220703125,505.8999938964844,495.1000061035156,496.04998779296875,334528,0.0,0.0,2023-11-24,486.6949996948242,7.608059991252494,494.3030596860767,479.0869397035717,501.9111196773292,471.4788797123192,115.10814940252358,13.839915017576711,49567390,340362.58398092183,355682.06136708474,381.2207376117734,69.91075463214749,499.01666259765625,502.9333190917969,492.1333312988281,509.816650390625,488.2166748046875,513.7333068847656,481.3333435058594,-0.23448061359138533,-31.485867984104946,0.16068421626357576,-1.2875064021701983,1.448190618433774,53.80583298672292,14.482544106385115,492.8299987792969,486.6949996948242,494.3160009765625,468.93168090820313,STAR.NS,2023-12-13 11:03:38.161333
14,2023-11-23 00:00:00+05:30,491.6000061035156,502.0,487.3500061035156,495.25,413642,0.0,0.0,2023-11-23,485.67250061035156,7.658644763647866,493.33114537399945,478.0138558467037,500.9897901376473,470.35521108305585,100.7682425819978,-14.812708393458607,49232862,420177.7085086643,359511.93071362545,381.1069247738423,53.662602101852215,494.8666687011719,502.3833312988281,487.73333740234375,509.51666259765625,480.2166748046875,517.0333251953125,473.0833435058594,-0.21151423570343736,-33.37263191836835,-0.4765968388213082,-1.6495540567786418,1.1729572179573335,53.421609642621995,14.188255348564267,490.6299987792969,485.67250061035156,493.83000122070314,468.26312561035155,STAR.NS,2023-12-13 11:03:38.161333
15,2023-11-22 00:00:00+05:30,497.8500061035156,497.95001220703125,485.1499938964844,486.8500061035156,157265,0.0,0.0,2023-11-22,485.1825012207031,7.3196238442072366,492.50212506491033,477.8628773764959,499.82174890911756,470.54325353228865,57.02917566801939,-44.80263696009364,48819220,157040.31357963203,344345.4862648657,380.9668651280086,61.198305593595606,489.98333740234375,494.8166809082031,482.01666259765625,502.7833557128906,477.1833190917969,507.61669921875,469.2166442871094,-0.22149684986998583,-56.180990171046695,-1.2065018639963228,-1.942793361267975,0.7362914972716523,49.31091028405773,14.169372524389034,487.55,485.1825012207031,493.54200134277346,467.6045635986328,STAR.NS,2023-12-13 11:03:38.161333
16,2023-11-21 00:00:00+05:30,491.5,509.3999938964844,491.5,495.45001220703125,702644,0.0,0.0,2023-11-21,485.10250091552734,7.309175753687226,492.41167666921456,477.79332516184013,499.72085242290177,470.4841494081529,224.4663094880855,1.0259549951403428,48976485,714034.3095895651,391171.7794361742,380.9174453972154,61.04476068808841,498.78333536783856,506.0666707356771,488.16667683919275,516.683329264323,480.8833414713542,523.9666646321615,470.26668294270837,-0.24582367797393,-37.19642412034573,-1.295449022119783,-2.126866235585888,0.8314172134661049,53.827037859544895,14.46449443467791,487.02000122070314,485.10250091552734,493.32900146484377,466.90891204833986,STAR.NS,2023-12-13 11:03:38.161333
