Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
1,2023-07-19 00:00:00+05:30,499.79998779296875,503.0,481.0,500.1499938964844,22086,0.0,0.0,2023-07-19,489.8504756780634,488.57922716547387,1.2712485125895228,-0.947752689102194,STEELCAS.NS,2023-07-20 11:52:33.707322
2,2023-07-18 00:00:00+05:30,507.0,507.0,485.1000061035156,491.25,17164,0.0,0.0,2023-07-18,487.9778360019869,487.65356582699303,0.3242701749938419,-1.5025029895251232,STEELCAS.NS,2023-07-20 11:52:33.707322
3,2023-07-17 00:00:00+05:30,491.0,506.8500061035156,488.8500061035156,500.1499938964844,51689,0.0,0.0,2023-07-17,487.3828970932572,487.3658510931525,0.017046000104699033,-1.9591962806548642,STEELCAS.NS,2023-07-20 11:52:33.707322
4,2023-07-14 00:00:00+05:30,491.0,491.0,480.04998779296875,487.8999938964844,9203,0.0,0.0,2023-07-14,485.06160676539776,486.34311966888595,-1.281512903488192,-2.4532568508447548,STEELCAS.NS,2023-07-20 11:52:33.707322
5,2023-07-13 00:00:00+05:30,486.54998779296875,489.45001220703125,481.29998779296875,484.6499938964844,8672,0.0,0.0,2023-07-13,484.5455363779274,486.21856973067804,-1.6730333527506218,-2.7461928376838958,STEELCAS.NS,2023-07-20 11:52:33.707322
6,2023-07-12 00:00:00+05:30,496.0,496.25,474.0,479.3500061035156,36283,0.0,0.0,2023-07-12,484.5265441018262,486.34405579741355,-1.8175116955873705,-3.014482708917214,STEELCAS.NS,2023-07-20 11:52:33.707322
7,2023-07-11 00:00:00+05:30,492.79998779296875,497.1499938964844,487.04998779296875,488.79998779296875,8743,0.0,0.0,2023-07-11,485.4677328287917,486.90357977292535,-1.4358469441336297,-3.3137254622496743,STEELCAS.NS,2023-07-20 11:52:33.707322
8,2023-07-10 00:00:00+05:30,494.5,512.3499755859375,484.04998779296875,486.8999938964844,15784,0.0,0.0,2023-07-10,484.86186828985046,486.7518671313219,-1.8899988414714244,-3.783195091778685,STEELCAS.NS,2023-07-20 11:52:33.707322
9,2023-07-07 00:00:00+05:30,493.8500061035156,499.1000061035156,486.04998779296875,494.5,9928,0.0,0.0,2023-07-07,484.49129999773527,486.74001699010887,-2.248716992373602,-4.2564941543555,STEELCAS.NS,2023-07-20 11:52:33.707322
10,2023-07-06 00:00:00+05:30,504.3500061035156,504.3500061035156,485.5,493.8500061035156,18393,0.0,0.0,2023-07-06,482.67153636095986,486.1192183493176,-3.447681988357715,-4.758438444850974,STEELCAS.NS,2023-07-20 11:52:33.707322
11,2023-07-05 00:00:00+05:30,466.3500061035156,508.3999938964844,462.54998779296875,499.3500061035156,89824,0.0,0.0,2023-07-05,480.6390873168588,485.5007553289817,-4.861668012122891,-5.0861275589742885,STEELCAS.NS,2023-07-20 11:52:33.707322
12,2023-07-04 00:00:00+05:30,475.54998779296875,477.25,464.20001220703125,467.70001220703125,37669,0.0,0.0,2023-07-04,477.2371020829212,484.392815267019,-7.155713184097806,-5.142242445687137,STEELCAS.NS,2023-07-20 11:52:33.707322
13,2023-07-03 00:00:00+05:30,476.45001220703125,477.0,473.5,474.6000061035156,24447,0.0,0.0,2023-07-03,478.9711184239921,485.728239511818,-6.757121087825908,-4.63887476108447,STEELCAS.NS,2023-07-20 11:52:33.707322
14,2023-06-30 00:00:00+05:30,479.8500061035156,479.8500061035156,467.5,473.1000061035156,26477,0.0,0.0,2023-06-30,479.76586611862416,486.6184981844822,-6.8526320658580175,-4.109313179399109,STEELCAS.NS,2023-07-20 11:52:33.707322
15,2023-06-27 00:00:00+05:30,465.0,477.45001220703125,464.95001220703125,466.3999938964844,14095,0.0,0.0,2023-06-27,480.9778406668257,487.6999775509595,-6.722136884133761,-3.423483457784381,STEELCAS.NS,2023-07-20 11:52:33.707322
