Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-07 00:00:00+05:30,405.0,407.6499938964844,391.1000061035156,407.3999938964844,5318604,0.0,0.0,2023-12-07,326.33250122070314,36.88226824399313,363.21476946469625,289.45023297671,400.0970377086894,252.56796473271686,151.59247406506927,231.2339857511535,64818575,5604032.772124953,1993843.3455002906,333.01762429323054,90.39625690876326,402.0499979654948,412.999989827474,396.45000203450525,418.59998575846356,385.50001017252606,429.54997762044275,379.9000142415365,,-0.2288329519450801,21.944521228845417,12.812637969508518,9.131883259336899,80.81345380400111,37.50885592656628,376.8299987792969,326.33250122070314,313.26799865722654,340.58049926757815,SWSOLAR.NS,2023-12-07 11:04:52.986815
2,2023-12-06 00:00:00+05:30,375.0,388.25,375.0,388.25,737344,0.0,0.0,2023-12-06,320.63250122070315,32.20701474387989,352.83951596458303,288.42548647682327,385.0465307084629,256.2184717329434,150.1176680389003,208.63537318301562,59499971,740395.2218259743,1091295.9888441248,331.6809390747265,86.88870045055015,383.8333333333333,392.66666666666663,379.41666666666663,397.0833333333333,370.5833333333333,405.91666666666663,366.16666666666663,,-0.0,18.556403380331062,10.529667154674293,8.02673622565677,77.60614140333956,35.562553045741375,362.14000244140624,320.63250122070315,312.2969989013672,339.37199920654297,SWSOLAR.NS,2023-12-07 11:04:52.986815
3,2023-12-05 00:00:00+05:30,362.95001220703125,382.70001220703125,358.20001220703125,369.79998779296875,2555853,0.0,0.0,2023-12-05,315.1925018310547,29.236372055642434,344.42887388669715,285.95612977541225,373.66524594233954,256.71975771976986,140.31218023478877,185.60981681515338,58762627,2444470.252477647,1179021.1805986625,331.53965476901243,86.58156473213887,370.23333740234375,382.26666259765625,357.76666259765625,394.73333740234375,345.73333740234375,406.76666259765625,333.26666259765625,,-12.945329908260478,15.823412452260698,8.5229830982601,7.300429354000597,73.66821421405643,34.0011651488819,352.1200012207031,315.1925018310547,311.7559991455078,338.36499908447263,SWSOLAR.NS,2023-12-07 11:04:52.986815
4,2023-12-04 00:00:00+05:30,368.1000061035156,368.1000061035156,368.1000061035156,368.1000061035156,278275,0.0,0.0,2023-12-04,310.4650024414062,27.536563719806008,338.0015661612122,282.92843872160023,365.5381298810182,255.3918750017942,155.40683456677834,187.9590960345327,56206774,264924.42988601036,862658.9126289162,331.2055323700487,83.77540097994694,368.1000061035156,368.1000061035156,368.1000061035156,368.1000061035156,368.1000061035156,368.1000061035156,368.1000061035156,,-0.0,13.901653868495487,6.697875759759951,7.203778108735536,73.26598763767677,32.49704197213039,346.8300048828125,310.4650024414062,311.64899963378906,337.55149932861326,SWSOLAR.NS,2023-12-07 11:04:52.986815
5,2023-12-01 00:00:00+05:30,345.0,350.6000061035156,336.1000061035156,350.6000061035156,1693673,0.0,0.0,2023-12-01,305.27250213623046,25.83528401598615,331.1077861522166,279.4372181202443,356.9430701682028,253.60193410425816,86.55491475031091,129.4229746631991,55928499,1535760.4384091443,1012092.5333146426,331.1704192344231,79.31012649773591,345.7666727701823,355.433339436849,340.933339436849,360.2666727701823,331.2666727701823,369.933339436849,326.433339436849,,-0.0,11.39801185008315,4.896931232576066,6.5010806175070845,68.6950178168232,31.39980930128628,341.24000244140626,305.27250213623046,311.51099975585936,336.73999938964846,SWSOLAR.NS,2023-12-07 11:04:52.986815
6,2023-11-30 00:00:00+05:30,336.1000061035156,340.0,325.5,333.95001220703125,939607,0.0,0.0,2023-11-30,300.7200012207031,25.446782977106103,326.16678419780925,275.273218243597,351.6135671749153,249.82643526649093,51.52106389918985,92.2658522450178,54234826,811539.568273776,881175.5570410171,331.05721825502883,73.20716799872723,333.15000406901044,340.80000813802087,326.30000813802087,347.65000406901044,318.65000406901044,355.30000813802087,311.80000813802087,,-21.65222656277003,9.743379086357095,3.271661078199295,6.4717180081578,63.12483140093453,31.014561669380885,337.2200012207031,300.7200012207031,311.7129998779297,336.14499938964843,SWSOLAR.NS,2023-12-07 11:04:52.986815
7,2023-11-29 00:00:00+05:30,345.79998779296875,350.20001220703125,330.6499938964844,338.1499938964844,681765,0.0,0.0,2023-11-29,297.17250061035156,25.515842513317864,322.6883431236694,271.6566580970337,348.2041856369873,246.14081558371583,90.74617103751561,106.76521305172848,55174433,596246.8232976536,898584.5542328273,331.0478377371674,80.84469467315589,339.6666666666667,348.683339436849,329.1333211263021,359.21668497721356,320.1166483561198,368.23335774739587,309.58330281575525,,-16.055983172030047,9.117092915234934,1.653731576159845,7.46336133907509,65.870166742224,31.200419360125764,333.38999633789064,297.17250061035156,312.3549993896484,335.7034991455078,SWSOLAR.NS,2023-12-07 11:04:52.986815
8,2023-11-28 00:00:00+05:30,343.6499938964844,350.0,335.8500061035156,343.3500061035156,925562,0.0,0.0,2023-11-28,293.76750030517576,24.27333534654796,318.04083565172374,269.4941649586278,342.31417099827166,245.22082961207985,136.15401925271593,113.86682529725515,55856198,821910.573815402,974168.9869666207,331.0310878829487,87.41053193421624,343.06667073567706,350.2833353678385,336.13334147135413,357.21666463216144,328.9166768391927,364.4333292643229,321.98334757486975,,-8.884426658947236,7.763484500742493,-0.21210875860892742,7.97559325935142,69.33697170394788,30.820357886051497,325.72999877929686,293.76750030517576,312.75499938964845,335.2084991455078,SWSOLAR.NS,2023-12-07 11:04:52.986815
9,2023-11-24 00:00:00+05:30,340.0,347.0,326.3999938964844,340.1499938964844,3531130,0.0,0.0,2023-11-24,290.4074996948242,21.54659691882031,311.9540966136445,268.8609027760039,333.5006935324648,247.31430585718357,172.5673401575494,97.47297798682372,54930636,3106462.8654029067,1012233.5902544253,330.9915187123586,86.93155937647907,337.84999593098956,349.29999796549475,328.69999186197913,358.4500020345052,317.24998982747394,369.9000040690104,308.0999857584635,,-9.194639065121644,5.400704578453713,-2.2060070734467825,7.606711651900495,68.38619311287789,29.801633799297775,317.6699951171875,290.4074996948242,313.2859991455078,334.6849990844727,SWSOLAR.NS,2023-12-07 11:04:52.986815
10,2023-11-23 00:00:00+05:30,330.5,330.5,330.5,330.5,191910,0.0,0.0,2023-11-23,287.4800003051758,18.14084095029079,305.6208412554666,269.339159354885,323.7616822057574,251.1983184045942,197.8854711015971,74.32269345850882,51399506,164040.49140365576,488676.2714673048,330.8778945639506,83.05264912200795,330.5,330.5,330.5,330.5,330.5,330.5,330.5,,-0.0,2.6089541441180586,-4.107684986421907,6.716639130539965,65.38024869678898,28.84300246612711,309.9699951171875,287.4800003051758,314.2509991455078,334.17599914550783,SWSOLAR.NS,2023-12-07 11:04:52.986815
