Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-02 00:00:00+05:30,229.64999389648438,231.39999389648438,229.39999389648438,230.1999969482422,37243,0.0,0.0,2023-11-02,234.51499862670897,8.059304712646679,242.57430333935565,226.4556939140623,250.63360805200233,218.39638920141562,42.46949497653161,-60.82451618450837,36863176,58986.16887227869,132046.9304591753,192.59460916093684,27.755720465343018,230.3333282470703,231.26666259765625,229.26666259765625,232.3333282470703,228.3333282470703,233.26666259765625,227.26666259765625,-0.08090499903668015,-52.3160723291608,-2.5660693244448396,-2.079385556208824,-0.48668376823601545,45.87415330223243,21.023145734784503,228.5199951171875,234.51499862670897,234.68350708007813,241.61787002563477,TAJGVK.NS,2023-11-02 11:11:06.027794
2,2023-11-01 00:00:00+05:30,228.0,231.1999969482422,226.75,229.64999389648438,41939,0.0,0.0,2023-11-01,234.81749877929687,8.002158656158532,242.8196574354554,226.81534012313833,250.82181609161393,218.8131814669798,7.352908977329374,-79.26656168018623,36825933,66265.08026425983,150312.12085589944,192.58259768706256,39.56273324173782,229.1999969482422,231.64999389648438,227.1999969482422,233.64999389648438,224.75,236.09999084472656,222.75,-0.06464237193982925,-53.814718371375676,-2.775248413011127,-1.9577146141498205,-0.8175337988613065,45.07877902563716,21.76622875300935,226.6999969482422,234.81749877929687,234.6584442138672,241.73230987548828,TAJGVK.NS,2023-11-02 11:11:06.027794
3,2023-10-31 00:00:00+05:30,226.1999969482422,230.35000610351562,226.1999969482422,227.89999389648438,33510,0.0,0.0,2023-10-31,235.14999923706054,7.913811714252083,243.06381095131263,227.23618752280845,250.9776226655647,219.3223758085564,-18.20443222840355,-98.19714866398516,36783994,52543.49543212343,171323.8810038093,192.56926038583757,42.36213955390904,228.1499989827474,230.10000101725262,225.94999186197919,232.30000813802084,223.99998982747397,234.25001017252606,221.79998270670575,-0.06516210164391618,-58.58311113845959,-2.946844848381005,-1.7533311644344935,-1.1935136839465115,42.58605078012233,22.5204486024941,225.5199981689453,235.14999923706054,234.73102081298828,241.85274780273437,TAJGVK.NS,2023-11-02 11:11:06.027794
4,2023-10-30 00:00:00+05:30,227.1999969482422,230.60000610351562,222.5,227.64999389648438,66788,0.0,0.0,2023-10-30,235.52999954223634,7.727639455674457,243.2576389979108,227.8023600865619,250.98527845358527,220.0747206308874,-40.212532420929385,-120.62503427943524,36750484,104608.3376658199,201018.97739673077,192.55910001014786,43.98987094064536,226.91666666666666,231.33333333333331,223.2333272298177,235.01667277018228,218.81666056315103,239.43333943684894,215.13332112630206,-0.06790649735917897,-59.26431010518587,-2.94954263535638,-1.4549527434478655,-1.4945898919085145,42.23828076118234,23.146125129478662,224.35,235.52999954223634,234.82465545654296,242.0001463317871,TAJGVK.NS,2023-11-02 11:11:06.027794
5,2023-10-27 00:00:00+05:30,221.4499969482422,228.9499969482422,221.4499969482422,227.1999969482422,59061,0.0,0.0,2023-10-27,235.9125,7.503136526553043,243.41563652655304,228.40936347344694,250.9187730531061,220.9062269468939,-60.76689852947693,-144.293911001373,36683696,92322.87844926628,225121.6373294585,192.53897553562066,37.90223463502927,225.86666361490884,230.2833302815755,222.7833302815755,233.36666361490884,218.36666361490884,237.7833302815755,215.2833302815755,-0.07232564238417537,-60.49045992987609,-2.8836853681452226,-1.0813052704707369,-1.8023800976744857,41.64750595986342,23.81993062007742,225.35,235.9125,234.95515716552734,242.08232681274413,TAJGVK.NS,2023-11-02 11:11:06.027794
6,2023-10-26 00:00:00+05:30,222.5,222.5,212.6999969482422,221.10000610351562,167995,0.0,0.0,2023-10-26,236.35,7.2180682230520095,243.568068223052,229.131931776948,250.78613644610402,221.91386355389596,-132.5490591145526,-257.78764270011595,36624635,255555.5575333247,258321.32704950654,192.5213884394516,54.43689239300608,218.76666768391928,224.83333841959637,215.03333536783856,228.5666707356771,208.96666463216147,234.63334147135419,205.23333231608075,-0.05690096316767867,-77.14283223054846,-2.711358025553409,-0.6307102460521155,-2.0806477795012936,33.02514336839246,24.2145368702592,227.23999938964843,236.35,235.08868408203125,242.16004455566406,TAJGVK.NS,2023-11-02 11:11:06.027794
7,2023-10-25 00:00:00+05:30,222.0500030517578,225.85000610351562,216.35000610351562,223.75,92967,0.0,0.0,2023-10-25,236.73999938964843,6.5285121832140645,243.2685115728625,230.21148720643436,249.79702375607656,223.6829750232203,-161.4104614356998,-232.3197957639369,36792630,143117.28206592056,259012.76942855195,192.48008208967966,55.666492918248615,221.98333740234375,227.61666870117188,218.11666870117188,231.48333740234375,212.48333740234375,237.11666870117188,208.61666870117188,-0.09244599143470679,-77.64351678766906,-1.848888950321765,-0.11054830117679199,-1.7383406491449729,35.11845361281182,23.195510315417913,230.70999755859376,236.73999938964843,235.44578765869142,242.28482025146485,TAJGVK.NS,2023-11-02 11:11:06.027794
8,2023-10-23 00:00:00+05:30,231.25,233.8000030517578,220.0,222.0500030517578,249819,0.0,0.0,2023-10-23,236.98999938964843,6.085608395415277,243.0756077850637,230.90439099423315,249.161216180479,224.81878259881788,-208.87330711408202,-195.21077776127436,36699663,381659.84390356124,287986.6412692098,192.45505085276736,55.17235774475129,225.28333536783853,230.56667073567706,216.76666768391925,239.08333841959634,211.48333231608072,244.36667378743488,202.96666463216144,-0.12711463536267828,-93.03903815215786,-0.9776379581968797,0.3240368611094513,-1.301674819306331,32.57253763555238,22.534136101023698,233.88999633789064,236.98999938964843,235.62043029785156,242.37413330078124,TAJGVK.NS,2023-11-02 11:11:06.027794
9,2023-10-20 00:00:00+05:30,236.64999389648438,237.85000610351562,231.14999389648438,232.64999389648438,108540,0.0,0.0,2023-10-20,237.46249923706054,5.161239354991213,242.62373859205175,232.30125988206933,247.78497794704296,227.14002052707812,-151.95713946604087,-55.15458074246542,36949482,173737.30560108047,264568.3406106219,192.39125314714863,61.94099722682122,233.88333129882812,236.61666870117188,229.91665649414062,240.58334350585938,227.18331909179688,243.31668090820312,223.21664428710938,-0.069689345547613,-91.80328005543193,0.32006396538380955,0.649455565936034,-0.3293916005522245,42.14835242366618,22.3040610578885,238.58999633789062,237.46249923706054,236.1985348510742,242.54368301391602,TAJGVK.NS,2023-11-02 11:11:06.027794
10,2023-10-19 00:00:00+05:30,238.0,240.8000030517578,234.6999969482422,236.64999389648438,113343,0.0,0.0,2023-10-19,237.36749954223632,5.27080529862784,242.63830484086415,232.09669424360848,247.909110139492,226.82588894498065,-124.3446469853945,7.476054891943424,37058022,184544.63341999016,287276.09936300723,192.3535116691008,64.99933134369465,237.38333129882812,240.06666564941406,233.96665954589844,243.48333740234375,231.2833251953125,246.1666717529297,227.8666534423828,-0.06322445815419601,-72.9344776408786,0.9327277242696255,0.7318034660740902,0.20092425819553528,46.98883005589671,23.96320505961435,241.38999633789064,237.36749954223632,237.07451690673827,242.56341537475586,TAJGVK.NS,2023-11-02 11:11:06.027794
11,2023-10-18 00:00:00+05:30,240.85000610351562,243.4499969482422,235.3000030517578,238.4499969482422,124424,0.0,0.0,2023-10-18,237.16500015258788,5.376559458990887,242.54155961157878,231.78844069359698,247.91811907056965,226.4118812346061,-64.54357040691238,39.12104453448337,37171365,204127.585911365,312958.9658487615,192.31010482553344,68.39522242226695,239.06666564941406,242.8333282470703,234.68333435058594,247.21665954589844,230.9166717529297,250.9833221435547,226.53334045410156,-0.06138804393779895,-62.67805177901799,1.309051359142046,0.6815724015252063,0.6274789576168398,49.35740862483624,24.848179476781922,243.1699981689453,237.16500015258788,237.89240814208983,242.62032638549806,TAJGVK.NS,2023-11-02 11:11:06.027794
12,2023-10-17 00:00:00+05:30,245.5500030517578,248.3000030517578,238.10000610351562,239.64999389648438,197616,0.0,0.0,2023-10-17,237.0375,5.374718298567472,242.41221829856747,231.66278170143252,247.78693659713494,226.28806340286505,16.983773493719955,92.93827280189606,37295789,325836.5103663153,340166.8108331106,192.2604178653258,72.654295794302,242.01666768391928,245.93332926432294,235.73333231608075,252.21666463216147,231.8166707356771,256.1333262125651,225.53333536783856,-0.06004295693617969,-47.00243335711803,1.593752509917124,0.5247026621209963,1.0690498477961277,50.94719019543041,25.640287585122728,243.78999938964844,237.0375,238.62649780273438,242.4520997619629,TAJGVK.NS,2023-11-02 11:11:06.027794
13,2023-10-16 00:00:00+05:30,248.25,248.25,244.0,245.5500030517578,136427,0.0,0.0,2023-10-16,236.73500061035156,5.390173619431115,242.1251742297827,231.34482699092044,247.51534784921378,225.95465337148934,101.23224837420223,168.72796039825178,37493405,230483.84604438097,343749.3859498094,192.1792264613631,76.5634698843928,245.93333435058594,247.86666870117188,243.61666870117188,250.18333435058594,241.68333435058594,252.11666870117188,239.36666870117188,-0.026554180085173188,-16.883097152286076,1.8159269730534788,0.2574402001719643,1.5584867728815146,59.73071669703701,25.72065441524963,244.01000061035157,236.73500061035156,239.33160827636718,242.31519271850587,TAJGVK.NS,2023-11-02 11:11:06.027794
14,2023-10-13 00:00:00+05:30,244.1999969482422,249.39999389648438,243.0,246.64999389648438,211579,0.0,0.0,2023-10-13,236.17000045776368,4.995323696626974,241.16532415439065,231.1746767611367,246.16064785101761,226.17935306450974,133.46622530264915,193.6315160560328,37629832,359049.1380571558,372065.7709261665,192.11602560606926,78.0626036335017,246.3499959309896,249.69999186197919,243.2999979654948,252.74998982747397,239.95000203450522,256.09998575846356,236.90000406901044,-0.005309497184498342,-12.121230136318509,1.491802058700273,-0.13218149304841437,1.6239835517486874,61.56836452838938,23.82223243381588,242.21000061035156,236.17000045776368,239.92768157958983,242.1332275390625,TAJGVK.NS,2023-11-02 11:11:06.027794
15,2023-10-12 00:00:00+05:30,242.6999969482422,248.89999389648438,238.5,245.5500030517578,341795,0.0,0.0,2023-10-12,235.33000106811522,4.531248256725524,239.86124932484074,230.7987528113897,244.39249758156626,226.26750455466419,131.54794167449327,173.81286119923533,37418253,577438.6753262858,375319.92914341914,192.0156895370695,74.51736767143949,244.31666564941406,250.13333129882812,239.73333740234375,254.71665954589844,233.9166717529297,260.5333251953125,229.33334350585938,-0.04597794173351938,-16.883097152286076,0.9458884554841234,-0.5381773809855862,1.4840658364697097,60.43816183135626,21.777777992271844,241.37000122070313,235.33000106811522,240.56648529052734,242.02739974975586,TAJGVK.NS,2023-11-02 11:11:06.027794
16,2023-10-11 00:00:00+05:30,243.0,244.9499969482422,238.8000030517578,241.5500030517578,131861,0.0,0.0,2023-10-11,234.66500091552734,3.8818434747897124,238.54684439031706,230.78315744073763,242.42868786510678,226.9013139659479,109.10874150859185,134.84563060149125,37076458,219140.99619309508,324790.2425977024,191.85609864172483,68.55224975812857,241.76666768391928,244.73333231608075,238.58333841959637,247.91666158040366,235.6166737874349,250.88332621256512,232.433344523112,-0.12960340611047774,-34.19912133120106,0.340954403415509,-0.9091938401030135,1.2501482435185225,56.076555260036784,19.634685671811763,239.1300018310547,234.66500091552734,241.12471618652344,241.98435623168945,TAJGVK.NS,2023-11-02 11:11:06.027794
