Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-04 00:00:00+05:30,132.1999969482422,132.35000610351562,130.39999389648438,131.0,41219613,0.0,0.0,2023-12-04,124.14500007629394,3.957632996793923,128.10263307308787,120.18736707950002,132.06026606988178,116.22973408270609,188.8160659248149,163.13304393599833,2235149463,53002239.06628634,37881937.07702784,107.07034717352295,91.21454466913931,131.25,132.10000610351562,130.14999389648438,133.20001220703125,129.29998779296875,134.05001831054688,128.19998168945312,0.2117402433282245,-10.84341853127162,1.7768832912005479,0.9725478764371862,0.8043354147633617,72.13864394458344,25.539349777368095,128.7,124.14500007629394,124.395,122.76799980163574,TATASTEEL.NS,2023-12-04 11:05:04.768080
2,2023-12-01 00:00:00+05:30,128.89999389648438,130.3000030517578,128.0500030517578,130.0,31192397,0.0,0.0,2023-12-01,123.5,3.8307951507749065,127.3307951507749,119.6692048492251,131.1615903015498,115.83840969845019,189.1653999510596,132.5285070409636,2193929850,39802569.833933264,34101861.57971321,107.03440221018084,90.71208382178779,129.45000203450522,130.85000101725262,128.60000101725262,131.70000203450522,127.20000203450522,133.10000101725262,126.35000101725262,0.327432018935574,-2.6087221891983696,1.5257538047558938,0.7714640227463457,0.7542897820095481,70.0745683723212,23.718209067923528,127.68999938964843,123.5,124.38399993896485,122.57399978637696,TATASTEEL.NS,2023-12-04 11:05:04.768080
3,2023-11-30 00:00:00+05:30,127.80000305175781,128.85000610351562,126.5,127.9000015258789,40165104,0.0,0.0,2023-11-30,122.82999992370605,3.8058601439391544,126.63586006764521,119.0241397797669,130.44172021158437,115.21827963582774,126.4238978208744,96.54556825753772,2162737453,50424134.95830642,32676684.516158197,107.0082674700911,90.439688581649,127.75000254313152,129.00000508626303,126.6499989827474,130.10000864664715,125.39999643961589,131.35001118977866,124.29999287923178,0.26301571124496015,-9.452778996624849,1.2795993288569463,0.5828915772439587,0.6967077516129876,65.02144611835442,22.478940187551533,127.02999877929688,122.82999992370605,124.42299987792968,122.40049980163575,TATASTEEL.NS,2023-12-04 11:05:04.768080
4,2023-11-29 00:00:00+05:30,127.1500015258789,128.14999389648438,126.69999694824219,127.75,23092165,0.0,0.0,2023-11-29,122.37249984741212,3.7131502726936643,126.08565012010578,118.65934957471845,129.79880039279945,114.94619930202478,122.04289034421681,90.6471008637477,2122572349,28956400.301460914,28239821.90562114,106.97760889793744,83.3874519248879,127.53333028157552,128.36666361490884,126.91666666666666,128.9833272298177,126.08333333333333,129.81666056315103,125.46666971842447,0.23263827669198897,-4.166607061965048,1.1518771703640596,0.4087146393407118,0.7431625310233478,64.62525938616656,21.783762349715197,126.66999816894531,122.37249984741212,124.49899978637696,122.25099975585937,TATASTEEL.NS,2023-12-04 11:05:04.768080
5,2023-11-28 00:00:00+05:30,127.0,127.0,126.0,126.8499984741211,18377843,0.0,0.0,2023-11-28,121.94249992370605,3.5521024379043538,125.4946023616104,118.3903974858017,129.04670479951477,114.83829504789735,81.12960100175042,70.39909892390524,2099480184,22882528.630124073,28060677.306661192,106.96006822477649,83.4425714428673,126.61666615804036,127.23333231608072,126.23333231608072,127.61666615804036,125.61666615804036,128.23333231608072,125.23333231608072,0.1862359904031197,-6.11114501953125,0.9856742969579955,0.22292400658487482,0.7627502903731207,62.24257211007298,21.382887275691203,126.36999816894532,121.94249992370605,124.53499984741211,122.09749977111817,TATASTEEL.NS,2023-12-04 11:05:04.768080
6,2023-11-24 00:00:00+05:30,126.69999694824219,127.0,125.55000305175781,125.94999694824219,14719450,0.0,0.0,2023-11-24,121.59500007629394,3.3826518533753394,124.97765192966928,118.2123482229186,128.36030378304463,114.82969636954326,69.86765991123418,59.23584275001622,2081102341,18197375.424909536,29355214.47579547,106.94669257563042,83.82614435066628,126.16666666666667,126.78333028157553,125.33333333333334,127.61666361490886,124.71666971842448,128.23332722981772,123.88333638509116,0.12521173572013328,-14.64650862776498,0.8465863093586279,0.03223643399159462,0.8143498753670333,59.723498625279724,21.58005997204605,125.86999816894532,121.59500007629394,124.57799987792968,121.95999977111816,TATASTEEL.NS,2023-12-04 11:05:04.768080
7,2023-11-23 00:00:00+05:30,126.3499984741211,127.4000015258789,125.9000015258789,126.69999694824219,30736851,0.0,0.0,2023-11-23,121.29250030517578,3.2402179731944085,124.53271827837018,118.05228233198137,127.7729362515646,114.81206435878696,91.8932620309819,67.13711370991136,2095821791,38225659.52803388,32144674.238516953,106.93645158994971,88.68408236194344,126.66666666666667,127.43333180745444,125.93333180745444,128.16666666666669,125.16666666666667,128.93333180745444,124.43333180745444,0.13208604312557815,-6.7961589343146365,0.7443209859754063,-0.17135103485016367,0.91567202082557,62.97465850275888,21.792399798889736,125.71999816894531,121.29250030517578,124.68199981689453,121.82049980163575,TATASTEEL.NS,2023-12-04 11:05:04.768080
8,2023-11-22 00:00:00+05:30,126.4000015258789,126.9000015258789,125.5,126.0999984741211,19588063,0.0,0.0,2023-11-22,121.02500038146972,2.9807487550457905,124.00574913651552,118.04425162642393,126.9864978915613,115.06350287137815,90.40250560680131,55.823853951727536,2065084940,24245189.587503903,30624427.916137718,106.91418599630154,72.44074334828674,126.16666666666667,126.83333333333334,125.43333180745444,127.56666819254558,124.76666514078777,128.23333485921225,124.03333028157553,0.10911987879060775,-6.504088237957655,0.5282491554927304,-0.40026904005655617,0.9285181955492866,61.41429857388553,21.74433939655508,125.31999816894532,121.02500038146972,124.73799987792968,121.66099983215332,TATASTEEL.NS,2023-12-04 11:05:04.768080
9,2023-11-21 00:00:00+05:30,125.05000305175781,126.4000015258789,124.94999694824219,126.25,29643312,0.0,0.0,2023-11-21,120.72000045776367,2.73617982582535,123.45618028358902,117.98382063193833,126.19236010941438,115.24764080611297,99.90865976432816,48.690427922790924,2084673003,36734752.89843136,32219237.498296168,106.90040141247712,66.82504342728566,125.86666615804036,126.78333536783853,125.33333079020181,127.31667073567708,124.41666158040364,128.23333994547525,123.8833262125651,0.06711179185688865,-1.2711990430931368,0.3026987198943516,-0.6323985889438778,0.9350973088382294,62.021063191946716,21.942307052728253,124.90999908447266,120.72000045776367,124.81899978637695,121.49849983215331,TATASTEEL.NS,2023-12-04 11:05:04.768080
10,2023-11-20 00:00:00+05:30,125.05000305175781,125.6500015258789,124.05000305175781,124.3499984741211,18780290,0.0,0.0,2023-11-20,120.56250038146973,2.4797526498667195,123.04225303133646,118.082747731603,125.52200568120317,115.6029950817363,93.14304481242038,21.9298438990672,2055029691,22922769.613221228,31090358.648262367,106.87933972711208,60.60194214197995,124.68333435058594,125.31666564941406,123.71666717529297,126.28333282470703,123.08333587646484,126.91666412353516,122.11666870117188,-0.013260725234649395,-12.55606577837262,-0.005433408077919921,-0.8661729161534351,0.8607395080755151,57.02738966543138,22.4068604310841,123.85999908447266,120.56250038146973,124.88599990844726,121.33199981689454,TATASTEEL.NS,2023-12-04 11:05:04.768080
11,2023-11-17 00:00:00+05:30,124.69999694824219,125.75,124.30000305175781,125.19999694824219,23319439,0.0,0.0,2023-11-17,120.64500045776367,2.6349815332800217,123.2799819910437,118.01001892448365,125.91496352432371,115.37503739120363,138.52813574008746,27.08482205406279,2073809981,28657706.308762442,33132255.907022648,106.86728366149183,60.72137255410128,125.08333333333333,125.86666361490884,124.41666666666666,126.53333028157552,123.63333638509114,127.31666056315103,122.96666971842447,0.035138308975402564,-4.932762120985075,-0.21273221849254753,-1.0813577931723137,0.8686255746797662,60.322238015437485,23.29314188587612,123.0,120.64500045776367,125.03299987792968,121.19949981689453,TATASTEEL.NS,2023-12-04 11:05:04.768080
12,2023-11-16 00:00:00+05:30,124.0,125.25,123.0,124.69999694824219,30836413,0.0,0.0,2023-11-16,120.74000053405761,2.8345419383663626,123.57454247242397,117.90545859569126,126.40908441079034,115.07091665732489,172.6907123544665,7.616321134951203,2050490542,37744120.27944204,34250893.306587696,106.85156153942356,61.12776363630134,124.31666564941406,125.63333129882812,123.38333129882812,126.56666564941406,122.06666564941406,127.88333129882812,121.13333129882812,0.006942859753226889,-5.164347163907309,-0.5586262691490873,-1.2985141868422554,0.7398879176931681,59.02925692518379,24.087103193066778,121.89000091552734,120.74000053405761,125.16399993896485,121.05049987792968,TATASTEEL.NS,2023-12-04 11:05:04.768080
13,2023-11-15 00:00:00+05:30,121.69999694824219,124.4000015258789,121.5,124.05000305175781,38344393,0.0,0.0,2023-11-15,120.87500076293945,3.0861956855576573,123.9611964484971,117.7888050773818,127.04739213405476,114.70260939182414,208.767347727666,-14.843128925535982,2019654129,46689331.68893646,33377586.56337411,106.83129763569096,52.71974855523127,123.31666819254558,125.13333638509116,122.23333485921225,126.21666971842448,120.41666666666667,128.03333791097006,119.33333333333334,-0.040472697636758447,-3.5714118890842084,-0.9437690117449762,-1.4834861662655474,0.5397171545205712,57.35158687767656,25.184544488103775,120.76000213623047,120.87500076293945,125.21100006103515,120.90988929748535,TATASTEEL.NS,2023-12-04 11:05:04.768080
14,2023-11-13 00:00:00+05:30,120.8499984741211,121.25,119.9000015258789,121.0,17951775,0.0,0.0,2023-11-13,121.02250061035156,3.3084208699508233,124.33092148030238,117.71407974040073,127.6393423502532,114.40565887044991,129.42003818508647,-64.80548255641068,1981309736,21321206.561908573,30049650.28198352,106.80695458383997,51.3373857480609,120.71666717529297,121.53333282470703,120.18333435058594,122.06666564941406,119.36666870117188,122.88333129882812,118.83333587646484,-0.05995551746567572,-21.95124447450714,-1.3585543512973999,-1.6184154548956902,0.2598611035982903,48.089996536661815,26.786953168563514,119.88000183105468,121.02250061035156,125.18800003051757,120.77432601928712,TATASTEEL.NS,2023-12-04 11:05:04.768080
15,2023-11-10 00:00:00+05:30,119.5,120.44999694824219,118.80000305175781,120.05000305175781,23584510,0.0,0.0,2023-11-10,121.22500076293946,3.4287289942476913,124.65372975718715,117.79627176869177,128.08245875143484,114.36754277444408,73.79329286497641,-85.87762100667422,1963357961,27791247.636640932,32231761.212002255,106.79755425175274,45.354704601166176,119.76666768391927,120.73333231608072,119.08333841959634,121.41666158040364,118.11667378743489,122.3833262125651,117.43334452311197,-0.06934510254702875,-38.068151276969466,-1.5686420331831101,-1.6833807307952626,0.1147386976121525,44.61107435002153,27.242797478301,119.56000213623047,121.22500076293946,125.21,120.6707154083252,TATASTEEL.NS,2023-12-04 11:05:04.768080
16,2023-11-09 00:00:00+05:30,119.19999694824219,120.5,118.8499984741211,119.6500015258789,22979112,0.0,0.0,2023-11-09,121.5175006866455,3.5698397148798895,125.0873404015254,117.94766097176561,128.65718011640527,114.37782125688572,58.780791442916076,-93.45066203374635,1939773451,26987643.30030818,33341889.605842583,106.786012778224,38.877526710103716,119.66666666666667,120.48333485921225,118.83333333333334,121.31666819254558,118.01666514078777,122.13333638509116,117.18333180745444,-0.09498983725709022,-54.708499007494595,-1.7202903198889459,-1.7120654051983009,-0.008224914690645013,43.12068507484454,27.11741090485714,119.01000213623047,121.5175006866455,125.2,120.57176277160644,TATASTEEL.NS,2023-12-04 11:05:04.768080
17,2023-11-08 00:00:00+05:30,119.75,120.5,118.55000305175781,119.05000305175781,22552386,0.0,0.0,2023-11-08,121.78250045776367,3.620274314303422,125.40277477206709,118.16222614346026,129.02304908637052,114.54195182915683,34.61364930949478,-105.38027657195983,1916794339,26353658.752916515,34930451.18222618,106.77508791942417,32.695521475940396,119.36666870117188,120.18333435058594,118.23333740234375,121.31666564941406,117.41667175292969,122.13333129882812,116.28334045410156,-0.12299233837948277,-62.605008344248496,-1.8489869863819877,-1.7100091765256393,-0.13897780985634833,40.90592179966533,27.003507604231046,118.7000015258789,121.78250045776367,125.15899993896484,120.47729438781738,TATASTEEL.NS,2023-12-04 11:05:04.768080
18,2023-11-07 00:00:00+05:30,119.30000305175781,120.19999694824219,118.4000015258789,119.6500015258789,25818033,0.0,0.0,2023-11-07,122.09500045776367,3.6416775597187443,125.73667801748242,118.45332289804493,129.37835557720118,114.81164533832619,18.452353380168887,-111.89937289361897,1939346725,30321792.47481737,37074649.2895536,106.76484838845812,32.711123201054335,119.41666666666667,120.43333180745444,118.63333638509116,121.21666208902995,117.61667124430339,122.23332722981772,116.83334096272787,-0.08059844405165945,-64.18437164353949,-1.9266520053288616,-1.6752647240615521,-0.25138728126730947,42.44042572930106,26.8808425112491,118.21000061035156,122.09500045776367,125.11599990844726,120.36316352844239,TATASTEEL.NS,2023-12-04 11:05:04.768080
19,2023-11-06 00:00:00+05:30,118.5,119.6500015258789,117.5,119.4000015258789,27883152,0.0,0.0,2023-11-06,122.30500030517578,3.614258991334912,125.91925929651069,118.69074131384087,129.5335182878456,115.07648232250595,-21.75982430766523,-130.75146132195871,1913528692,32678732.969415996,38762863.49323765,106.7525316209388,32.725920180979,118.85000101725261,120.20000203450522,118.05000050862631,121.00000254313152,116.6999994913737,122.35000356038412,115.8999989827474,-0.09549395241887854,-65.95742148080612,-2.0559858261996027,-1.6124179037447246,-0.4435679224548781,41.592704630902816,26.54706441115254,118.03000030517578,122.30500030517578,125.08799987792969,120.22705421447753,TATASTEEL.NS,2023-12-04 11:05:04.768080
20,2023-11-03 00:00:00+05:30,118.19999694824219,118.5999984741211,117.0999984741211,117.30000305175781,31747230,0.0,0.0,2023-11-03,122.63000030517578,3.631492435998692,126.26149274117448,118.99850786917709,129.89298517717316,115.3670154331784,-87.67904302719404,-163.82010210721393,1885645540,36552987.06623065,40283896.124193065,106.73946154522545,32.33671664955283,117.66666666666667,118.23333485921225,116.73333485921225,119.16666666666667,116.16666666666667,119.73333485921225,115.23333485921225,-0.14038842271251073,-80.85102929200835,-2.1657997964628777,-1.501525923131005,-0.6642738733318727,34.01228767867538,25.824690582851357,117.98000030517578,122.63000030517578,125.07899978637695,120.08763458251953,TATASTEEL.NS,2023-12-04 11:05:04.768080
21,2023-11-02 00:00:00+05:30,114.5999984741211,118.55000305175781,114.5999984741211,118.0999984741211,72538804,0.0,0.0,2023-11-02,123.02750015258789,3.4478247455703603,126.47532489815825,119.57967540701753,129.9231496437286,116.13185066144717,-117.40893519334043,-188.8370080084095,1917392770,84089020.51884955,41216623.38868366,106.7270211003351,25.24142471161342,117.08333333333333,119.56666819254556,115.61666361490884,121.03333791097005,113.13332875569661,123.51667277018228,111.66665903727213,-0.10613725604205236,-75.17730227826732,-2.0667617753870644,-1.3354574547980367,-0.7313043205890277,35.64894867804763,24.334877620640974,118.5,123.02750015258789,125.08399978637695,119.99100372314453,TATASTEEL.NS,2023-12-04 11:05:04.768080
22,2023-11-01 00:00:00+05:30,119.0,119.0999984741211,116.0,116.5999984741211,24717941,0.0,0.0,2023-11-01,123.38750038146972,3.2779519230500256,126.66545230451975,120.1095484584197,129.94340422756977,116.83159653536967,-119.74603228514614,-202.34185860524173,1844853966,28289798.03776099,30498524.106142186,106.69632671191265,34.07808466646284,117.23333231608073,118.46666463216147,115.36666615804037,120.33333079020183,114.13333384195964,121.56666310628256,112.26666768391928,-0.24580799658859398,-95.27560143072208,-1.9874359524941951,-1.1526313746507797,-0.8348045778434154,29.764642299000187,22.69674511347828,118.86000061035156,123.38750038146972,125.05999984741212,119.8897622680664,TATASTEEL.NS,2023-12-04 11:05:04.768080
23,2023-10-31 00:00:00+05:30,120.0,120.1500015258789,118.4000015258789,118.75,22319950,0.0,0.0,2023-10-31,123.95750045776367,3.0162836687404333,126.9737841265041,120.94121678902324,129.99006779524453,117.9249331202828,-84.30485757583179,-181.73961815343364,1869571907,26016318.857612774,31050705.62323748,106.68721032950158,40.75319974636097,119.10000101725261,119.80000050862631,118.05000050862631,120.85000101725261,117.35000101725261,121.55000050862631,116.30000050862631,-0.2261950751000191,-96.60195505173546,-1.708034922389004,-0.9439302301899256,-0.7641046921990783,33.889049498332255,21.288888828556054,119.81000061035157,123.95750045776367,125.04399993896484,119.77931098937988,TATASTEEL.NS,2023-12-04 11:05:04.768080
24,2023-10-30 00:00:00+05:30,121.05000305175781,121.25,118.94999694824219,119.1500015258789,18753217,0.0,0.0,2023-10-30,124.46500015258789,2.9470809626257073,127.4120811152136,121.51791918996219,130.3591620778393,118.57083822733648,-84.769803612557,-174.27430948882315,1891891857,21932535.56541585,32309302.31464365,106.67717535865573,47.73646043231141,119.78333282470703,120.61666870117188,118.31666564941406,122.08333587646484,117.48332977294922,122.91667175292969,116.01666259765625,-0.17889860914929592,-97.44897840023978,-1.5361801943880238,-0.752904057140156,-0.7832761372478678,34.72020051651765,20.484756839422044,120.06000061035157,124.46500015258789,124.99,119.65123329162597,TATASTEEL.NS,2023-12-04 11:05:04.768080
25,2023-10-27 00:00:00+05:30,120.5,121.80000305175781,119.5,119.9000015258789,28424007,0.0,0.0,2023-10-27,124.84750022888184,2.707663002577957,127.5551632314598,122.13983722630388,130.26282623403776,119.43217422372592,-92.10118045294236,-163.48354919922795,1910645074,33452108.83459543,34903494.0019506,106.66845128244896,47.314899993661555,120.4000015258789,121.30000305175781,119.0,122.70000457763672,118.0999984741211,123.60000610351562,116.69999694824219,-0.18355967647011764,-89.79591360095912,-1.3322726975356431,-0.557085022828189,-0.7751876747074542,36.268916287344815,19.80010749482823,120.85,124.84750022888184,124.92599990844727,119.5055980682373,TATASTEEL.NS,2023-12-04 11:05:04.768080
26,2023-10-26 00:00:00+05:30,120.8499984741211,120.9000015258789,118.9000015258789,119.9000015258789,36298907,0.0,0.0,2023-10-26,125.2599998474121,2.5373311930124345,127.79733104042454,122.72266865439967,130.33466223343697,120.18533746138723,-133.32351142953064,-172.95198076018534,1939069081,42720049.553212464,35266340.293789394,106.6544090715396,46.555654829181066,119.9000015258789,120.9000015258789,118.9000015258789,121.9000015258789,117.9000015258789,122.9000015258789,116.9000015258789,-0.12186405713518915,-89.79591360095912,-1.1248869978150111,-0.3632881041513254,-0.7615988936636857,36.268916287344815,19.242768883676014,122.06999969482422,125.2599998474121,124.89099990844727,119.3326107788086,TATASTEEL.NS,2023-12-04 11:05:04.768080
27,2023-10-25 00:00:00+05:30,121.19999694824219,122.80000305175781,120.75,121.3499984741211,27346103,0.0,0.0,2023-10-25,125.70999946594239,2.3259737475838524,128.03597321352623,123.38402571835853,130.3619469611101,121.05805197077468,-131.55483721313092,-125.93583605295916,1975367988,32572735.407221176,33402912.978933625,106.63643305778282,47.55438438696601,121.63333384195964,122.51666768391928,120.46666463216147,123.68333689371745,119.58333079020183,124.56667073567709,118.41666158040366,-0.16655942843714566,-81.6666497124566,-0.8423267156300369,-0.17288838073540394,-0.669438334894633,39.182438466830355,18.12446723571551,123.50999908447265,125.70999946594239,124.89899993896485,119.15817092895507,TATASTEEL.NS,2023-12-04 11:05:04.768080
28,2023-10-23 00:00:00+05:30,123.3499984741211,123.4000015258789,119.69999694824219,120.0,30699479,0.0,0.0,2023-10-23,126.01249961853027,2.1127345099623027,128.12523412849256,123.89976510856796,130.23796863845487,121.78703059860567,-220.19686646997988,-131.9955177647403,1948021885,36160236.49597988,33610457.37186173,106.6213744064453,39.37646271103615,121.03333282470703,122.36666870117188,118.66666412353516,124.73333740234375,117.33332824707031,126.0666732788086,114.96665954589844,-0.13922676600523298,-96.66663275824652,-0.6106041338620543,-0.005528797011745676,-0.6050753368503086,34.64350759457413,17.493606585089907,124.71999969482422,126.01249961853027,124.87199996948242,118.98133605957031,TATASTEEL.NS,2023-12-04 11:05:04.768080
29,2023-10-20 00:00:00+05:30,125.0,125.75,122.69999694824219,123.0999984741211,30746140,0.0,0.0,2023-10-20,126.34999961853028,1.571538388632493,127.92153800716277,124.77846122989779,129.49307639579527,123.2069228412653,-113.7894568549823,-64.37044794777343,1978721364,37150756.26168249,32973012.590832196,106.60598526165315,40.55928643827923,123.8499984741211,125.0,121.94999694824219,126.9000015258789,120.79999542236328,128.0500030517578,118.89999389648438,-0.10519796717314718,-92.30770133655098,-0.1717230372704961,0.14574003720083148,-0.3174630744713276,41.19988259606646,16.814218192108488,126.11999969482422,126.34999961853028,124.87599990844727,118.8315586090088,TATASTEEL.NS,2023-12-04 11:05:04.768080
30,2023-10-19 00:00:00+05:30,125.5,126.5,124.3499984741211,126.0,30941319,0.0,0.0,2023-10-19,126.5849998474121,1.4022618119945336,127.98726165940664,125.18273803541757,129.38952347140116,123.78047622342304,-14.689302552528392,-20.51310682848497,2009467504,38267349.20043541,31928576.67311962,106.58696180091249,48.97739149865957,125.61666615804036,126.88333384195963,124.73333231608072,127.76666768391927,123.46666463216145,129.03333536783853,122.58333079020181,-0.0866111689088159,-51.079146957410444,0.08747674481239187,0.22510580581866338,-0.1376290610062715,49.30556289689223,17.141346469324677,126.51000061035157,126.5849998474121,124.77699996948242,118.63092910766602,TATASTEEL.NS,2023-12-04 11:05:04.768080
