Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-21 00:00:00+05:30,2532.39990234375,2549.949951171875,2502.39990234375,2520.89990234375,596,0.0,0.0,2023-11-21,2455.54248046875,67.22559613109954,2522.7680765998493,2388.3168843376507,2589.993672730949,2321.091288206551,93.88458175565783,-1.3917585444657397,159539,391.40228466251307,550.3976225559934,3007.373756613275,70.21056318376225,2524.4165852864585,2546.433268229167,2498.883219401042,2571.9666341145835,2476.8665364583335,2593.983317057292,2451.333170572917,0.023436026768701095,-20.482410541107985,-2.9354851777129625,-15.155427953010435,12.219942775297472,53.58288105029513,14.954373299467637,2507.969970703125,2455.54248046875,2538.7680029296876,2459.9700048828126,TEAMLEASE.BO,2023-11-21 11:34:39.386181
2,2023-11-20 00:00:00+05:30,2531.949951171875,2577.800048828125,2487.050048828125,2512.75,953,0.0,0.0,2023-11-20,2459.789990234375,73.92253952073855,2533.712529755114,2385.8674507136366,2607.6350692758524,2311.944911192898,103.28127575446348,-0.39585385322348404,158943,623.8262959427243,590.1464570293634,3007.536099333958,71.33674515200985,2525.86669921875,2564.683349609375,2473.933349609375,2616.61669921875,2435.11669921875,2655.433349609375,2383.183349609375,0.04522342023486595,-23.416140170792946,-6.371273175666829,-18.2104136468348,11.839140471167973,52.680559289571534,15.932262775151786,2501.239990234375,2459.789990234375,2541.6920068359377,2456.936005859375,TEAMLEASE.BO,2023-11-21 11:34:39.386181
3,2023-11-17 00:00:00+05:30,2484.39990234375,2566.64990234375,2484.39990234375,2506.699951171875,817,0.0,0.0,2023-11-17,2464.7849853515627,80.74934762845616,2545.534332980019,2384.0356377231064,2626.283680608475,2303.28629009465,94.43159962429799,-7.414281180709033,157990,533.5141031895095,581.7264973010232,3007.8002606688206,66.88136621849114,2519.2499186197915,2554.099934895833,2471.849934895833,2601.4999186197915,2436.9999186197915,2636.349934895833,2389.599934895833,0.08898102263690866,-22.48264508816167,-9.870946621380426,-21.170198764626793,11.299252143246367,52.03787940125762,16.985374518196256,2491.55,2464.7849853515627,2544.3720068359376,2453.3025048828126,TEAMLEASE.BO,2023-11-21 11:34:39.386181
4,2023-11-16 00:00:00+05:30,2517.10009765625,2535.550048828125,2452.5,2482.39990234375,1025,0.0,0.0,2023-11-16,2468.887487792969,84.96517418994871,2553.8526619829177,2383.92231360302,2638.8178361728665,2298.957139413071,54.5753773235035,-35.86746911417232,157173,662.8528166501417,593.7795958289016,3008.02971930583,65.35129010084111,2490.1499837239585,2527.799967447917,2444.749918619792,2573.2000325520835,2407.0999348958335,2610.850016276042,2361.699869791667,0.1485506514178126,-22.564268930870544,-13.606191199540262,-23.995011800438384,10.388820600898121,49.478730365518025,18.26031339364012,2487.65,2468.887487792969,2545.2330078125,2450.1950048828126,TEAMLEASE.BO,2023-11-21 11:34:39.386181
5,2023-11-15 00:00:00+05:30,2501.14990234375,2532.699951171875,2497.39990234375,2517.10009765625,374,0.0,0.0,2023-11-15,2473.209997558594,87.8392047369708,2561.0492022955646,2385.370792821623,2648.8884070325353,2297.5315880846524,92.30178412050459,-15.216396671154879,158198,245.24128547087716,576.5112906235917,3008.3318613126976,60.38644558209147,2515.7333170572915,2534.066731770833,2498.766682942708,2551.0333658854165,2480.4332682291665,2569.366780598958,2463.466634114583,0.1508123856874584,-6.703849071331674,-15.789095112755149,-26.592216950662912,10.803121837907764,53.24596268137231,19.049390890889363,2492.760009765625,2473.209997558594,2544.6430078125,2447.2650048828127,TEAMLEASE.BO,2023-11-21 11:34:39.386181
6,2023-11-13 00:00:00+05:30,2480.35009765625,2496.60009765625,2460.0,2487.25,484,0.0,0.0,2023-11-13,2476.5974975585937,90.87483000081927,2567.472327559413,2385.7226675577745,2658.347157560232,2294.8478375569553,69.85651673990576,-47.2710770227861,157824,313.60739599226895,659.3287919117702,3008.4349133049654,54.20726406064357,2481.2833658854165,2502.566731770833,2465.966634114583,2517.8834635416665,2444.6832682291665,2539.166829427083,2429.366536458333,0.1381699963175642,-35.330696452014635,-21.762088371620848,-29.29299741013985,7.5309090385190025,50.21832769724454,20.33216630024224,2483.889990234375,2476.5974975585937,2542.6700048828125,2444.5410034179686,TEAMLEASE.BO,2023-11-21 11:34:39.386181
7,2023-11-10 00:00:00+05:30,2487.199951171875,2492.0,2444.949951171875,2464.300048828125,180,0.0,0.0,2023-11-10,2482.8400024414063,95.79983554172249,2578.639837983129,2387.0401668996838,2674.4396735248515,2291.240331357961,61.07526491323951,-62.521130164549476,157340,115.5546924240816,745.7591408916454,3008.5764449212256,44.54704641353451,2467.0833333333335,2489.216715494792,2442.166666666667,2514.1333821614585,2420.0332845052085,2536.266764322917,2395.116617838542,0.08585035555684126,-54.36109754774306,-26.139818784301497,-31.1757246697696,5.035905885468104,47.80528738427809,21.388283991120908,2459.889990234375,2482.8400024414063,2541.661005859375,2441.942004394531,TEAMLEASE.BO,2023-11-21 11:34:39.386181
8,2023-11-09 00:00:00+05:30,2500.0,2519.699951171875,2458.75,2487.199951171875,748,0.0,0.0,2023-11-09,2490.540002441406,100.31383794810887,2590.853840389515,2390.2261644932973,2691.167678337624,2289.9123265451885,87.7837076260083,-46.81457486739113,157520,484.6562231009009,903.3102530085364,3008.631418262873,47.3749098456369,2488.5499674479165,2518.349934895833,2457.399983723958,2549.4999186197915,2427.6000162760415,2579.299886067708,2396.450032552083,0.5248069970481278,-48.00001356336806,-29.08835997324104,-32.43470114113663,3.346341167895588,50.053284697076485,22.435450378821876,2444.42998046875,2490.540002441406,2539.0070068359373,2439.6450048828124,TEAMLEASE.BO,2023-11-21 11:34:39.386181
9,2023-11-08 00:00:00+05:30,2464.14990234375,2529.449951171875,2449.199951171875,2507.949951171875,2520,0.0,0.0,2023-11-08,2495.3300048828123,102.4112628294132,2597.7412677122256,2392.918742053399,2700.152530541639,2290.5074792239857,120.28509967096264,-44.05089786307773,158268,1646.4210172160608,1007.9737604854452,3008.8503664163222,51.89345379994605,2495.5332845052085,2541.866617838542,2461.616617838542,2575.7832845052085,2415.2832845052085,2622.116617838542,2381.366617838542,0.5284951797919178,-42.236124674479164,-34.67794687818923,-33.27128643311052,-1.406660445078714,52.115256239397844,23.787394608902115,2424.019970703125,2495.3300048828123,2535.786005859375,2437.1755053710935,TEAMLEASE.BO,2023-11-21 11:34:39.386181
10,2023-11-07 00:00:00+05:30,2408.64990234375,2500.0,2408.64990234375,2472.75,769,0.0,0.0,2023-11-07,2498.5125122070312,103.80360131718979,2602.3161135242212,2394.7089108898413,2706.1197148414108,2290.9053095726517,80.15955067020238,-79.03061910062391,155748,495.3681107618026,848.3619463027912,3009.5599591937444,36.71050982558676,2460.4666341145835,2512.283365885417,2420.933268229167,2551.8167317708335,2369.1165364583335,2603.633463541667,2329.583170572917,0.5265099566649895,-52.013888888888886,-43.35244909924813,-32.91962132184084,-10.43282777740729,48.792294998634574,25.24333454898852,2387.769970703125,2498.5125122070312,2532.2520068359377,2434.4065063476564,TEAMLEASE.BO,2023-11-21 11:34:39.386181
