Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-08 00:00:00+05:30,751.0499877929688,765.0,749.2000122070312,752.2999877929688,6547,0.0,0.0,2023-11-08,732.5150024414063,12.527310213897836,745.0423126553042,719.9876922275084,757.569622869202,707.4603820136106,104.2664171580599,187.50327280637435,1621453,9778.217008963591,19774.11431878636,530.382081647651,67.6739459178142,755.5,761.7999877929688,746.0,771.2999877929688,739.7000122070312,777.5999755859375,730.2000122070312,0.01360147297848803,-20.5009792987352,6.685710867456692,4.559107400441946,2.1266034670147453,62.737664272346635,17.082876983704335,746.0700073242188,732.5150024414063,720.8670043945312,678.4573492431641,TORNTPOWER.BO,2023-11-08 11:30:11.157420
2,2023-11-07 00:00:00+05:30,734.0499877929688,767.0,734.0499877929688,752.7000122070312,15444,0.0,0.0,2023-11-07,731.1350036621094,11.727783065717313,742.8627867278267,719.4072205963921,754.590569793544,707.6794375306748,118.37596047870005,174.66226189311433,1628000,23078.52197471732,22273.088646242053,530.2900412957865,65.03176626427734,751.25,768.4500122070312,735.5,784.2000122070312,718.2999877929688,801.4000244140625,702.5499877929688,0.038000793153693785,-19.973590316771357,5.786702973546426,4.02745653368826,1.759246439858166,63.00214448972554,17.729165047101326,739.6700073242188,731.1350036621094,719.1370043945312,676.4480279541016,TORNTPOWER.BO,2023-11-08 11:30:11.157420
3,2023-11-06 00:00:00+05:30,746.7000122070312,758.7999877929688,744.3499755859375,748.9000244140625,11539,0.0,0.0,2023-11-06,729.7325042724609,10.639900792572146,740.372405065033,719.0926034798888,751.0123058576052,708.4527026873167,169.8858606443874,182.86690061204317,1612556,17156.08912768611,22071.730314123233,530.072228826533,63.174582442175,750.6833292643229,757.0166829427083,742.566670735677,765.1333414713541,736.2333170572916,771.4666951497395,728.1166585286458,0.03396462351385119,-24.98346377238426,4.508626781116504,3.587644923723718,0.9209818573927864,61.57312265926109,18.42516757691347,734.4200073242188,729.7325042724609,717.3670043945312,674.4098590087891,TORNTPOWER.BO,2023-11-08 11:30:11.157420
4,2023-11-03 00:00:00+05:30,729.5,767.8499755859375,729.5,746.5,33248,0.0,0.0,2023-11-03,728.7575042724609,9.637226351135315,738.3947306235962,719.1202779213256,748.0319569747315,709.4830515701902,220.24085627899345,169.48163133958755,1601017,49274.43051057082,23300.64061073251,529.9119938786803,50.144264474139675,747.9499918619791,766.3999837239583,728.0500081380208,786.2999674479166,709.6000162760416,804.7499593098958,689.7000325520833,0.05346026573461191,-28.147636727645516,3.1782306540385434,3.357399459375521,-0.17916880533697777,60.682505396157765,18.333104726083693,729.0,728.7575042724609,715.5660034179688,672.2362536621093,TORNTPOWER.BO,2023-11-08 11:30:11.157420
5,2023-11-02 00:00:00+05:30,723.0,735.0,723.0,729.9500122070312,11378,0.0,0.0,2023-11-02,728.1125030517578,8.780898363712893,736.8934014154707,719.3316046880449,745.6742997791836,710.550706324332,91.17979837701102,27.4401814244721,1567769,16488.658573795845,16807.193135772934,529.4540589407808,39.76364048152966,729.3166707356771,735.6333414713542,723.6333414713542,741.3166707356771,717.3166707356771,747.6333414713542,711.6333414713542,0.07163239172566754,-26.80804228319855,1.6631314919064835,3.4021916607097658,-1.7390601688032823,53.83058220568511,18.23396011749778,723.7400024414062,728.1125030517578,713.8750036621094,670.0270141601562,TORNTPOWER.BO,2023-11-08 11:30:11.157420
6,2023-11-01 00:00:00+05:30,734.4000244140625,734.4000244140625,717.0499877929688,720.2999877929688,3996,0.0,0.0,2023-11-01,728.2425018310547,8.82865008064698,737.0711519117017,719.4138517504077,745.8998019923487,710.5852016697607,4.284851655208332,-8.988208239579787,1556391,5714.327968049546,16886.826776267204,529.3088846412732,40.98317720150094,723.9166666666666,730.7833455403645,713.4333089192708,741.2667032877604,706.5666300455729,748.1333821614583,696.083272298177,0.0469738084722068,-60.391906286919,1.3280695216373033,3.836956702910586,-2.5088871812732827,49.02032444275444,18.77903129225615,722.3,728.2425018310547,711.99400390625,667.9643908691406,TORNTPOWER.BO,2023-11-08 11:30:11.157420
7,2023-10-31 00:00:00+05:30,721.25,733.5,718.1500244140625,726.4500122070312,5771,0.0,0.0,2023-10-31,729.5925018310547,9.582358858660934,739.1748606897156,720.0101429723939,748.7572195483766,710.4277841137329,13.412244134561911,16.05910688269404,1560387,8323.061149233852,19679.95147832162,529.2603035496192,44.90559530491488,726.0333455403646,733.9166666666667,718.5666910807292,741.3833211263021,710.6833699544271,749.2666422526042,703.2167154947917,0.05385074834789784,-51.784455813373405,1.8293475925770508,4.4641784982289066,-2.6348309056518557,52.24132858562451,19.310159359148386,719.6300048828125,729.5925018310547,710.1770043945312,666.0797674560547,TORNTPOWER.BO,2023-11-08 11:30:11.157420
8,2023-10-30 00:00:00+05:30,720.2000122070312,736.5,714.2000122070312,721.7999877929688,18913,0.0,0.0,2023-10-30,730.1950012207031,9.751703216764168,739.9467044374674,720.4432980039389,749.6984076542315,710.6915947871748,-12.743198217534765,12.548461448656585,1554616,27102.139017573045,22519.17406059356,529.187839343328,41.67808419026465,724.1666666666666,734.133321126302,711.8333333333333,746.4666544596354,701.8666788736979,756.4333089192708,689.5333455403645,0.044867415575484744,-58.292536456647106,1.8377338154622294,5.12288622464187,-3.2851524091796405,49.93153855804048,19.95841097642841,718.65,730.1950012207031,708.2380041503907,664.078978881836,TORNTPOWER.BO,2023-11-08 11:30:11.157420
9,2023-10-27 00:00:00+05:30,736.25,736.25,717.5999755859375,720.2000122070312,6769,0.0,0.0,2023-10-27,730.8375030517578,9.591480337072376,740.4289833888303,721.2460227146854,750.0204637259026,711.6545423776131,-14.88465776817644,20.662462115522366,1535703,9678.407733293561,21373.432821348688,528.9555893709735,44.11545928516617,724.6833292643229,731.7666829427083,713.1166585286458,743.3333536783854,706.0333048502604,750.4167073567708,694.4666341145833,0.034170435897619034,-60.53183010617296,2.2785832201552694,5.944174326936779,-3.66559110678151,49.14570559045388,20.656528102729975,721.4200073242188,730.8375030517578,706.4730041503906,662.1465570068359,TORNTPOWER.BO,2023-11-08 11:30:11.157420
10,2023-10-26 00:00:00+05:30,692.0,729.0,692.0,722.75,38347,0.0,0.0,2023-10-26,731.5825012207031,9.29585482400574,740.8783560447088,722.2866463966974,750.1742108687146,712.9907915726916,-106.66306726561989,-17.29666874171832,1542472,55023.19053729918,24297.18909336247,528.8730212638908,39.439480944670535,714.5833333333334,737.1666666666667,700.1666666666667,751.5833333333334,677.5833333333334,774.1666666666667,663.1666666666667,0.07717413239590537,-56.96291847942616,2.9660534138672574,6.860572103632156,-3.8945186897648982,50.31438028620625,21.620239790722316,722.6,731.5825012207031,704.9020043945312,660.2505096435547,TORNTPOWER.BO,2023-11-08 11:30:11.157420
