Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,204.9499969482422,207.3000030517578,203.0500030517578,205.4499969482422,6771,0.0,0.0,2023-11-24,208.03500061035157,5.318514434491151,213.35351504484274,202.7164861758604,218.67202947933387,197.39797174136928,-84.26685981557767,-101.20941237048558,-244125,4637.554612117446,8340.677446596217,240.91733063858936,63.94560868065844,205.26666768391928,207.48333231608075,203.23333231608075,209.51666768391928,201.01666768391928,211.73333231608075,198.98333231608075,-0.214967658281524,-77.2109419034461,-2.3577066984221347,-2.0864708520195507,-0.2712358464025839,43.84453880597182,15.773154858574628,205.42999877929688,208.03500061035157,214.09317077636717,209.41427474975586,TVTODAY.BO,2023-11-27 11:19:02.625611
2,2023-11-23 00:00:00+05:30,203.25,205.8000030517578,202.35000610351562,202.89999389648438,10413,0.0,0.0,2023-11-23,208.49500045776367,5.478614956826068,213.97361541458974,203.0163855009376,219.4522303714158,197.53777054411154,-152.36746882278027,-125.8253673102768,-250896,7043.4913623009315,9266.45815521591,240.95044218661997,70.08251374335147,203.68333435058594,205.01666259765625,201.56666564941406,207.13333129882812,200.23333740234375,208.46665954589844,198.11666870117188,-0.21454395090136028,-58.52635433799342,-2.383876379541448,-2.0186618904189046,-0.3652144891225433,39.812347346992766,15.624419632198485,205.95,208.49500045776367,214.56050872802734,209.27102249145508,TVTODAY.BO,2023-11-27 11:19:02.625611
3,2023-11-22 00:00:00+05:30,207.3000030517578,208.75,202.10000610351562,202.75,15185,0.0,0.0,2023-11-22,209.02250061035156,5.41912781212265,214.4416284224742,203.60337279822892,219.86075623459686,198.18424498610625,-181.1957669165578,-121.4845333927269,-261309,10263.742389796658,9822.199853444656,241.00515105807534,67.12044155953473,204.53333536783853,206.96666463216144,200.31667073567706,211.1833292643229,197.88334147135416,213.61665852864581,193.6666768391927,-0.1960961272024452,-57.464232333034815,-2.130125498308331,-1.9273582681382688,-0.20276723017006226,39.57535755956519,15.063744882360913,207.25,209.02250061035156,214.99300354003907,209.1221890258789,TVTODAY.BO,2023-11-27 11:19:02.625611
4,2023-11-21 00:00:00+05:30,207.9499969482422,210.25,206.0,206.9499969482422,9276,0.0,0.0,2023-11-21,209.54000091552734,5.281036752585858,214.8210376681132,204.25896416294148,220.10207442069907,198.97792741035562,-102.44527484955867,-86.69045160222107,-246124,6399.650374728954,9711.814219356655,241.08552927540242,69.4273314328777,207.73333231608072,209.46666463216144,205.21666463216144,211.98333231608072,203.48333231608072,213.71666463216144,200.96666463216144,-0.19724937609508056,-47.00545439641632,-1.7582007211923667,-1.8766664605957533,0.11846573940338656,44.0889845959212,14.459941305612757,209.2,209.54000091552734,215.4058038330078,209.00791015625,TVTODAY.BO,2023-11-27 11:19:02.625611
5,2023-11-20 00:00:00+05:30,208.1999969482422,211.89999389648438,205.60000610351562,209.10000610351562,14594,0.0,0.0,2023-11-20,210.41750106811523,6.20522257186863,216.62272363998386,204.2122784962466,222.8279462118525,198.00705592437797,-53.94126556757668,-76.08892973723208,-236848,10173.220819965913,10539.85518051358,241.12939838759473,70.58922370916977,208.86666870117188,212.13333129882812,205.83334350585938,215.16665649414062,202.56668090820312,218.43331909179688,199.53335571289062,-0.17769783289761493,-39.201424966602346,-1.6690209602239179,-1.9062828954465998,0.2372619352226819,46.616199491264446,14.462425351090516,210.32000122070312,210.41750106811523,215.7612454223633,208.8841925048828,TVTODAY.BO,2023-11-27 11:19:02.625611
6,2023-11-17 00:00:00+05:30,209.5,211.89999389648438,206.10000610351562,208.0500030517578,8228,0.0,0.0,2023-11-17,211.19250106811523,6.954688355269676,218.1471894233849,204.23781271284557,225.1018777786546,197.28312435757587,-12.760994527750334,-82.36894906929247,-251442,5706.792653713347,10631.513770650496,241.1942907324296,67.18853289947415,208.68333435058594,211.26666259765625,205.4666748046875,214.4833221435547,202.8833465576172,217.066650390625,199.66668701171875,-0.14465609261466128,-50.079496115436996,-1.7412989715454614,-1.96559837925227,0.22429940770680856,45.19149030389895,14.465100476989642,210.48999938964843,211.19250106811523,216.1062481689453,208.73996154785155,TVTODAY.BO,2023-11-27 11:19:02.625611
7,2023-11-16 00:00:00+05:30,212.60000610351562,214.14999389648438,208.64999389648438,209.39999389648438,15023,0.0,0.0,2023-11-16,212.03250122070312,7.544695791508722,219.57719701221185,204.4878054291944,227.12189280372056,196.9431096376857,47.29153974461604,-59.72175445115764,-243214,10487.293342271305,11862.694049884783,241.23219339857692,70.6266704315337,210.73332722981772,212.81666056315106,207.31666056315106,216.23332722981772,205.23332722981772,218.31666056315106,201.81666056315106,-0.13870592475536933,-46.04432679506909,-1.7040440192530184,-2.021673231178972,0.3176292119259534,46.678781590487354,14.549066937605234,210.5,212.03250122070312,216.51270568847656,208.57317596435547,TVTODAY.BO,2023-11-27 11:19:02.625611
8,2023-11-15 00:00:00+05:30,216.8000030517578,216.8000030517578,211.4499969482422,212.5,20339,0.0,0.0,2023-11-15,212.8625015258789,8.130220345131915,220.99272187101081,204.732281180747,229.12294221614275,196.60206083561508,97.25512512546453,-26.04494010105093,-228191,14408.49481923219,12206.544226788154,241.29879701986638,74.58081997388395,213.58333333333334,215.7166697184245,210.36666361490887,218.93333943684897,208.23332722981772,221.06667582194012,205.01665751139325,-0.1320802564002007,-36.234178055633755,-1.7634811859614388,-2.10108053416046,0.33759934819902115,50.20168648688027,15.052300326229027,210.3800018310547,212.8625015258789,216.7086361694336,208.37710327148437,TVTODAY.BO,2023-11-27 11:19:02.625611
9,2023-11-13 00:00:00+05:30,215.0,215.0,211.25,212.5500030517578,12144,0.0,0.0,2023-11-13,213.5625015258789,8.681374896029876,222.24387642190877,204.88112662984904,230.92525131793866,196.19975173381914,81.76521379700944,-36.71219307957661,-207852,8605.041280310856,11656.056578677144,241.38060778462244,70.39523133083499,212.93333435058594,214.61666870117188,210.86666870117188,216.68333435058594,209.18333435058594,218.36666870117188,207.11666870117188,-0.18393650368527587,-36.07594050422586,-2.118162990109198,-2.185480371210215,0.06731738110101704,50.258495142976564,16.07136079992946,209.74000244140626,213.5625015258789,216.8889419555664,208.13720336914062,TVTODAY.BO,2023-11-27 11:19:02.625611
10,2023-11-10 00:00:00+05:30,214.89999389648438,214.89999389648438,206.64999389648438,209.9499969482422,21447,0.0,0.0,2023-11-10,214.1250015258789,8.971921964355523,223.09692349023442,205.15307956152338,232.06884545458996,196.18115759716784,32.69498741861961,-69.29134953803711,-219996,15011.099665152089,12418.810403268715,241.42959235242944,62.65077029750327,210.49999491373697,214.34999593098956,206.09999593098956,218.74999491373697,202.24999491373697,222.59999593098956,197.84999593098956,-0.11406765695959127,-44.566957969365156,-2.5450943430910513,-2.2023097164854692,-0.34278462660558207,47.38350203742361,16.84040677053205,208.64000244140624,214.1250015258789,217.07318115234375,207.89334991455078,TVTODAY.BO,2023-11-27 11:19:02.625611
