Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-02 00:00:00+05:30,4.0,4.0,3.9000000953674316,3.9000000953674316,72434,0.0,0.0,2024-01-02,3.992500030994415,0.11153827234893439,4.10403830334335,3.8809617586454808,4.215576575692284,3.7694234862965463,20.289922376478216,-21.476886377458666,334894,75331.36184209204,25180.987690156926,3.4489202711031584,61.66334065626895,3.933333396911621,3.9666666984558105,3.866666793823242,4.0333333015441895,3.8333334922790527,4.066666603088379,3.766666889190674,,-66.66661368475178,-0.03481228755714838,-0.018491290870072882,-0.016320996687075498,44.97989417384148,21.147683099568187,3.890000009536743,3.992500030994415,3.9980000162124636,3.5350000143051146,TVVISION.NS,2024-01-02 11:00:16.670681
2,2024-01-01 00:00:00+05:30,3.950000047683716,3.950000047683716,3.9000000953674316,3.950000047683716,6181,0.0,0.0,2024-01-01,4.012500035762787,0.12863146952843033,4.141131505291217,3.8838685662343564,4.269762974819647,3.755237096705926,25.862135114139328,-20.742019646236724,407328,6510.653411928826,12643.394152173145,3.4376174425553074,46.48749320665304,3.933333396911621,3.9666666984558105,3.9166667461395264,3.9833333492279053,3.883333444595337,4.016666650772095,3.866666793823242,,-49.999960263563835,-0.03390905847458514,-0.014411041698304004,-0.019498016776281137,48.06027786595035,21.862879162160848,3.890000009536743,4.012500035762787,4.0030000162124635,3.5215000128746032,TVVISION.NS,2024-01-02 11:00:16.670681
3,2023-12-29 00:00:00+05:30,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,25782,0.0,0.0,2023-12-29,4.0325000286102295,0.1480353732277863,4.180535401838016,3.8844646553824433,4.328570775065802,3.7364292821546568,-32.78675816623218,-32.22510789584286,401147,26813.280655670223,14176.579337234225,3.436519514214041,44.76251235081327,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,,-66.66661368475178,-0.03716311565798902,-0.009536537504233718,-0.027626578153755302,44.53302856258085,22.053323532512827,3.890000009536743,4.0325000286102295,4.00600001335144,3.507500011920929,TVVISION.NS,2024-01-02 11:00:16.670681
4,2023-12-28 00:00:00+05:30,3.8499999046325684,3.8499999046325684,3.799999952316284,3.8499999046325684,4446,0.0,0.0,2023-12-28,4.05750002861023,0.16565262156000077,4.22315265017023,3.891847407050229,4.388805271730232,3.7261947854902284,-133.33342870074947,-55.799035501800056,375365,4564.559886932383,11017.404007625226,3.432339592274295,37.004950307054,3.8333332538604736,3.866666555404663,3.816666603088379,3.883333206176758,3.7833333015441895,3.9166665077209473,3.7666666507720947,,-83.33334657881205,-0.03584197969259195,-0.002629892965794892,-0.03321208672679706,40.79988766176674,21.645430397335154,3.9099999904632567,4.05750002861023,4.009000015258789,3.49450001001358,TVVISION.NS,2024-01-02 11:00:16.670681
5,2023-12-27 00:00:00+05:30,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,15002,0.0,0.0,2023-12-27,4.087500023841858,0.1798207896841174,4.267320813525975,3.90767923415774,4.447141603210093,3.7278584444736227,-144.82773740374543,-50.89735996521726,379811,15402.052951812777,12630.615037798436,3.4316890303563294,37.19475403213385,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.8499999046325684,,-100.0,-0.028683203805543123,0.0056731287159043735,-0.0343563325214475,40.79988766176674,20.558841527416188,3.9300000190734865,4.087500023841858,4.012000017166137,3.4820000100135804,TVVISION.NS,2024-01-02 11:00:16.670681
6,2023-12-26 00:00:00+05:30,3.9000000953674316,3.950000047683716,3.9000000953674316,3.9000000953674316,6829,0.0,0.0,2023-12-26,4.127500033378601,0.21056000772786815,4.338060041106469,3.9169400256507325,4.548620048834337,3.7063800179228643,-85.9374476131098,-28.545918299852435,394813,7102.160173670466,11937.75555929485,3.4294788235939904,40.363471892852395,3.9166667461395264,3.933333396911621,3.883333444595337,3.9666666984558105,3.866666793823242,3.9833333492279053,3.8333334922790527,,-85.71422732604636,-0.019083207347040165,0.014262211846266248,-0.033345419193306414,43.31347260245749,19.711624071951842,3.950000047683716,4.127500033378601,4.012000017166137,3.468500010967255,TVVISION.NS,2024-01-02 11:00:16.670681
7,2023-12-22 00:00:00+05:30,3.950000047683716,4.0,3.950000047683716,3.950000047683716,2444,0.0,0.0,2023-12-22,4.155000019073486,0.2151498522597246,4.3701498713332105,3.9398501668137618,4.585299723592936,3.724700314554037,-27.160526095960883,-11.786200241121307,401642,2574.3466977437392,13146.654405700945,3.4283444221698973,41.34643106466564,3.9666666984558105,3.9833333492279053,3.933333396911621,4.016666650772095,3.9166667461395264,4.0333333015441895,3.883333444595337,,-74.99997019768472,-0.011427424493798632,0.02259856664459285,-0.034025991138391484,45.94166173327994,19.13937257730517,3.950000047683716,4.155000019073486,4.008000016212463,3.4545000100135805,TVVISION.NS,2024-01-02 11:00:16.670681
8,2023-12-21 00:00:00+05:30,4.0,4.0,4.0,4.0,11119,0.0,0.0,2023-12-21,4.1700000166893005,0.21051312362603183,4.380513140315332,3.9594868930632687,4.591026263941364,3.748973769437237,2.136688783146749,-0.7411574300294673,404086,11860.266666666692,15789.731332690246,3.4278939267557615,41.31851841618905,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,-66.66666666666667,-0.006376797440209359,0.031105064429190716,-0.03748186186940007,48.684763983056364,18.880815090223585,3.950000047683716,4.1700000166893005,4.000000014305114,3.4390000104904175,TVVISION.NS,2024-01-02 11:00:16.670681
9,2023-12-20 00:00:00+05:30,3.950000047683716,4.0,3.950000047683716,3.950000047683716,2584,0.0,0.0,2023-12-20,4.172500026226044,0.2086768694162602,4.381176895642304,3.9638231568097835,4.589853765058565,3.7551462873935235,-48.6111300824934,-13.301169591783479,392967,2721.813366190598,16772.097499196134,3.4256373130245468,36.49668191461375,3.9666666984558105,3.9833333492279053,3.933333396911621,4.016666650772095,3.9166667461395264,4.0333333015441895,3.883333444595337,,-79.99997138977051,-0.004738083903655266,0.040475529896540734,-0.045213613800196,45.67266665096171,18.97799976636491,3.950000047683716,4.172500026226044,3.9880000162124634,3.4240000104904174,TVVISION.NS,2024-01-02 11:00:16.670681
10,2023-12-19 00:00:00+05:30,3.950000047683716,3.950000047683716,3.8499999046325684,3.950000047683716,19152,0.0,0.0,2023-12-19,4.17000002861023,0.21175950272135027,4.38175953133158,3.9582405258888795,4.59351903405293,3.746481023167529,-109.09093996053186,-31.886884889989027,395551,20173.440243530316,20284.66853244752,3.4251562105957802,34.65384625910713,3.9166666666666665,3.9833334287007647,3.883333285649617,4.0166668097178135,3.816666523615519,4.083333571751912,3.7833331425984698,,-81.81816211417384,0.0023559928811689446,0.05177893334658973,-0.049422940465420784,45.672666650961716,19.0826601868248,3.970000076293945,4.17000002861023,3.9770000171661377,3.410500009059906,TVVISION.NS,2024-01-02 11:00:16.670681
11,2023-12-18 00:00:00+05:30,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,6238,0.0,0.0,2023-12-18,4.160000026226044,0.22687808972340984,4.386878115949454,3.933121936502634,4.613756205672863,3.7062438467792242,-134.92069649262802,-39.3088262857197,376399,6487.520158640557,20312.47560467682,3.4215626839400404,12.401780599851492,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,,-100.0,0.01140286402414592,0.06413466846294492,-0.052731804438799004,42.77647068852565,18.67558376997087,3.980000066757202,4.160000026226044,3.9630000162124634,3.396000008583069,TVVISION.NS,2024-01-02 11:00:16.670681
12,2023-12-15 00:00:00+05:30,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,11874,0.0,0.0,2023-12-15,4.1450000166893,0.2533460137264431,4.398346030415743,3.891654002962857,4.6516920441421865,3.638307989236414,-115.9420502684132,-24.13791824180932,382637,12507.280150985744,23768.714466185884,3.420493341669588,24.294841355646042,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,,-100.0,0.027737067624346246,0.07731761957264467,-0.049580551948298426,45.00428364478567,18.56502367678764,4.010000085830688,4.1450000166893,3.953000016212463,3.3830000066757204,TVVISION.NS,2024-01-02 11:00:16.670681
13,2023-12-14 00:00:00+05:30,4.0,4.099999904632568,4.0,4.0,15975,0.0,0.0,2023-12-14,4.127500009536743,0.2783763998592535,4.405876409395997,3.84912360967749,4.68425280925525,3.5707472098182365,-77.7778448882141,3.3035163455725978,394511,17040.000000000036,26584.073044985915,3.4182309574307315,58.330578295504644,4.0333333015441895,4.066666603088379,3.9666666984558105,4.133333206176758,3.933333396911621,4.166666507720947,3.866666793823242,,-100.0,0.043305301662782014,0.08971275755971928,-0.04640745589693726,47.29130594480303,18.785282056832607,4.040000057220459,4.127500009536743,3.939000015258789,3.3700000071525573,TVVISION.NS,2024-01-02 11:00:16.670681
14,2023-12-13 00:00:00+05:30,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,35195,0.0,0.0,2023-12-13,4.110000014305115,0.2971797169276768,4.407179731232792,3.812820297377438,4.704359448160468,3.515640580449761,-80.3921024141901,8.887038762121618,410486,38010.60179011035,28970.09130623238,3.4148674453997154,68.4496041678716,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,,-79.99997138977051,0.05765698021625365,0.1013146215339536,-0.04365764131769995,49.63340881446133,19.37293654945404,4.070000076293946,4.110000014305115,3.9240000152587893,3.3570000076293947,TVVISION.NS,2024-01-02 11:00:16.670681
15,2023-12-12 00:00:00+05:30,4.0,4.050000190734863,4.0,4.0,52344,0.0,0.0,2023-12-12,4.092500007152557,0.310887937815589,4.403387944968146,3.781612069336968,4.714275882783735,3.4707241315213793,-108.94306560321908,-2.150518492558626,375291,55833.600000000115,26709.96368526289,3.406673098954398,71.03953701361726,4.016666730244954,4.033333460489908,3.983333269755045,4.066666920979817,3.966666539510091,4.0833336512247715,3.9333330790201817,,-80.95237554606372,0.0702336259401255,0.11222903186337857,-0.04199540592325307,47.20552176956759,20.36692835325485,4.1,4.092500007152557,3.9110000133514404,3.3425000047683717,TVVISION.NS,2024-01-02 11:00:16.670681
16,2023-12-11 00:00:00+05:30,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,721,0.0,0.0,2023-12-11,4.082500004768372,0.3171729494594795,4.399672954227851,3.7653270553088927,4.7168459036873305,3.448154105849413,-109.66804890288472,10.526378487174624,427635,778.680036671958,19429.054606578582,3.3950654532993063,78.76247400880882,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,,-72.72725302325621,0.09019565893260495,0.12272788334419182,-0.032532224411586874,49.41750617474953,21.437381065040338,4.15,4.082500004768372,3.8960000133514403,3.3290000057220457,TVVISION.NS,2024-01-02 11:00:16.670681
17,2023-12-08 00:00:00+05:30,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,838,0.0,0.0,2023-12-08,4.072499990463257,0.3213765597875374,4.393876550250794,3.7511234306757193,4.715253110038332,3.429746870888182,-113.7255403547333,29.31593000004906,428356,916.2133120218931,24091.648249055237,3.3948889171972376,80.42501072040119,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,,-57.692309808449004,0.10946224816223005,0.13086093944708854,-0.021398691284858495,51.66555464667259,22.933662420394704,4.2,4.072499990463257,3.883000011444092,3.3160000038146973,TVVISION.NS,2024-01-02 11:00:16.670681
18,2023-12-07 00:00:00+05:30,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,3202,0.0,0.0,2023-12-07,4.0625,0.32357988867796367,4.386079888677964,3.7389201113220363,4.7096597773559274,3.4153402226440726,-92.06345674221573,48.305443614237944,429194,3543.5467480977445,29885.506983313568,3.394667944903349,80.1556579045458,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,,-53.84614114930597,0.12754658757747173,0.13621061226830317,-0.00866402469083144,53.944244824264736,24.500867406420657,4.25,4.0625,3.8660000133514405,3.301500005722046,TVVISION.NS,2024-01-02 11:00:16.670681
