Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-11 00:00:00+05:30,8450.9501953125,8498.650390625,8426.150390625,8461.7001953125,131674,0.0,0.0,2023-09-11,8285.0650390625,154.9828416065748,8440.047880669075,8130.082197455925,8595.03072227565,7975.09935584935,41.51898772473805,146.27209343945214,15707275,141696.83073457272,253809.39283059983,6898.66642041501,66.6258911881799,8462.1669921875,8498.18359375,8425.68359375,8534.6669921875,8389.6669921875,8570.68359375,8353.18359375,0.0377873466406169,-25.07476269814992,73.66604292225566,48.57131289493459,25.094730027321063,58.51933269867502,22.154490004999694,8475.930078125,8285.0650390625,8257.120673828125,8033.31447265625,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
2,2023-09-08 00:00:00+05:30,8535.0,8550.0,8400.0,8430.5498046875,125962,0.0,0.0,2023-09-08,8268.6275390625,152.67941332243018,8421.30695238493,8115.948125740069,8573.98636570736,7963.268712417639,51.61139680210427,158.14801433536044,15575601,135051.03600244576,281837.5333546066,6897.587034531228,62.14608158280811,8460.183268229166,8520.366536458332,8370.366536458332,8610.183268229166,8310.183268229166,8670.366536458332,8220.366536458332,0.06809256858242141,-30.722555582901165,72.1402916886982,42.297630388104324,29.842661300593875,57.19161895008729,21.20822395192529,8500.1,8268.6275390625,8253.026904296876,8024.304912109375,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
3,2023-09-07 00:00:00+05:30,8537.400390625,8545.0,8430.0,8495.150390625,203477,0.0,0.0,2023-09-07,8252.21005859375,152.0037446112254,8404.213803204975,8100.206313982524,8556.2175478162,7948.2025693712985,79.76432675100735,198.1593382426718,15701563,219830.96765098482,318534.15769264684,6896.57366814643,66.24644145775423,8490.050130208334,8550.100260416668,8435.100260416668,8605.050130208334,8375.050130208334,8665.100260416668,8320.100260416668,0.048828566340263106,-19.00999845959627,72.16167453927847,34.836965062955855,37.32470947632261,60.94835322874663,20.18916820246055,8466.4701171875,8252.21005859375,8247.838994140626,8017.071665039062,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
4,2023-09-06 00:00:00+05:30,8484.849609375,8556.7998046875,8444.099609375,8537.400390625,327847,0.0,0.0,2023-09-06,8233.0150390625,143.72458802131803,8376.739627083818,8089.290451041183,8520.464215105136,7945.565863019864,118.06103591464648,242.5130533500226,15905040,355958.4751078424,343209.95520306233,6894.864801557069,71.92749777457067,8512.7666015625,8581.43359375,8468.7333984375,8625.466796875,8400.06640625,8694.1337890625,8356.033203125,0.027947688907631715,-11.349765486811842,64.73351344444382,25.5057876938752,39.22772575056862,63.48073722809173,18.62908544222462,8426.930078125,8233.0150390625,8240.53484375,8008.324375,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
5,2023-09-05 00:00:00+05:30,8582.0,8600.0,8448.2001953125,8454.849609375,210587,0.0,0.0,2023-09-05,8213.987524414062,125.31814599895922,8339.305670413021,8088.669378415103,8464.62381641198,7963.351232416144,154.2831737373888,255.4928072696249,15577193,226433.1033406032,340022.8252268673,6892.0308395857755,71.2744111755929,8501.0166015625,8553.8330078125,8402.033203125,8652.81640625,8349.216796875,8705.6328125,8250.2333984375,-0.025539329782207108,-26.316823864571955,50.08142062689694,15.698856256233043,34.3825643706639,60.503363299479155,16.73386251983107,8372.6400390625,8213.987524414062,8230.65560546875,7999.429331054687,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
6,2023-09-04 00:00:00+05:30,8284.9501953125,8594.0,8282.5498046875,8582.5498046875,620108,0.0,0.0,2023-09-04,8200.017553710937,111.91056032887687,8311.928114039814,8088.10699338206,8423.838674368691,7976.196433053184,217.58710188544353,263.11417172715306,15787780,676840.1928999587,368420.2556984333,6890.296916743055,71.72878849035055,8486.366536458334,8690.183268229168,8378.733072916668,8797.816731770834,8174.916341145834,9001.633463541668,8067.282877604168,-0.014393537794654267,-1.8883802207270868,38.69349357258761,7.103215163567066,31.59027840902055,68.52890400613478,14.633277954538555,8321.61015625,8200.017553710937,8224.070869140625,7991.943129882812,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
7,2023-09-01 00:00:00+05:30,8300.0,8345.0,8249.0,8262.400390625,215635,0.0,0.0,2023-09-01,8178.79755859375,66.63794955131887,8245.435508145069,8112.159609042431,8312.073457696388,8045.521659491113,93.84755986793323,72.13879590454131,15167672,226583.3345986685,291315.27139805193,6884.75010561406,57.222337430560444,8285.466796875,8321.93359375,8225.93359375,8381.466796875,8189.466796875,8417.93359375,8129.93359375,-0.15932008328552677,-26.211785625769597,10.950696615116613,-0.794354438688071,11.745051053804684,54.46911505341538,12.402959890761538,8228.63017578125,8178.79755859375,8216.500947265626,7982.72998046875,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
8,2023-08-31 00:00:00+05:30,8288.7998046875,8360.0,8226.0,8297.4501953125,482614,0.0,0.0,2023-08-31,8172.485034179687,64.23810144097872,8236.723135620667,8108.246932738709,8300.961237061645,8044.00883129773,129.55046172726026,75.75680197699934,15383307,509268.76967929257,307498.2555978978,6883.178063007548,56.184696419132216,8294.4833984375,8362.966796875,8228.966796875,8428.4833984375,8160.4833984375,8496.966796875,8094.966796875,-0.15812412206343487,-16.798654030499375,6.795456492160156,-3.730617202139242,10.526073694299399,57.060627569221744,11.73069136004424,8190.44013671875,8172.485034179687,8215.371845703125,7976.774072265625,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
9,2023-08-30 00:00:00+05:30,8230.0,8314.7998046875,8200.0498046875,8265.9501953125,223225,0.0,0.0,2023-08-30,8171.997534179687,63.269527291870475,8235.267061471557,8108.728006887816,8298.536588763429,8045.458479595946,113.85395348150423,38.599000162837946,14900693,234659.47239860066,257055.62707754908,6879.556887772744,53.92746331220382,8260.2666015625,8320.4833984375,8205.7333984375,8375.0166015625,8145.5166015625,8435.2333984375,8090.9833984375,-0.1629636864956511,-17.25874471034848,-2.0793461949715493,-6.3621356257140915,4.282789430742542,55.28524609336715,11.006709865425611,8173.23017578125,8171.997534179687,8214.042451171876,7970.369116210937,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
10,2023-08-29 00:00:00+05:30,8159.89990234375,8218.0,8125.14990234375,8199.7001953125,230713,0.0,0.0,2023-08-29,8172.790014648437,64.59367092992483,8237.383685578361,8108.196343718512,8301.977356508287,8043.602672788587,-5.429802906793704,-40.98229216024977,14677468,240587.19795300046,262654.66574728617,6877.913043913499,48.03318387594341,8180.950032552083,8236.750162760416,8143.900065104166,8273.800130208332,8088.099934895833,8329.600260416666,8051.049967447916,-0.2021391185366748,-36.95548345418781,-10.30800499599718,-7.432832983399727,-2.875172012597453,51.357508667214354,10.63095452409282,8152.4201171875,8172.790014648437,8214.630185546876,7963.767001953125,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
11,2023-08-28 00:00:00+05:30,8134.7998046875,8150.39990234375,8048.4501953125,8117.64990234375,327780,0.0,0.0,2023-08-28,8178.7125244140625,72.17612333075179,8250.888647744814,8106.536401083311,8323.064771075566,8034.360277752559,-94.2105856705738,-110.51829742826807,14446755,338388.22479609866,268171.5326958576,6876.291243476338,42.66388417259296,8105.5,8162.5498046875,8060.60009765625,8207.44970703125,8003.55029296875,8264.49951171875,7958.650390625,-0.26118585888593043,-61.34979567246623,-14.162378688281024,-6.714039980250364,-7.44833870803066,45.89157279998001,11.213771448896614,8153.180078125,8178.7125244140625,8216.541923828125,7957.644721679688,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
12,2023-08-25 00:00:00+05:30,8179.0,8190.0,8061.0,8071.4501953125,191154,0.0,0.0,2023-08-25,8188.167529296875,76.03858847069561,8264.20611776757,8112.128940826179,8340.244706238265,8036.090352355483,-93.46303072346137,-115.47339982851754,14118975,196217.36335479748,250617.35967079725,6874.123533028972,49.652190742102334,8107.4833984375,8153.966796875,8024.966796875,8236.4833984375,7978.4833984375,8282.966796875,7895.966796875,-0.2744834560921739,-75.08539656962016,-10.801852839990715,-4.851955303242698,-5.949897536748018,42.51412558645725,11.49216323740176,8173.51005859375,8188.167529296875,8220.594375,7951.831284179688,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
13,2023-08-24 00:00:00+05:30,8211.0,8324.0,8164.0,8211.400390625,273837,0.0,0.0,2023-08-24,8199.00751953125,73.94839200404562,8272.955911535295,8125.059127527204,8346.90430353934,8051.110735523158,86.13090290912818,-1.8718817272958812,14310129,285964.30819422536,264217.35874979716,6872.9029703599845,55.65618459067482,8233.133463541666,8302.266927083332,8142.266927083332,8393.133463541666,8073.133463541666,8462.266927083332,7982.266927083332,-0.26329805663043065,-33.47690699649413,-1.7857258290259779,-3.3644809190556932,1.5787550900297154,51.56839766913904,11.929166001956716,8202.18994140625,8199.00751953125,8223.93828125,7944.810971679687,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
14,2023-08-23 00:00:00+05:30,8209.900390625,8234.900390625,8147.0,8161.89990234375,208545,0.0,0.0,2023-08-23,8204.15498046875,78.31085703891294,8282.465837507661,8125.844123429836,8360.776694546576,8047.533266390923,24.91355607176521,-46.258134628047124,14036292,216467.9080487812,258780.62138869008,6870.945440524003,46.6357662438668,8181.266764322917,8215.533528645834,8127.633138020834,8269.167154947918,8093.366373697917,8303.433919270834,8039.732747395834,-0.2756825961076329,-41.41866813750355,-3.998268424113121,-3.759169691563122,-0.23909873254999914,47.925986635681454,12.044233481399838,8201.37978515625,8204.15498046875,8222.936259765625,7936.860014648438,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
15,2023-08-22 00:00:00+05:30,8222.0498046875,8267.9501953125,8192.0498046875,8203.5,193112,0.0,0.0,2023-08-22,8213.815649414062,84.497138765388,8298.31278817945,8129.318510648674,8382.809926944838,8044.821371883286,86.35794135500487,-7.382710640020947,14244837,201470.24668302748,269358.79972366727,6869.506001060309,47.55433931109091,8221.166666666666,8250.283528645832,8174.383138020832,8297.067057291666,8145.266276041666,8326.183919270832,8098.482747395832,-0.14941013324829355,-34.061392007613215,-1.8953655003651875,-3.699395008425622,1.8040295080604345,50.91413336620536,12.665314228306942,8219.3798828125,8213.815649414062,8222.021376953126,7928.9605859375,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
16,2023-08-21 00:00:00+05:30,8214.400390625,8278.9501953125,8205.5,8219.2998046875,216794,0.0,0.0,2023-08-21,8212.76328125,84.7630254230939,8297.526306673093,8128.000255826906,8382.289332096187,8043.237230403812,115.95812424494632,5.601103545587817,14437949,226612.86132890504,286330.9379838272,6868.127222629824,47.21066475372247,8234.583333333334,8263.666666666668,8190.216471354168,8308.033528645834,8161.133138020834,8337.116861979168,8116.766276041668,-0.058944313499355576,-39.09561118264551,-3.2712741701916457,-4.150402385440731,0.8791282152490849,52.058867535793006,13.341701245843035,8189.53984375,8212.76328125,8219.21732421875,7920.6680517578125,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
17,2023-08-18 00:00:00+05:30,8200.0,8246.400390625,8165.7998046875,8214.849609375,265260,0.0,0.0,2023-08-18,8205.911328125,89.60728366459901,8295.5186117896,8116.3040444604,8385.125895454197,8026.696760795801,94.03550423624611,-16.362198405301072,14221155,277123.81973236427,301260.45714755775,6866.557605825329,47.585748258305166,8209.0166015625,8252.2333984375,8171.6328125,8289.6171875,8128.416015625,8332.833984375,8091.0322265625,-0.09821031493965984,-46.205835326651815,-6.5393308201737455,-4.370184439253002,-2.1691463809207434,51.77530160476038,13.885020838429936,8172.269921875,8205.911328125,8217.2410546875,7912.105034179687,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
18,2023-08-17 00:00:00+05:30,8225.099609375,8233.099609375,8150.0498046875,8207.349609375,248724,0.0,0.0,2023-08-17,8204.505517578125,89.68019627623323,8294.185713854358,8114.8253213018925,8383.865910130591,8025.145125025659,87.71984285743856,-26.493281324286645,13955895,259611.00654573535,307294.6165013561,6864.638455412164,41.113594690121374,8196.8330078125,8243.6162109375,8160.56640625,8279.8828125,8113.783203125,8326.666015625,8077.5166015625,-0.12502537233527813,-47.98161329891222,-10.186076071266143,-3.827897844022816,-6.358178227243327,51.32472279312226,14.866040203895848,8149.7400390625,8204.505517578125,8214.3971484375,7903.149516601563,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
19,2023-08-16 00:00:00+05:30,8004.9501953125,8265.0,7987.64990234375,8251.900390625,282782,0.0,0.0,2023-08-16,8208.7033203125,91.76112010465471,8300.464440417154,8116.9422002078445,8392.225560521809,8025.18108010319,14.990677312573755,-52.25805379093708,14204619,296761.9476575882,319215.5189902613,6862.843996152141,34.619283406043095,8168.183430989583,8348.716959635416,8071.366861979166,8445.533528645832,7890.833333333333,8626.067057291666,7794.016764322916,-0.12493029210303151,-37.4333071668133,-13.962044217420043,-2.2383532872119845,-11.72369093020806,54.11346486908588,15.934796031499165,8130.5201171875,8208.7033203125,8207.17294921875,7893.178486328125,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
20,2023-08-14 00:00:00+05:30,8129.7998046875,8142.5498046875,8019.0498046875,8054.2998046875,544313,0.0,0.0,2023-08-14,8203.048413085937,92.44132530902405,8295.489738394961,8110.6070877769125,8387.931063703985,8018.165762467888,-127.81751558003778,-135.59420382051306,13921837,557543.7761536164,324828.9118234296,6860.730189106275,33.02193304971735,8071.966471354167,8124.883138020834,8001.383138020834,8195.466471354168,7948.466471354167,8248.383138020834,7877.883138020834,-0.19525245147371612,-91.21093182662273,-22.972458494049533,0.6925694453400304,-23.665027939389564,40.88403734199581,17.0857638458412,8111.51005859375,8203.048413085937,8198.43359375,7883.227319335938,ULTRACEMCO.NS,2023-09-11 11:01:55.262900
