Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-07 00:00:00+05:30,831.9500122070312,833.9000244140625,820.25,823.5499877929688,29602,0.0,0.0,2023-08-07,815.7021329697156,811.5131246096568,54.379790980775745,13.766901581450636,813.5530478652112,810.4549957275391,819.2829420985637,4.189008360058892,3.701118745500425,810.4549957275391,15.400873353899197,825.8558690814383,795.0541223736399,841.2567424353375,779.6532490197407,VBL.BO,2023-08-07 13:44:57.923865
2,2023-08-04 00:00:00+05:30,837.9500122070312,838.0,815.9000244140625,824.75,55882,0.0,0.0,2023-08-04,814.2752502745786,810.5501755549918,54.80937599609666,14.742153496779366,812.5007383991314,809.9599975585937,817.1494192513611,3.7250747195868144,3.5791463418608083,809.9599975585937,15.114266576148777,825.0742641347425,794.8457309824449,840.1885307108913,779.7314644062961,VBL.BO,2023-08-07 13:44:57.923865
3,2023-08-03 00:00:00+05:30,808.1500244140625,832.0999755859375,805.0,822.0499877929688,113329,0.0,0.0,2023-08-03,812.3707503245021,809.4141895993912,54.05099838326692,15.79242479021031,811.2113424411452,808.8024963378906,813.3491288770416,2.956560725110876,3.5426642474293066,808.8024963378906,14.805279361040904,823.6077756989315,793.9972169768497,838.4130550599724,779.1919376158088,VBL.BO,2023-08-07 13:44:57.923865
4,2023-07-28 00:00:00+05:30,800.5499877929688,806.9500122070312,792.0,804.4000244140625,27841,0.0,0.0,2023-07-28,810.6108889665991,808.403325743905,48.839425163727974,16.61967999741291,810.0704324041111,808.7449981689454,808.998699419078,2.2075632226940343,3.6891901280089145,808.7449981689454,14.753264896685303,823.4982630656307,793.99173327226,838.251527962316,779.2384683755747,VBL.BO,2023-08-07 13:44:57.923865
5,2023-07-26 00:00:00+05:30,805.3499755859375,814.4000244140625,800.25,806.25,76841,0.0,0.0,2023-07-26,811.7401370670602,808.7235898502925,49.38458837088343,16.03247960254743,810.6673174556952,809.9074981689453,811.2980369215857,3.0165472167677763,4.059596854337634,809.9074981689453,15.298797291086718,825.206295460032,794.6087008778585,840.5050927511187,779.3099035867718,VBL.BO,2023-08-07 13:44:57.923865
6,2023-07-24 00:00:00+05:30,800.5499877929688,818.5,785.0,817.5499877929688,121789,0.0,0.0,2023-07-24,812.7383438065258,808.9214770383159,52.72249332668205,15.743945018931932,811.1322982405052,809.9562469482422,813.8220553823784,3.816866768209934,4.320359263730099,809.9562469482422,15.288079081779841,825.2443260300221,794.6681678664623,840.5324051118018,779.3800887846826,VBL.BO,2023-08-07 13:44:57.923865
7,2023-07-21 00:00:00+05:30,812.6500244140625,824.0,796.0499877929688,800.5499877929688,146572,0.0,0.0,2023-07-21,811.8634994453543,808.2311961779436,47.79306545933768,15.433215467346011,810.4567519718248,809.4924987792969,811.9580891770831,3.6323032674106344,4.44623238761014,809.4924987792969,15.185939203079498,824.6784379823763,794.3065595762174,839.8643771854559,779.1206203731379,VBL.BO,2023-08-07 13:44:57.923865
8,2023-07-20 00:00:00+05:30,820.6500244140625,823.5499877929688,807.6500244140625,812.5999755859375,82206,0.0,0.0,2023-07-20,813.9205015639698,808.8456928487416,51.314638210515696,15.54986054871922,811.4995692538096,809.35625,817.6621398691402,5.074808715228187,4.649714667660016,809.35625,15.282312971965707,824.6385629719657,794.0739370280344,839.9208759439315,778.7916240560686,VBL.BO,2023-08-07 13:44:57.923865
9,2023-07-19 00:00:00+05:30,822.5999755859375,830.7999877929688,818.0999755859375,819.8499755859375,58691,0.0,0.0,2023-07-19,814.1605971963393,808.545350229766,53.51774664501658,16.183790533393076,811.3837370083223,808.5612518310547,820.1932220107415,5.615246966573295,4.543441155767973,808.5612518310547,15.516461315430746,824.0777131464855,793.044790515624,839.5941744619163,777.5283292001932,VBL.BO,2023-08-07 13:44:57.923865
10,2023-07-17 00:00:00+05:30,833.2999877929688,837.2000122070312,824.9500122070312,828.75,84076,0.0,0.0,2023-07-17,813.1261647618668,807.6409802012722,56.271669156690336,17.355749570070593,810.4925540001523,807.1275024414062,820.3648452231433,5.4851845605945755,4.2754897030666426,807.1275024414062,15.741639402107367,822.8691418435136,791.3858630392989,838.610781245621,775.6442236371915,VBL.BO,2023-08-07 13:44:57.923865
