Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-23 00:00:00+05:30,423.1000061035156,428.0,401.29998779296875,405.54998779296875,14720,0.0,0.0,2023-10-23,424.22999572753906,11.299734984630426,435.5297307121695,412.9302607429086,446.8294656967999,401.6305257582782,-254.44562239972842,-114.20150475509635,3775393,18174.751207097506,21700.15202821951,399.9760740466859,49.13964585393501,411.6166585286458,421.9333292643229,395.23331705729163,438.31667073567706,384.91664632161456,448.63334147135413,368.5333048502604,-0.021858565815781453,-91.27310280348063,0.3523532530057878,1.9817771002275892,-1.6294238472218014,38.40149044047996,21.91196963517875,424.0299926757813,424.22999572753906,425.18118957519533,405.3595245361328,VIDHIING.NS,2023-10-23 11:10:18.581288
2,2023-10-20 00:00:00+05:30,427.29998779296875,431.95001220703125,424.0,427.3999938964844,24478,0.0,0.0,2023-10-20,424.55499572753905,10.81736810237983,435.37236382991887,413.73762762515923,446.1897319322987,402.9202595227794,-110.00687511594228,-5.853979678876917,3790113,31851.267095035164,22581.50223350001,399.972398043925,49.14443946408894,427.78333536783856,431.5666707356771,423.61665852864587,435.7333475748698,419.8333231608073,439.51668294270837,415.6666463216146,-0.0072749838865313445,-55.87144445802458,2.366092229129663,2.3891330620330393,-0.02304083290337644,50.560243761590655,21.816804425765707,429.87999267578124,424.55499572753905,425.5061785888672,404.80170288085935,VIDHIING.NS,2023-10-23 11:10:18.581288
3,2023-10-19 00:00:00+05:30,425.1000061035156,435.04998779296875,425.1000061035156,430.25,8332,0.0,0.0,2023-10-19,424.24499664306643,10.82038405724516,435.0653807003116,413.42461258582125,445.88576475755673,402.60422852857613,-78.31059319450665,9.028491579217905,3814591,10914.061889018392,20264.06101811622,399.9422854620061,56.92495591546151,430.1333312988281,435.1666564941406,425.2166748046875,440.08331298828125,420.183349609375,445.11663818359375,415.2666931152344,-0.008789496341705097,-48.82569601936225,2.7565439197430806,2.3948932702588834,0.3616506494841971,52.57647899968803,22.7422382564212,431.5799926757812,424.24499664306643,425.3582012939453,404.04636138916015,VIDHIING.NS,2023-10-23 11:10:18.581288
4,2023-10-18 00:00:00+05:30,424.0,434.95001220703125,422.1000061035156,430.1499938964844,28018,0.0,0.0,2023-10-18,424.11219329833983,10.75892796294373,434.8711212612836,413.3532653353961,445.63004922422726,402.5943373724524,-52.84874802654669,0.7473374139964951,3806259,36692.16382539159,22601.560800390675,399.9309549613055,56.46882962542207,429.06667073567706,436.0333353678385,423.1833292643229,441.9166768391927,416.21666463216144,448.88334147135413,410.33332316080725,0.015798507016071568,-48.41464903296494,2.933992166170981,2.304480607887834,0.6295115582831468,52.514782442462,23.572802054627246,432.7099914550781,424.11219329833983,425.02834228515627,403.20607330322264,VIDHIING.NS,2023-10-23 11:10:18.581288
5,2023-10-17 00:00:00+05:30,437.0,437.0,424.0,426.79998779296875,8291,0.0,0.0,2023-10-17,423.80955505371094,10.664869720746374,434.4744247744573,413.14468533296457,445.13929449520367,402.4798156122182,-16.834689358855112,3.8665800820893272,3778241,10773.271018845297,19078.910044140444,399.8929175682406,63.14514869289422,429.26666259765625,434.5333251953125,421.5333251953125,442.26666259765625,416.26666259765625,447.5333251953125,408.5333251953125,-0.04388882881394839,-56.31069255623159,3.1265743529866086,2.147102718317047,0.9794716346695616,50.512031788216674,24.478514384971074,434.639990234375,423.80955505371094,424.81737243652344,402.38027252197264,VIDHIING.NS,2023-10-23 11:10:18.581288
6,2023-10-16 00:00:00+05:30,435.0,442.45001220703125,432.1000061035156,434.79998779296875,15389,0.0,0.0,2023-10-16,423.8717315673828,10.686823942291495,434.5585555096743,413.18490762509134,445.2453794519658,402.49808368279986,56.861172618897406,53.50012738508742,3786532,20371.180399940255,21155.31980046423,399.8828915592992,63.57097878537103,436.4500020345052,440.79999796549475,430.44999186197913,446.8000081380208,426.09999593098956,451.1500040690104,420.0999857584635,0.006842960350724327,-36.8932225812234,3.6556904151955223,1.9022348096496562,1.753455605545866,55.72359584875415,25.19400943326354,435.59999389648436,423.8717315673828,424.1049426269531,401.57548370361326,VIDHIING.NS,2023-10-23 11:10:18.581288
7,2023-10-13 00:00:00+05:30,436.8500061035156,440.1000061035156,433.3500061035156,435.8999938964844,6458,0.0,0.0,2023-10-13,423.11930084228516,10.402892921959493,433.52219376424466,412.71640792032565,443.92508668620417,402.31351499836614,65.37952074456868,56.57783250500164,3801921,8570.401649613199,21351.35465059522,399.85872561618896,61.57047552515453,436.4500020345052,439.54999796549475,432.79999796549475,443.2000020345052,429.7000020345052,446.29999796549475,426.04999796549475,-0.002751706389919283,-34.22330564530585,3.48985127642959,1.4638709082631896,2.0259803681664006,56.46745285058169,24.760619896547276,434.63999633789064,423.11930084228516,423.2245202636719,400.75463409423827,VIDHIING.NS,2023-10-23 11:10:18.581288
8,2023-10-12 00:00:00+05:30,435.1000061035156,442.0,434.1499938964844,435.8999938964844,18938,0.0,0.0,2023-10-12,422.30437622070315,9.978741077928564,432.28311729863174,412.32563514277456,442.26185837656027,402.346894064846,83.78762304388172,65.60312871831779,3808379,25132.590034124307,24546.592900840726,399.8482548252358,61.22973073480667,437.34999593098956,440.54999796549475,432.69999186197913,445.2000020345052,429.49998982747394,448.4000040690104,424.8499857584635,0.10671261598849946,-34.22330564530585,3.116316455596291,0.9573758162215893,2.1589406393747015,56.46745285058169,24.496082057068037,436.1199951171875,422.30437622070315,422.43898681640627,399.98072937011716,VIDHIING.NS,2023-10-23 11:10:18.581288
9,2023-10-11 00:00:00+05:30,428.1000061035156,442.0,422.3999938964844,439.79998779296875,19901,0.0,0.0,2023-10-11,420.90001220703124,9.941017886320841,430.84103009335206,410.9589943207104,440.78204797967294,401.01797643438954,86.91580008284326,53.75943064943905,3827317,26646.88112895579,24400.093617519826,399.81751425845357,48.639910696459836,434.7333272298177,447.066660563151,427.4666544596354,454.3333333333333,415.13332112630206,466.66666666666663,407.86664835611975,-0.003995559899328677,-24.757303846843282,2.5908617765658164,0.4176406563779138,2.1732211201879026,58.869855779113614,24.091302389466744,432.97999877929686,420.90001220703124,421.51958068847654,399.25427978515626,VIDHIING.NS,2023-10-23 11:10:18.581288
10,2023-10-10 00:00:00+05:30,432.1499938964844,435.70001220703125,430.0,431.6000061035156,9934,0.0,0.0,2023-10-10,420.64686889648436,9.488574247344639,430.135443143829,411.15829464913975,439.62401739117365,401.6697204017951,97.91847392123955,43.7943898703105,3807416,13053.346596601998,23838.396739660835,399.7816563118486,40.59466158348144,432.43333943684894,434.8666788736979,429.16666666666663,438.1333516438802,426.7333272298177,440.56669108072913,423.4666544596354,-0.03180571746147048,-44.6601661281649,1.49477476926603,-0.1256646236690619,1.620439392935092,55.14393716648348,23.65538582435766,427.7,420.64686889648436,420.5211755371094,398.51430572509764,VIDHIING.NS,2023-10-23 11:10:18.581288
