Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-07 00:00:00+05:30,2300.0,2374.949951171875,2286.050048828125,2318.699951171875,17330,0.0,0.0,2023-12-07,2366.1424926757813,68.59568021602959,2434.738172891811,2297.546812459752,2503.3338531078407,2228.951132243722,-21.626734473761324,-33.60740072429347,2186559,38401.098850077455,54429.58274305916,1720.9427696293267,43.151257762297185,2326.566650390625,2367.083251953125,2278.183349609375,2415.466552734375,2237.666748046875,2455.983154296875,2189.283447265625,-0.30600712313227807,-65.68809899246396,-18.57522448884083,-7.40838077099124,-11.166843717849591,46.10904657804676,15.500334413749014,2292.77998046875,2366.1424926757813,2334.2249951171875,2250.1771716308594,VINDHYATEL.NS,2023-12-07 11:07:19.682732
2,2023-12-06 00:00:00+05:30,2299.89990234375,2319.0,2291.0,2301.949951171875,9791,0.0,0.0,2023-12-06,2375.55,74.40281227550597,2449.952812275506,2301.1471877244944,2524.355624551012,2226.744375448988,-70.48328460907821,-48.93169792963608,2169229,21538.897220216662,58436.703716304575,1719.9602935997073,40.04618627419355,2303.9833170572915,2316.966634114583,2288.966634114583,2331.9833170572915,2275.9833170572915,2344.966634114583,2260.966634114583,-0.28844905946417077,-74.46922612221493,-18.929568894368003,-4.616669841528841,-14.312899052839162,43.92252171579846,15.751469413365825,2294.9,2375.55,2332.7849951171875,2246.0517895507815,VINDHYATEL.NS,2023-12-07 11:07:19.682732
3,2023-12-05 00:00:00+05:30,2295.0,2326.949951171875,2253.25,2293.800048828125,17257,0.0,0.0,2023-12-05,2385.8775024414062,77.9018884287457,2463.779390870152,2307.9756140126606,2541.6812792988976,2230.073725583915,-110.92640848234326,-58.038590134695156,2159438,37828.697931194045,67661.15534032654,1719.4193594671208,40.176131283607326,2291.3333333333335,2329.416666666667,2255.716715494792,2365.0332845052085,2217.6333821614585,2403.116617838542,2182.016764322917,-0.288085322064795,-78.74178305209699,-17.44680424849912,-1.0384450783190498,-16.40835917018007,42.87534431216463,14.729080038786302,2306.489990234375,2385.8775024414062,2332.6519970703125,2242.04919921875,VINDHYATEL.NS,2023-12-07 11:07:19.682732
4,2023-12-04 00:00:00+05:30,2330.0,2333.0,2272.25,2279.0,11053,0.0,0.0,2023-12-04,2398.8099975585938,83.10694277399605,2481.91694033259,2315.7030547845975,2565.023883106586,2232.5961120106017,-149.4110897655937,-54.0139384982751,2142181,24072.712634868516,75119.26969260965,1718.4768640579605,40.00309874871449,2294.75,2317.25,2256.5,2355.5,2234.0,2378.0,2195.75,-0.3104445479389624,-91.26103730030233,-14.481428762759606,3.0636447142259677,-17.545073476985575,41.018095888261485,13.628045327700661,2321.489990234375,2398.8099975585938,2334.17099609375,2238.0108740234373,VINDHYATEL.NS,2023-12-07 11:07:19.682732
5,2023-12-01 00:00:00+05:30,2335.949951171875,2356.949951171875,2263.199951171875,2270.449951171875,46564,0.0,0.0,2023-12-01,2411.6775024414064,83.5022548668949,2495.1797573083013,2328.1752475745116,2578.682012175196,2244.6729927076167,-210.2958682518088,-49.59803436176472,2131128,101032.88391992515,87880.90895704493,1717.8871458982649,38.09387527283881,2296.8666178385415,2330.533284505208,2236.783284505208,2390.6166178385415,2203.1166178385415,2424.283284505208,2143.033284505208,-0.2809432011480847,-95.9900453307443,-9.007853388660351,7.449913083472361,-16.45776647213271,39.97114532157008,12.692621163429186,2341.419970703125,2411.6775024414064,2335.98599609375,2233.9273095703124,VINDHYATEL.NS,2023-12-07 11:07:19.682732
6,2023-11-30 00:00:00+05:30,2370.0,2377.0,2325.10009765625,2329.300048828125,8465,0.0,0.0,2023-11-30,2423.8025024414064,79.42241494676186,2503.2249173881683,2344.3800874946446,2582.64733233493,2264.957672547883,-147.00489745023708,-7.936239531776848,2177692,18843.125236011554,84592.91521632487,1715.4271641610906,40.478210411936395,2343.800048828125,2362.5,2310.60009765625,2395.699951171875,2291.900146484375,2414.39990234375,2258.7001953125,-0.1944765502704536,-94.4433969812827,-1.0214853601328286,11.56435470150554,-12.585840061638368,45.086152297424704,11.68524129421375,2361.0599609375,2423.8025024414064,2338.48599609375,2229.71017578125,VINDHYATEL.NS,2023-12-07 11:07:19.682732
7,2023-11-29 00:00:00+05:30,2377.14990234375,2409.0,2335.050048828125,2359.89990234375,48134,0.0,0.0,2023-11-29,2429.5125,76.3150244406949,2505.8275244406946,2353.197475559305,2582.1425488813898,2276.88245111861,-60.625261273647006,14.347348910309766,2186157,108554.06030907312,101030.36271140318,1714.9299345333197,45.655127076336505,2367.9833170572915,2400.916585286458,2326.966634114583,2441.9332682291665,2294.0333658854165,2474.866536458333,2253.016682942708,-0.13319353599791467,-83.41566589378519,3.423119927823336,14.710814716915133,-11.287694789091796,48.05529565731049,11.444490599037051,2372.269970703125,2429.5125,2342.1649951171876,2224.5746923828124,VINDHYATEL.NS,2023-12-07 11:07:19.682732
8,2023-11-28 00:00:00+05:30,2379.0,2414.800048828125,2360.550048828125,2368.800048828125,78839,0.0,0.0,2023-11-28,2426.8125,79.7839308115721,2506.596430811572,2347.028569188428,2586.3803616231444,2267.2446383768556,16.114175488972418,26.90859770622592,2234291,178471.98199913348,99149.4383119857,1711.945597152143,48.91217629073811,2381.3833821614585,2402.216715494792,2347.966715494792,2435.6333821614585,2327.1333821614585,2456.466715494792,2293.716715494792,-0.13976517800484514,-80.16090338743504,6.048074155897666,17.53273841418808,-11.484664258290415,48.925471270562795,11.333108868595275,2380.95,2426.8125,2345.297998046875,2219.154074707031,VINDHYATEL.NS,2023-12-07 11:07:19.682732
9,2023-11-24 00:00:00+05:30,2388.25,2414.949951171875,2371.0,2378.64990234375,7849,0.0,0.0,2023-11-24,2426.1949951171873,80.30266897320543,2506.497664090393,2345.892326143982,2586.8003330635984,2265.5896571707763,59.56980774626679,34.245030386209905,2313130,17842.076257943878,79318.80239019873,1706.9294453363696,56.19128550953461,2388.199951171875,2405.39990234375,2361.449951171875,2432.14990234375,2344.25,2449.349853515625,2317.5,-0.03951637035184339,-76.55883526732265,8.44064394329098,20.403904478760687,-11.963260535469708,49.8531983224729,11.593467994946133,2383.75,2426.1949951171873,2345.9449951171873,2213.8426623535156,VINDHYATEL.NS,2023-12-07 11:07:19.682732
10,2023-11-23 00:00:00+05:30,2380.0,2435.0,2352.550048828125,2368.64990234375,89983,0.0,0.0,2023-11-23,2418.8675048828127,90.86146347484608,2509.7289683576587,2328.0060414079667,2600.5904318325047,2237.1445779331207,-14.90453388630223,34.83393380695115,2305281,203686.32818421227,94687.98392326245,1706.4183597498782,57.79568498536285,2385.3999837239585,2418.249918619792,2335.799967447917,2467.8499348958335,2302.9500325520835,2500.699869791667,2253.350016276042,-0.017187668928215254,-80.93397232929516,10.405908416621969,23.394719612628112,-12.988811196006143,48.94047091011811,12.030163632025108,2376.52001953125,2418.8675048828127,2351.737998046875,2208.4690148925783,VINDHYATEL.NS,2023-12-07 11:07:19.682732
