Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-30 00:00:00+05:30,315.3500061035156,315.3999938964844,311.0,313.1000061035156,5465,0.0,0.0,2023-11-30,319.6574996948242,5.6347696305196475,325.29226932534385,314.02273006430454,330.9270389558635,308.3879604337849,-135.7229308054387,-117.15271914609488,-421632,10427.772336493028,14990.472497770372,330.83000302774843,24.66141642828029,313.1666666666667,315.33333333333337,310.933339436849,317.56666056315106,308.7666727701823,319.73332722981775,306.5333455403646,-0.009944102735558109,-77.65664991942364,-3.3058324699621835,-3.2196302281165816,-0.08620224184560188,41.50913835105578,10.245202593533092,316.27000122070314,319.6574996948242,326.28799926757813,333.7213265991211,VISHNU.BO,2023-11-30 11:13:22.318553
2,2023-11-29 00:00:00+05:30,316.04998779296875,319.3999938964844,312.5,314.0,7903,0.0,0.0,2023-11-29,320.3324996948242,5.616456646724461,325.9489563415487,314.7160430480997,331.5654129882731,309.0995864013753,-93.0304507842433,-103.64295339091153,-416167,15123.068821863026,16131.147538089706,330.8389618098232,29.10920302022386,315.2999979654948,318.0999959309896,311.20000203450525,322.1999918619792,308.40000406901044,324.999989827474,304.30000813802087,-0.025696487681003057,-82.30088495575221,-3.1931776940168106,-3.198079667655181,0.004901973638370194,42.28856365079724,10.600314157308238,316.8799987792969,320.3324996948242,327.07999938964844,334.1967495727539,VISHNU.BO,2023-11-30 11:13:22.318553
3,2023-11-28 00:00:00+05:30,316.1499938964844,318.6000061035156,313.3500061035156,316.0,9959,0.0,0.0,2023-11-28,320.8375,5.469244949409581,326.30674494940956,315.3682550505904,331.77598989881915,309.8990101011808,-78.05891395057368,-103.61666294969537,-408264,19178.786011855173,16383.167217146376,330.8512751221909,28.965075529588177,315.98333740234375,318.6166687011719,313.3666687011719,321.23333740234375,310.73333740234375,323.8666687011719,308.1166687011719,-0.016668931183026266,-75.22123893805309,-3.089199725316064,-3.199305161064773,0.11010543574870901,43.993148515551866,11.27090591658658,317.3799987792969,320.8375,327.6649993896484,334.68614685058594,VISHNU.BO,2023-11-30 11:13:22.318553
4,2023-11-24 00:00:00+05:30,324.04998779296875,325.79998779296875,315.8999938964844,316.3500061035156,3731,0.0,0.0,2023-11-24,321.42250061035156,5.54971938254834,326.9722199928999,315.8727812278032,332.52193937544826,310.32306184525487,92.98134959710622,-74.96026361763049,-398305,7193.022101785122,15684.262518469175,330.8649728160225,34.87576675836661,319.34999593098956,322.79999796549475,312.9000040690104,329.24998982747394,309.4500020345052,332.69999186197913,303.000010172526,-0.010731980984263768,-73.98227927959071,-3.106240057429204,-3.22683152000195,0.120591462572746,44.28320871465624,12.121703267908472,317.9899963378906,321.42250061035156,328.1009991455078,335.1860095214844,VISHNU.BO,2023-11-30 11:13:22.318553
5,2023-11-23 00:00:00+05:30,317.20001220703125,327.3500061035156,315.8500061035156,321.8999938964844,8428,0.0,0.0,2023-11-23,321.55749969482423,5.451810132840082,327.0093098276643,316.10568956198415,332.4611199605044,310.65387942914407,241.0958471979806,-53.887908071760656,-394574,16533.46170950675,17807.072622640186,330.8699899923251,35.13754773440384,321.7000020345052,327.54999796549475,316.04999796549475,333.2000020345052,310.2000020345052,339.04999796549475,304.54999796549475,0.043879655971343516,-54.336304791205755,-3.1154629010501367,-3.2569793856451366,0.14151648459499988,49.04460820150596,12.550905006193512,317.6499938964844,321.55749969482423,328.95299926757815,335.7163336181641,VISHNU.BO,2023-11-30 11:13:22.318553
6,2023-11-22 00:00:00+05:30,315.25,321.29998779296875,314.70001220703125,316.1499938964844,3715,0.0,0.0,2023-11-22,321.1600006103516,5.709267138525247,326.86926774887684,315.4507334718263,332.57853488740204,309.7414663333011,-27.592584137608025,-104.22300721836328,-403002,7157.6473015286165,18125.475350923545,330.8769992831821,33.718422192945894,317.3833312988281,320.066650390625,313.4666748046875,323.9833068847656,310.7833557128906,326.6666259765625,306.86669921875,0.02636832441742893,-74.69028709209071,-3.6266566592201457,-3.2923585067938865,-0.33429815242625915,43.165706738069495,13.013122262808173,316.0199951171875,321.1600006103516,329.8579992675781,336.16368896484374,VISHNU.BO,2023-11-30 11:13:22.318553
7,2023-11-21 00:00:00+05:30,321.70001220703125,321.70001220703125,315.04998779296875,316.5,10458,0.0,0.0,2023-11-21,321.1200012207031,5.748879816720661,326.86888103742376,315.37112140398244,332.6177608541444,309.6222415872618,-28.789543756454478,-107.52259690411927,-399287,20171.614064322617,20867.432363272277,330.8820736303844,33.62356780168935,317.75,320.45001220703125,313.79998779296875,324.4000244140625,311.0999755859375,327.10003662109375,307.14996337890625,-0.03290373938689248,-73.45132743362832,-3.6599023547677234,-3.2087839686873214,-0.451118386080402,43.44904274213608,13.450215764389716,315.88999633789064,321.1200012207031,330.6609991455078,336.61560424804685,VISHNU.BO,2023-11-30 11:13:22.318553
8,2023-11-20 00:00:00+05:30,320.8999938964844,321.0,313.6000061035156,319.04998779296875,7723,0.0,0.0,2023-11-20,322.07000122070315,6.4699008265731495,328.5399020472763,315.60010039413,335.0098028738494,309.1301995675569,-34.9568338541518,-113.51882727058516,-388829,15016.304479387369,21041.38693800969,330.8960372662678,38.96434862821446,317.8833312988281,322.1666564941406,314.76666259765625,325.2833251953125,310.48333740234375,329.566650390625,307.3666687011719,-0.01800329077813073,-64.42482197179204,-3.6814841516139722,-3.096004372167221,-0.5854797794467514,45.46814151361497,13.97822708511973,316.2399963378906,322.07000122070315,331.4279992675781,337.1549169921875,VISHNU.BO,2023-11-30 11:13:22.318553
9,2023-11-17 00:00:00+05:30,317.75,317.75,311.3500061035156,314.6499938964844,13074,0.0,0.0,2023-11-17,323.19500122070315,7.747222297327972,330.94222351803114,315.44777892337515,338.6894458153591,307.7005566260472,-82.77926771056109,-160.53351222658242,-396552,25070.009978619644,22547.657552665274,330.90453688499264,33.72750220444517,314.5833333333333,317.816660563151,311.41666666666663,320.9833272298177,308.18333943684894,324.2166544596354,305.01667277018225,-0.0028463815362125174,-80.00002160536505,-3.9044704900412057,-2.949634427305533,-0.9548360627356729,41.08123041580328,14.422603795221757,315.1599975585938,323.19500122070315,331.7669995117187,337.604801940918,VISHNU.BO,2023-11-30 11:13:22.318553
10,2023-11-16 00:00:00+05:30,322.6000061035156,322.6000061035156,312.95001220703125,313.75,4535,0.0,0.0,2023-11-16,324.5500015258789,8.506715384881845,333.0567169107607,316.04328614099705,341.5634322956426,307.53657075611517,-76.61497953622052,-150.62271571780136,-409626,8671.202418644514,21917.069446176676,330.92430434845573,39.60485432954038,316.43333943684894,319.91666666666663,310.26667277018225,326.0833333333333,306.78334554036456,329.566660563151,300.6166788736979,0.016182210245401094,-83.1858407079646,-3.697469198827662,-2.7109254116216146,-0.9865437872060472,40.167002572164044,14.319371081990022,316.7099975585937,324.5500015258789,332.13199951171873,338.1206619262695,VISHNU.BO,2023-11-30 11:13:22.318553
