Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,4020.0,4074.949951171875,3967.60009765625,4015.699951171875,10023,0.0,0.0,2023-11-24,3770.5174926757813,216.21098380532814,3986.7284764811093,3554.3065088704534,4202.939460286438,3338.095525065125,38.92767677627419,143.97381860885818,1209233,13490.299974674212,25560.991437145043,2885.2621663403424,87.70448563537842,4019.4166666666665,4071.233235677083,3963.883382161458,4126.766520182291,3912.0668131510415,4178.583089192708,3856.533528645833,0.1364525381741401,-25.834657408981606,106.29679285723068,76.41182617079232,29.88496668643836,66.50606128108977,37.82323749351036,4033.339990234375,3770.5174926757813,3717.5010009765624,3436.06138671875,VSTTILLERS.NS,2023-11-27 11:06:25.180931
2,2023-11-23 00:00:00+05:30,4049.949951171875,4068.050048828125,3985.949951171875,4015.89990234375,5980,0.0,0.0,2023-11-23,3746.467492675781,214.24580395940703,3960.7132966351883,3532.221688716374,4174.959100594595,3317.975884756967,48.81215394330587,158.02978653026724,1219256,8049.0881669556,28578.664302762747,2883.4699062543727,90.45756322250658,4023.2999674479165,4060.649983723958,3978.549886067708,4105.400065104166,3941.1998697916665,4142.750081380208,3896.449788411458,0.15025394616370688,-25.806007000634576,105.91538521947405,68.94058449918272,36.97480072029133,66.52535602709807,36.894506003240146,4030.72001953125,3746.467492675781,3710.612001953125,3424.1260961914063,VSTTILLERS.NS,2023-11-27 11:06:25.180931
3,2023-11-22 00:00:00+05:30,4080.0,4121.0,4015.0,4047.800048828125,10519,0.0,0.0,2023-11-22,3720.4799926757814,211.34682088866705,3931.8268135644485,3509.1331717871144,4143.1736344531155,3297.7863508984474,76.08777317611042,191.77154545727183,1225236,14271.056568283351,33711.05833671453,2882.3976954198965,92.22408999508303,4061.2666829427085,4107.533365885417,4001.533365885417,4167.266682942709,3955.2666829427085,4213.533365885417,3895.533365885417,0.14975734974660868,-20.134493762730685,103.80259714027625,59.696884319109884,44.105712821166364,69.51221680961686,35.54147467928104,4041.46005859375,3720.4799926757814,3702.897001953125,3412.078142089844,VSTTILLERS.NS,2023-11-27 11:06:25.180931
4,2023-11-21 00:00:00+05:30,4018.199951171875,4087.449951171875,4008.199951171875,4067.0,10866,0.0,0.0,2023-11-21,3692.0849853515624,203.04224698853582,3895.127232340098,3489.0427383630267,4098.169479328634,3286.0004913744906,91.89449052424756,206.8946693043308,1235755,14811.7541303367,38571.05877882232,2880.4534910947204,87.99195665428724,4054.2166341145835,4100.233317057292,4020.983317057292,4133.466634114584,3974.9666341145835,4179.483317057292,3941.733317057292,0.1332841042654023,-17.294545768763218,96.3831404435955,48.67045611381829,47.712684329777204,71.30138683021731,33.524590636901976,3988.01005859375,3692.0849853515624,3695.0910009765626,3399.3414892578126,VSTTILLERS.NS,2023-11-27 11:06:25.180931
5,2023-11-20 00:00:00+05:30,4046.64990234375,4127.4501953125,3981.0,4020.300048828125,15268,0.0,0.0,2023-11-20,3671.224987792969,182.9323839515825,3854.1573717445513,3488.2926038413866,4037.089755696134,3305.360219889804,118.13865247662581,221.54894092746886,1224889,20573.265923203504,44510.884940943724,2878.4051838947744,87.85522377111131,4042.916748046875,4104.83349609375,3958.38330078125,4189.366943359375,3896.466552734375,4251.28369140625,3811.93310546875,0.10744478410134954,-23.55543292334461,83.53273265677308,36.74228503137398,46.790447625399096,69.53008450833372,31.509060141066215,3921.270068359375,3671.224987792969,3687.5380029296875,3385.768220214844,VSTTILLERS.NS,2023-11-27 11:06:25.180931
6,2023-11-17 00:00:00+05:30,4101.5,4196.0,3970.0,4002.60009765625,44178,0.0,0.0,2023-11-17,3655.064990234375,163.7414678400445,3818.8064580744194,3491.32352239433,3982.547925914464,3327.5820545542856,182.24311141664776,252.64464725906868,1209621,59266.717402840426,50495.28969537877,2875.6286459735247,90.13556489894324,4056.2000325520835,4142.400065104167,3916.400065104167,4282.200032552084,3830.2000325520835,4368.400065104167,3690.400065104167,0.13119686734259342,-25.92839893611102,70.41390677759,25.0446731250242,45.369233652565796,68.85351483310717,29.338488837858474,3868.6900390625,3655.064990234375,3680.972001953125,3372.940341796875,VSTTILLERS.NS,2023-11-27 11:06:25.180931
7,2023-11-16 00:00:00+05:30,3811.050048828125,4110.0,3779.10009765625,4069.60009765625,115248,0.0,0.0,2023-11-16,3639.4224853515625,142.33813287738104,3781.7606182289437,3497.0843524741813,3924.0987511063245,3354.7462195968005,193.5412418895982,226.90033139640252,1253799,157198.2669075144,48302.432768513354,2867.6435410505724,89.01651191523607,3986.2333984375,4193.36669921875,3862.466796875,4317.13330078125,3655.33349609375,4524.2666015625,3531.56689453125,0.19612033124494566,-6.122125825486968,54.294133884387065,13.702364711882748,40.591769172504314,74.68226749733053,27.000950511327062,3818.37001953125,3639.4224853515625,3674.045,3360.683974609375,VSTTILLERS.NS,2023-11-27 11:06:25.180931
8,2023-11-15 00:00:00+05:30,3758.39990234375,3809.0,3727.550048828125,3780.550048828125,10332,0.0,0.0,2023-11-15,3620.0524780273436,101.1033674092733,3721.155845436617,3518.9491106180703,3822.25921284589,3417.845743208797,89.19799139099545,72.37082856603021,1138551,13091.879838323983,21078.47423376309,2845.0082319592325,83.96964192231952,3772.36669921875,3817.183349609375,3735.7333984375,3853.816650390625,3690.916748046875,3898.63330078125,3654.283447265625,-0.05090229736793326,-6.767354372174002,26.234816560750005,3.5544224187566673,22.68039414199334,61.69044370729113,24.863345360469022,3749.02998046875,3620.0524780273436,3665.547998046875,3347.993818359375,VSTTILLERS.NS,2023-11-27 11:06:25.180931
9,2023-11-13 00:00:00+05:30,3764.64990234375,3787.0,3710.0,3733.300048828125,7670,0.0,0.0,2023-11-13,3617.45498046875,97.36099477046798,3714.815975239218,3520.093985698282,3812.1769700096856,3422.732990927814,90.78412018848967,52.47188212032201,1128219,9597.340011873279,23075.122832622863,2843.4260890824894,79.17929338111165,3743.433349609375,3776.86669921875,3699.86669921875,3820.433349609375,3666.433349609375,3853.86669921875,3622.86669921875,-0.0738271794256841,-16.202729081856432,18.379940605821503,-2.115676116741667,20.49561672256317,58.45439897361875,24.8641757824419,3718.02998046875,3617.45498046875,3664.017998046875,3338.417966308594,VSTTILLERS.NS,2023-11-27 11:06:25.180931
10,2023-11-10 00:00:00+05:30,3769.800048828125,3776.0,3705.0,3757.39990234375,8008,0.0,0.0,2023-11-10,3617.80498046875,97.81090341444236,3715.615883883192,3519.9940770543076,3813.4267872976347,3422.183173639865,120.04874128792905,56.791048815543995,1135889,10084.958268058363,26444.568537810257,2842.307507844393,77.2967429204476,3746.13330078125,3787.2666015625,3716.2666015625,3817.13330078125,3675.13330078125,3858.2666015625,3645.2666015625,-0.08281967542640849,-10.34400485729327,12.698244260408046,-7.239580297382459,19.937824557790506,60.89045434480203,25.137082240780295,3688.17998046875,3617.80498046875,3659.1649951171876,3328.9965234375,VSTTILLERS.NS,2023-11-27 11:06:25.180931
11,2023-11-09 00:00:00+05:30,3730.0,3776.0,3661.550048828125,3751.0,9503,0.0,0.0,2023-11-09,3617.7349853515625,97.70619409656167,3715.4411794481243,3520.0287912550007,3813.1473735446857,3422.3225971584393,155.73448959934717,46.82858230210205,1127881,11947.317758547277,30534.471105248227,2841.1049581751895,73.63290452657293,3729.5166829427085,3797.483317057292,3683.033365885417,3843.9666341145835,3615.0667317708335,3911.933268229167,3568.583414713542,-0.12131541762910529,-11.899834351105621,2.8580831498111365,-12.224036436830085,15.082119586641221,60.48436918058119,25.566169181286337,3653.389990234375,3617.7349853515625,3653.8099951171876,3319.68591796875,VSTTILLERS.NS,2023-11-27 11:06:25.180931
12,2023-11-08 00:00:00+05:30,3680.699951171875,3799.949951171875,3626.0,3722.89990234375,58734,0.0,0.0,2023-11-08,3620.5949829101564,102.53042020653564,3723.1254031166923,3518.0645627036206,3825.6558233232277,3415.534142497085,204.773783324341,38.522219174980236,1118378,73288.11634750295,35181.25944192347,2839.6837953623767,71.15033450092325,3716.2832845052085,3806.566569010417,3632.616617838542,3890.2332356770835,3542.3333333333335,3980.516520182292,3458.666666666667,-0.15899430312071586,-18.731026198164983,-9.153315816262875,-15.99456633349039,6.841250517227515,58.737621086060685,26.02826280952361,3610.02998046875,3620.5949829101564,3648.9019970703125,3309.6711303710936,VSTTILLERS.NS,2023-11-27 11:06:25.180931
