Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
1,2023-07-28 00:00:00+05:30,97.25,97.25,93.0,97.25,1057636,0.0,0.0,2023-07-28,88.14244720379787,87.49726265832571,0.6451845454721621,-0.6297284783598708,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
2,2023-07-27 00:00:00+05:30,92.6500015258789,92.6500015258789,92.6500015258789,92.6500015258789,112917,0.0,0.0,2023-07-27,86.4865285135793,86.71704367099176,-0.2305151574124551,-0.9484567343178789,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
3,2023-07-26 00:00:00+05:30,84.8499984741211,88.25,83.69999694824219,88.25,193307,0.0,0.0,2023-07-26,85.36589705679755,86.24240704260077,-0.8765099858032244,-1.1279421285442348,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
4,2023-07-25 00:00:00+05:30,84.94999694824219,85.9000015258789,83.9000015258789,84.05000305175781,76669,0.0,0.0,2023-07-25,84.84151470348802,86.08179960600883,-1.2402849025208127,-1.1908001642294874,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
5,2023-07-24 00:00:00+05:30,84.44999694824219,85.25,82.19999694824219,84.19999694824219,110876,0.0,0.0,2023-07-24,84.9854259128935,86.24434333034891,-1.2589174174554074,-1.178428979656656,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
6,2023-07-21 00:00:00+05:30,84.8499984741211,84.9000015258789,82.80000305175781,83.75,120244,0.0,0.0,2023-07-21,85.12823117919375,86.40789104091746,-1.2796598617237152,-1.1583068702069683,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
7,2023-07-20 00:00:00+05:30,85.9000015258789,85.9000015258789,83.9000015258789,84.3499984741211,95594,0.0,0.0,2023-07-20,85.37881866631989,86.62052232419086,-1.2417036578709713,-1.1279686223277816,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
8,2023-07-19 00:00:00+05:30,84.75,87.0,84.0999984741211,85.19999694824219,75810,0.0,0.0,2023-07-19,85.56587688308332,86.80216423219643,-1.2362873491131126,-1.0995348634419841,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
9,2023-07-18 00:00:00+05:30,84.94999694824219,85.19999694824219,83.4000015258789,84.6500015258789,87547,0.0,0.0,2023-07-18,85.6324005075999,86.93033761491277,-1.297937107312876,-1.065346742024202,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
10,2023-07-17 00:00:00+05:30,85.5,85.75,83.1500015258789,84.0999984741211,122935,0.0,0.0,2023-07-17,85.81101850427643,87.11276450203547,-1.301745997759042,-1.0071991507020333,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
11,2023-07-14 00:00:00+05:30,85.8499984741211,85.8499984741211,84.55000305175781,84.8499984741211,60209,0.0,0.0,2023-07-14,86.12211305521377,87.35378578426862,-1.23167272905485,-0.933562438937781,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
12,2023-07-13 00:00:00+05:30,84.0,87.5,84.0,85.5999984741211,265656,0.0,0.0,2023-07-13,86.35340661541244,87.55408876908042,-1.2006821536679837,-0.8590348664085137,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
13,2023-07-12 00:00:00+05:30,85.0,86.5999984741211,84.05000305175781,84.44999694824219,295607,0.0,0.0,2023-07-12,86.49038991382905,87.71041599267717,-1.2200260788481216,-0.7736230445936461,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
14,2023-07-11 00:00:00+05:30,85.5,86.19999694824219,84.75,85.0,108593,0.0,0.0,2023-07-11,86.86137045302667,87.97124951623198,-1.1098790632053124,-0.6620222860300271,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
15,2023-07-10 00:00:00+05:30,86.94999694824219,87.30000305175781,84.8499984741211,85.1500015258789,139702,0.0,0.0,2023-07-10,87.19980144448606,88.20894947753054,-1.0091480330444824,-0.5500580917362058,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
16,2023-07-07 00:00:00+05:30,88.05000305175781,88.05000305175781,86.0,86.5999984741211,75428,0.0,0.0,2023-07-07,87.57249233877828,88.45366531366267,-0.8811729748843931,-0.4352856064091366,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
17,2023-07-06 00:00:00+05:30,86.6500015258789,89.25,85.30000305175781,88.25,164069,0.0,0.0,2023-07-06,87.74930940507957,88.60195866082599,-0.8526492557464138,-0.3238137642903225,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
18,2023-07-05 00:00:00+05:30,85.0,87.30000305175781,84.69999694824219,85.05000305175781,94509,0.0,0.0,2023-07-05,87.65827475145767,88.63011535369206,-0.9718406022343942,-0.1916048914262996,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
19,2023-07-04 00:00:00+05:30,86.55000305175781,87.5,85.55000305175781,85.9000015258789,46970,0.0,0.0,2023-07-04,88.13250596958491,88.91652433784681,-0.7840183682618971,0.0034540362757240484,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
20,2023-07-03 00:00:00+05:30,86.30000305175781,88.30000305175781,85.9000015258789,86.1500015258789,86097,0.0,0.0,2023-07-03,88.53841586844054,89.15784616280423,-0.6194302943636956,0.20032213741012933,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
21,2023-06-30 00:00:00+05:30,88.0,88.9000015258789,85.80000305175781,86.25,81785,0.0,0.0,2023-06-30,88.97267302163357,89.39847373375825,-0.4258007121246834,0.40526024535358557,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
22,2023-06-27 00:00:00+05:30,85.55000305175781,88.19999694824219,85.55000305175781,86.5999984741211,64700,0.0,0.0,2023-06-27,89.46770448011239,89.65035163245892,-0.18264715234653295,0.6130254847231528,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
23,2023-06-26 00:00:00+05:30,88.5,89.55000305175781,84.55000305175781,86.19999694824219,153738,0.0,0.0,2023-06-26,89.9891055721108,89.89437988512594,0.09472568698485873,0.8119436439905741,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
24,2023-06-23 00:00:00+05:30,89.19999694824219,89.19999694824219,87.5,88.69999694824219,47048,0.0,0.0,2023-06-23,90.67803441281418,90.18993052007664,0.4881038927375414,0.9912481332420028,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
25,2023-06-22 00:00:00+05:30,90.3499984741211,91.94999694824219,87.6500015258789,89.44999694824219,87819,0.0,0.0,2023-06-22,91.0376775881909,90.30912520582339,0.7285523823675106,1.117034193368118,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
26,2023-06-21 00:00:00+05:30,91.1500015258789,92.0,90.1500015258789,90.5999984741211,64413,0.0,0.0,2023-06-21,91.3263467954543,90.37785546642988,0.9484913290244208,1.2141546461182697,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
27,2023-06-20 00:00:00+05:30,91.1500015258789,91.94999694824219,90.0,90.44999694824219,95007,0.0,0.0,2023-06-20,91.4584101266058,90.36008402581459,1.098326100791212,1.2805704753917317,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
28,2023-06-19 00:00:00+05:30,92.9000015258789,93.5,90.80000305175781,91.1500015258789,90793,0.0,0.0,2023-06-19,91.64175797721735,90.35289099202039,1.288866985196961,1.3261315690418618,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
29,2023-06-16 00:00:00+05:30,95.0,95.80000305175781,92.6500015258789,92.9000015258789,70743,0.0,0.0,2023-06-16,91.73116824109707,90.28912214931171,1.4420460917853575,1.3354477150030868,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
30,2023-06-15 00:00:00+05:30,92.80000305175781,95.6500015258789,91.94999694824219,94.5999984741211,134304,0.0,0.0,2023-06-15,91.51865309840946,90.08025179918633,1.4384012992231305,1.308798120807519,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
