Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-08-25 00:00:00+05:30,229.75,231.39999389648438,229.6999969482422,226.5500030517578,1013,0.0,0.0,2023-08-25,246.3375015258789,17.373186648411103,263.71068817429,228.9643148774678,281.0838748227011,211.5911282290567,-49.681829414619806,-20.02187719808292,628934,2166.0704077560413,5797.869483403601,212.29391220136282,45.081589882792734,229.21666463216147,228.73333231608075,227.03333536783856,230.91666158040366,227.51666768391928,230.43332926432294,225.33333841959637,-0.02378672642322475,-89.30658562640063,-2.317888071741635,1.0362257597094318,-3.3541138314510666,42.643658626670394,19.687424748890386,228.77000122070314,246.3375015258789,232.35500122070312,230.1245002746582,WEL.NS,2023-08-25 11:13:28.793448
2,2023-08-24 00:00:00+05:30,239.9499969482422,239.9499969482422,227.10000610351562,229.75,1875,0.0,0.0,2023-08-24,247.035001373291,16.80777683340374,263.84277820669473,230.22722453988726,280.6505550400985,213.41944770648354,-35.641791654060874,-6.037356863058892,629947,4065.8920472686846,6705.819252315491,212.28695330922542,51.140100916138415,232.26666768391928,237.43332926432294,224.58333841959637,245.11665852864584,219.41667683919272,250.2833201090495,211.7333475748698,-0.00760172152080858,-83.95989118712602,-1.684567671104105,1.8747542175721983,-3.5593218886763034,44.47449796401723,20.586576424727753,229.08999938964843,247.035001373291,232.52700103759764,229.71600021362303,WEL.NS,2023-08-25 11:13:28.793448
3,2023-08-23 00:00:00+05:30,233.10000610351562,234.3000030517578,226.4499969482422,232.64999389648438,973,0.0,0.0,2023-08-23,247.8650016784668,16.311839122263756,264.17684080073053,231.55316255620303,280.4886799229943,215.24132343393927,-48.19907049317801,-9.54635630976805,631822,2136.5592315388412,7365.801053577193,212.27116105749963,47.15236089851275,231.13333129882812,235.81666564941406,227.96665954589844,238.98333740234375,223.2833251953125,243.6666717529297,220.1166534423828,-0.06736634282882002,-79.11445492857561,-1.1633531050222246,2.764584689741274,-3.9279377947634986,46.14155850783631,21.554893614091068,227.73999938964843,247.8650016784668,232.65900115966798,229.37300018310546,WEL.NS,2023-08-25 11:13:28.793448
4,2023-08-22 00:00:00+05:30,238.0,238.0,225.5500030517578,227.8000030517578,1946,0.0,0.0,2023-08-22,248.30000228881835,15.997713669504215,264.29771595832256,232.30228861931414,280.29542962782676,216.30457494980993,-58.863341252228224,-11.609630835763245,630849,4184.037930225488,8673.11150908678,212.26159311023062,42.11556488021957,230.45000203450522,235.35000101725262,222.90000406901044,242.8999989827474,218.00000508626303,247.7999979654948,210.45000712076825,0.06168354366877365,-87.2180311192582,-0.764019413934534,3.7465691384321484,-4.510588552366682,42.81267043825923,23.196412656289525,227.23999938964843,248.30000228881835,232.7560012817383,229.0515002441406,WEL.NS,2023-08-25 11:13:28.793448
5,2023-08-21 00:00:00+05:30,239.9499969482422,239.9499969482422,225.10000610351562,227.10000610351562,1994,0.0,0.0,2023-08-21,247.88250198364258,16.656272281055898,264.5387742646985,231.2262297025867,281.1950465457544,214.56995742153077,-69.56407202538517,-10.003154475540244,628903,4274.067250720411,9795.379903802102,212.24698869962762,41.4333044715042,230.71666971842447,236.33333333333331,221.48334248860675,245.56666056315103,215.8666788736979,251.18332417805988,206.6333516438802,0.06796443523195082,-88.38761654424793,0.23647538608921082,4.874216276523819,-4.637740890434608,42.33499893498789,24.96420239404171,228.55,247.88250198364258,232.9680010986328,228.7690002441406,WEL.NS,2023-08-25 11:13:28.793448
6,2023-08-18 00:00:00+05:30,228.85000610351562,242.85000610351562,224.5500030517578,228.14999389648438,3179,0.0,0.0,2023-08-18,247.42000198364258,17.37656811325179,264.79657009689436,230.0434338703908,282.17313821014613,212.666865757139,-82.43293315933722,-4.916722361924544,630897,6845.576701160592,11175.708067072524,212.232670351184,51.57807345100834,231.8500010172526,239.14999898274738,220.84999593098956,250.1500040690104,213.54999796549478,257.4500020345052,202.54999287923175,0.1059333666181004,-86.63325115428839,1.5827680433542355,6.03365149913247,-4.450883455778235,42.833329964892215,26.86797595777483,234.77000122070314,247.42000198364258,233.14300109863282,228.58300018310547,WEL.NS,2023-08-25 11:13:28.793448
7,2023-08-17 00:00:00+05:30,231.0500030517578,234.0,220.14999389648438,223.0,3589,0.0,0.0,2023-08-17,246.63250198364258,18.609027093888685,265.24152907753125,228.0234748897539,283.85055617141995,209.41444779586521,-131.2199485128846,-28.556097904470167,627718,7554.006824473789,12258.240908550508,212.20816947403875,52.331143518230085,225.71666463216147,231.28333536783856,217.43332926432294,239.5666707356771,211.86665852864584,245.13334147135419,203.5833231608073,0.11460339611718859,-95.23808552569518,3.179041389433735,7.146372363077029,-3.9673309736432945,39.594973100299555,28.918193641795114,244.0,246.63250198364258,233.33800109863282,228.34750030517577,WEL.NS,2023-08-25 11:13:28.793448
8,2023-08-16 00:00:00+05:30,236.35000610351562,236.64999389648438,220.1999969482422,230.14999389648438,6700,0.0,0.0,2023-08-16,246.05500183105468,19.537097344438028,265.5920991754927,226.51790448661666,285.12919651993076,206.98080714217863,-169.10993697320242,-15.824939637455206,631307,14554.082147446687,13434.299429569686,212.1893830119755,51.09163599576871,228.99999491373697,237.79999287923175,221.34999593098956,245.44999186197916,212.54999796549478,254.24998982747394,204.89999898274738,0.11710443410975807,-83.36120996577489,5.681784066425109,8.138205106487852,-2.456421040062743,42.71436464753672,30.320356419571038,253.27000122070314,246.05500183105468,233.61300109863282,228.25050033569335,WEL.NS,2023-08-25 11:13:28.793448
9,2023-08-14 00:00:00+05:30,258.20001220703125,258.3500061035156,227.3000030517578,234.35000610351562,6787,0.0,0.0,2023-08-14,245.29000244140624,20.469930809937107,265.75993325134334,224.82007163146915,286.22986406128047,204.35014082153202,-160.14208156814118,27.963574816040957,638007,15012.11455628028,13154.353750100436,212.1308250460641,66.20164866000641,240.00000508626303,252.70000712076825,221.65000406901044,271.05000813802087,208.95000203450522,283.75001017252606,190.60000101725262,0.10624842320053703,-86.62238432635627,8.095799396912923,8.752310366503538,-0.6565109695906148,44.6323171066689,31.83431921028853,259.89000244140624,245.29000244140624,233.67400115966797,228.07500045776368,WEL.NS,2023-08-25 11:13:28.793448
10,2023-08-11 00:00:00+05:30,280.0,280.0,251.0500030517578,258.20001220703125,7188,0.0,0.0,2023-08-11,244.4700019836426,21.245046042222796,265.71504802586537,223.2249559414198,286.9600940680882,201.979909899197,32.31264248543575,122.48758092912452,644794,17517.147156226783,12689.913548555473,212.05719879504764,75.58598758292325,263.0833384195964,275.11667378743493,246.16667683919275,292.03333536783856,234.13334147135419,304.0666707356771,217.21667989095056,0.15174650442557366,-35.18965111682272,10.650169346664512,8.916438108901191,1.7337312377633207,58.4778507495233,34.027250625420024,265.7100036621094,244.4700019836426,233.52700103759764,227.88200042724608,WEL.NS,2023-08-25 11:13:28.793448
