Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-07 00:00:00+05:30,171.1999969482422,174.0,167.6999969482422,168.60000610351562,13277,0.0,0.0,2023-12-07,155.81250076293946,7.939871861582033,163.75237262452148,147.87262890135744,171.69224448610353,139.9327570397754,94.8219220309046,195.58580010384412,907760,16612.71142940842,36092.147114327076,161.86635537176713,88.59052152270213,170.1000010172526,172.500005086263,166.2000020345052,176.4000040690104,163.79999796549478,178.80000813802081,159.89999898274738,-0.050219194872916,-30.674840882688017,4.875978359343009,3.1912299629083614,1.6847483964346472,65.00030027494157,29.56416719722502,166.2500030517578,155.81250076293946,151.82900054931642,150.01360275268556,ZUARIIND.BO,2023-12-07 11:11:29.347127
2,2023-12-06 00:00:00+05:30,167.9499969482422,178.60000610351562,165.39999389648438,171.60000610351562,58847,0.0,0.0,2023-12-06,154.89750061035156,7.4265263218883355,162.3240269322399,147.47097428846322,169.75055325412822,140.0444479665749,148.10363656069467,238.0249877256582,921037,74941.88394083068,40962.00603555674,161.85441649634004,91.64493016033573,171.86666870117188,178.33334350585938,165.13333129882812,185.06668090820312,158.66665649414062,191.53335571289062,151.93331909179688,-0.02939905644442719,-21.244301689534,4.590439253279129,2.770042863799699,1.8203963894794302,69.71446526607502,27.2132592779167,164.51000061035157,154.89750061035156,151.3840005493164,149.76978851318358,ZUARIIND.BO,2023-12-07 11:11:29.347127
3,2023-12-05 00:00:00+05:30,168.14999389648438,173.0,164.5,165.85000610351562,17434,0.0,0.0,2023-12-05,153.76000061035157,6.405725013591746,160.1657256239433,147.35427559675983,166.57145063753507,140.94855058316807,135.28905727007748,217.61258309231675,862190,21458.30991954576,32467.03655923825,161.7772246035107,90.09327677181854,167.78333536783853,171.06667073567706,162.56667073567706,176.28333536783853,159.28333536783853,179.56667073567706,154.06667073567706,-0.030382648822428436,-27.075800342413686,3.8598560151627908,2.3149437664298413,1.5449122487329494,65.22590384163443,24.681512287892346,162.25,153.76000061035157,150.85900054931642,149.4984573364258,ZUARIIND.BO,2023-12-07 11:11:29.347127
4,2023-12-04 00:00:00+05:30,160.1999969482422,173.35000610351562,159.25,168.14999389648438,78839,0.0,0.0,2023-12-04,152.7775001525879,5.94409138557646,158.72159153816435,146.83340876701143,164.6656829237408,140.88931738143498,153.10861728015723,231.79456712263078,879624,98383.19968559805,35219.218219161376,161.7676449962758,88.69306444247114,166.91666666666666,174.58333333333331,160.4833272298177,181.01667277018228,152.81666056315103,188.68333943684894,146.38332112630206,0.0038193140192762224,-18.772598972758942,3.4322932934053085,1.9287157042466039,1.5035775891587047,69.02567921147802,22.420843934727063,161.35,152.7775001525879,150.48100036621094,149.28810256958008,ZUARIIND.BO,2023-12-07 11:11:29.347127
5,2023-12-01 00:00:00+05:30,158.9499969482422,160.0,156.0500030517578,157.0500030517578,6364,0.0,0.0,2023-12-01,151.74750061035155,4.818317059844127,156.56581767019568,146.92918355050742,161.38413473003982,142.11086649066328,49.6102252044518,117.81977819905185,800785,7417.389755351102,19428.2228525522,161.69902900598618,83.50195573347287,157.70000203450522,159.35000101725262,155.40000406901044,161.6499989827474,153.75000508626303,163.2999979654948,151.45000712076825,-0.09568347920197949,-41.687941812119455,2.60636505194762,1.5528213069569277,1.0535437449906921,58.082495283005485,19.98627801593368,158.51000061035157,151.74750061035155,150.10964233398437,149.02445404052733,ZUARIIND.BO,2023-12-07 11:11:29.347127
6,2023-11-30 00:00:00+05:30,160.75,162.0,157.6999969482422,159.89999389648438,14485,0.0,0.0,2023-11-30,151.08500061035156,4.9597085376867325,156.0447091480383,146.12529207266482,161.00441768572503,141.16558353497808,96.35169661447856,161.57678117406718,807149,17188.97289207003,22430.931126852473,161.70306706707882,85.4956634630873,159.86666361490884,162.0333302815755,157.7333272298177,164.16666666666666,155.56666056315103,166.33333333333331,153.43332417805988,-0.08541534699484675,-27.109985802694133,2.602617158547588,1.2894353707092545,1.3131817878383334,63.42492835293039,18.9679716828188,158.11000061035156,151.08500061035156,149.98412200927734,148.89613983154297,ZUARIIND.BO,2023-12-07 11:11:29.347127
7,2023-11-29 00:00:00+05:30,161.4499969482422,165.1999969482422,159.0,160.3000030517578,29653,0.0,0.0,2023-11-29,150.28500061035157,4.7489371755051595,155.03393778585672,145.53606343484643,159.7828749613619,140.78712625934125,142.61469938141406,201.30042766856602,821634,35276.47227100067,23741.42068554808,161.70663874286507,93.34869531439267,161.5,164.0,157.8000030517578,167.6999969482422,155.3000030517578,170.1999969482422,151.60000610351562,-0.09773094931084508,-25.06390348641812,2.277704209432869,0.961139923749671,1.316564285683198,64.1944516376501,17.308195381998114,156.46000061035156,150.28500061035157,149.80855407714844,148.74329879760742,ZUARIIND.BO,2023-12-07 11:11:29.347127
8,2023-11-28 00:00:00+05:30,155.39999389648438,163.9499969482422,153.9499969482422,161.35000610351562,48231,0.0,0.0,2023-11-28,149.43250045776367,4.371868871270122,153.8043693290338,145.06063158649354,158.1762382003039,140.68876271522342,164.6419984663924,182.44609983819805,851287,57753.48989036808,20857.65778918493,161.7123661118926,92.13569199968076,159.75,165.5500030517578,155.5500030517578,169.75,149.75,175.5500030517578,145.5500030517578,-0.0013954635428254528,-14.207597875109752,1.7878116652070162,0.6319988523288715,1.1558128128781446,66.15077824887379,15.067903351693412,154.42999877929688,149.43250045776367,149.55545928955078,148.60979873657226,ZUARIIND.BO,2023-12-07 11:11:29.347127
9,2023-11-24 00:00:00+05:30,152.5,155.9499969482422,152.5,153.9499969482422,3864,0.0,0.0,2023-11-24,148.5125,3.5998494501616856,152.11234945016167,144.9126505498383,155.71219890032336,141.31280109967662,96.29626709007479,82.46724524562798,803056,4414.6856245407325,11633.699763889144,161.7147818906946,88.74796582878086,154.13333129882812,155.76666259765625,152.31666564941406,157.5833282470703,150.68333435058594,159.21665954589844,148.86666870117188,-0.1967511150602604,-36.742478975811345,1.0301033093174112,0.3430456491093352,0.687057660208076,57.718328685325766,12.81537319392478,151.62999877929687,148.5125,149.18204040527343,148.4230892944336,ZUARIIND.BO,2023-12-07 11:11:29.347127
10,2023-11-23 00:00:00+05:30,151.6999969482422,156.5,151.5,155.0500030517578,31184,0.0,0.0,2023-11-23,147.7625,3.9526439969474905,151.7151439969475,143.8098560030525,155.66778799389496,139.85721200610502,124.07413273630686,77.70529906536554,806920,35882.82118332814,13438.453298726246,161.71893132802288,88.43189516139954,154.3500010172526,157.2000020345052,152.2000020345052,159.3500010172526,149.3500010172526,162.2000020345052,147.2000020345052,-0.18656887361382046,-27.47250904627602,0.7731881597308075,0.1712812340573162,0.6019069256734912,59.773705855776804,11.674648990393184,150.43999938964845,147.7625,149.10262817382812,148.29746795654296,ZUARIIND.BO,2023-12-07 11:11:29.347127
