Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-08 00:00:00+05:30,1625.9000244140625,1630.199951171875,1592.300048828125,1601.8499755859375,3885,0.0,0.0,2023-09-08,1597.8949890136719,46.997666945071366,1644.8926559587433,1550.8973220686005,1691.8903229038146,1503.899655123529,-198.03871198460863,73.80805835191275,8733,2667.3325975110565,2578.07540083328,1621.242838794092,51.43281132604297,1608.1166585286458,1623.9332682291665,1586.0333658854165,1646.0165608723958,1570.2167561848958,1661.8331705729165,1548.1334635416665,-0.030221124855890846,-60.147137327628286,28.821245386214287,32.37790232305675,-3.556656936842465,53.55634408597641,32.329674075299785,1622.15,1597.8949890136719,1529.534736328125,1516.6228552246093,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
2,2023-09-07 00:00:00+05:30,1645.0,1648.6500244140625,1623.699951171875,1625.449951171875,1364,0.0,0.0,2023-09-07,1594.5349914550782,49.05706946418355,1643.5920609192617,1545.4779219908946,1692.6491303834453,1496.420852526711,-36.089464242262245,104.86708667419241,12618,950.2815174998941,2555.7611016638357,1621.2802960369613,57.677629051704535,1632.5999755859375,1641.5,1616.5499267578125,1657.550048828125,1607.64990234375,1666.4500732421875,1591.599853515625,-0.07580000815035545,-44.3664834456222,32.52127197570576,33.26706655726736,-0.7457945815616043,58.20562434546988,33.559083417629154,1628.5199951171876,1594.5349914550782,1527.4726879882812,1515.250469970703,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
3,2023-09-06 00:00:00+05:30,1624.25,1647.0,1611.800048828125,1644.550048828125,4571,0.0,0.0,2023-09-06,1591.2749938964844,49.06091779721865,1640.335911693703,1542.2140760992656,1689.3968294909216,1493.1531583020471,-23.478520767696885,113.93674679208245,13982,3221.978415472975,2957.1309977048213,1621.277466522176,60.16470983735699,1634.4500325520833,1657.1000162760415,1621.9000651041665,1669.6499837239583,1599.2500813802083,1692.2999674479165,1586.7001139322915,-0.007312255239790578,-25.51294887351952,34.441440665519394,33.45351520265776,0.9879254628616323,62.26796317508304,33.308955929006316,1632.9,1591.2749938964844,1524.7123950195312,1513.58228515625,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
4,2023-09-05 00:00:00+05:30,1618.050048828125,1647.699951171875,1614.0999755859375,1621.25,1248,0.0,0.0,2023-09-05,1584.7924926757812,50.20324349499957,1634.9957361707807,1534.5892491807817,1685.1989796657804,1484.386005685782,-20.780191364523972,114.34746315425656,9411,867.2192008123533,2890.9191432627827,1621.224421820828,58.26456679075959,1627.6833089192708,1641.266642252604,1607.6666666666665,1661.2832845052083,1594.0833333333333,1674.8666178385415,1574.066691080729,0.009770423808449336,-38.093963783624524,34.49692822397583,33.20653383694235,1.29039438703348,59.02884114107808,33.08166455969222,1628.3599853515625,1584.7924926757812,1521.5561450195312,1511.854161376953,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
5,2023-09-04 00:00:00+05:30,1668.949951171875,1668.949951171875,1615.0,1617.6500244140625,3764,0.0,0.0,2023-09-04,1577.0374938964844,55.928070724601746,1632.965564621086,1521.1094231718828,1688.893635345688,1465.181352447281,27.215289352873523,130.6338411162036,8163,2609.7475215899153,3396.8441288753897,1621.2244058935792,53.84480008615863,1633.8666585286458,1652.7333170572915,1598.7833658854165,1687.8166097005208,1579.9167073567708,1706.6832682291665,1544.8334147135415,0.2886856474811781,-35.30112219813684,36.33999016107305,32.88393524018397,3.4560549208890734,58.517937141696294,32.71811807472762,1633.1199951171875,1577.0374938964844,1519.2306811523438,1510.3111975097656,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
6,2023-09-01 00:00:00+05:30,1647.300048828125,1658.199951171875,1625.5999755859375,1633.699951171875,4435,0.0,0.0,2023-09-01,1567.7349914550782,63.744141472141074,1631.4791329272193,1503.990849982937,1695.2232743993604,1440.246708510796,46.75596219660444,148.82987245082,11927,3105.490683287658,3593.618280696758,1621.231131376378,53.31204027684161,1639.1666259765625,1652.7332763671875,1620.13330078125,1671.7666015625,1606.566650390625,1685.333251953125,1587.5333251953125,0.29698804125953693,-27.66012099515903,38.50360508277345,32.0199215099617,6.483683572811749,61.703287522194394,32.28277845243298,1642.87998046875,1567.7349914550782,1516.2217358398439,1508.7962609863282,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
7,2023-08-31 00:00:00+05:30,1602.050048828125,1654.1500244140625,1602.050048828125,1647.3499755859375,1922,0.0,0.0,2023-08-31,1557.6874938964843,68.46186942274223,1626.1493633192265,1489.225624473742,1694.6112327419687,1420.7637550509999,46.75414921093461,157.07564135106938,16362,1357.0741174344514,3715.6501800490328,1621.203426525008,46.21056640263663,1634.5166829427083,1666.9833170572915,1614.883341471354,1686.6166585286458,1582.4167073567708,1719.083292643229,1562.7833658854165,0.2743033324695465,-21.16165813346661,39.10962526269964,30.39900061675876,8.710624645940879,64.4748953529,32.04176105978536,1639.1199951171875,1557.6874938964843,1512.99544921875,1507.3221533203125,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
8,2023-08-30 00:00:00+05:30,1650.050048828125,1650.800048828125,1620.0,1621.8499755859375,4094,0.0,0.0,2023-08-30,1548.8274963378906,67.70951131903324,1616.5370076569238,1481.1179850188573,1684.246518975957,1413.408473699824,51.53604286053957,168.09001354208922,14440,2845.9209151242576,4305.294195702678,1621.1782252215085,37.84688905504196,1630.8833414713542,1641.7666829427085,1610.9666341145835,1661.6833902994792,1600.0832926432292,1672.5667317708335,1580.1665852864585,0.26088262784510374,-33.301621986017565,37.94862406951279,28.221344455273538,9.72727961423925,61.472880312237905,31.867156346936333,1638.639990234375,1548.8274963378906,1509.2778881835939,1505.7479235839844,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
9,2023-08-29 00:00:00+05:30,1684.949951171875,1684.949951171875,1630.6500244140625,1645.050048828125,5531,0.0,0.0,2023-08-29,1541.5524963378907,67.26584203035522,1608.818338368246,1474.2866543075354,1676.0841803986011,1407.0208122771803,98.66714470060877,223.21821831968794,18534,3899.842647813319,4670.137515847283,1621.1768432358201,54.51674837590733,1653.5500081380208,1676.449991861979,1622.1500651041665,1707.8499348958333,1599.2500813802083,1730.7499186197915,1567.850138346354,0.27125813282335165,-22.256600396343412,38.39857520748524,25.789524551713722,12.609050655771515,66.19885154935787,30.896972506093828,1632.189990234375,1541.5524963378907,1505.8650146484374,1504.475537109375,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
10,2023-08-28 00:00:00+05:30,1620.5999755859375,1691.800048828125,1620.5999755859375,1666.449951171875,5202,0.0,0.0,2023-08-28,1533.0749938964843,64.14744714332919,1597.2224410398135,1468.9275467531552,1661.3698881831426,1404.780099609826,140.47163281456287,267.772569427613,24065,3715.5827096083685,4862.711232855773,1621.1103050503993,65.9783538687922,1659.6166585286458,1698.633341471354,1627.4332682291665,1730.8167317708333,1588.4165852864583,1769.8334147135415,1556.233194986979,0.2790350658686907,-12.068598792373004,36.10799672077246,22.63726188777084,13.470734833001622,70.86525139292294,29.36844744907974,1612.72998046875,1533.0749938964843,1502.0389672851563,1503.1116809082032,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
11,2023-08-25 00:00:00+05:30,1646.449951171875,1646.5999755859375,1611.199951171875,1614.9000244140625,1915,0.0,0.0,2023-08-25,1523.6024963378907,57.005985852569914,1580.6084821904606,1466.5965104853208,1637.6144680430305,1409.5905246327509,133.80152180706438,244.33166134333004,18863,1325.4969411168122,5149.493363667623,1620.9911410792022,93.05097540839466,1624.2333170572917,1637.2666829427085,1601.866658528646,1659.6333414713542,1588.8332926432292,1672.666707356771,1566.4666341145835,0.2706166485427716,-16.61833412571471,30.520705143766918,19.269578179520437,11.251126964246481,65.41152835475776,27.7223435415261,1592.3599853515625,1523.6024963378907,1497.7719653320312,1501.222364501953,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
12,2023-08-24 00:00:00+05:30,1620.0,1652.1500244140625,1607.949951171875,1644.949951171875,6822,0.0,0.0,2023-08-24,1517.7574951171875,53.0049324606266,1570.7624275778142,1464.752562656561,1623.7673600384408,1411.7476301959343,229.11763031907978,310.8915745927417,20778,4809.818785866561,6105.492469305326,1620.9970401361277,93.15234691050362,1635.0166422526042,1662.0833333333335,1617.883260091146,1679.2167154947917,1590.8165690104167,1706.283406575521,1573.6831868489585,0.2757141159659266,-3.1697435475783973,27.98173060626732,16.456796438458817,11.524934167808503,72.78656441313913,26.667069750498108,1579.12998046875,1517.7574951171875,1494.4562280273437,1499.9850927734376,ZYDUSWELL.BO,2023-09-08 11:28:11.561029
