,title,source,link,date
46,Why blue-chips are lagging behind as mid- and small-cap stocks rally,Moneycontrol,news.google.com/articles/CBMihQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvZWFybmluZ3Mvd2h5LWJsdWUtY2hpcHMtYXJlLWxhZ2dpbmctYmVoaW5kLWFzLW1pZC1hbmQtc21hbGwtY2FwLXN0b2Nrcy1yYWxseS0xMTU1OTYxMS5odG1s0gGJAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9lYXJuaW5ncy93aHktYmx1ZS1jaGlwcy1hcmUtbGFnZ2luZy1iZWhpbmQtYXMtbWlkLWFuZC1zbWFsbC1jYXAtc3RvY2tzLXJhbGx5LTExNTU5NjExLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
6,Debt Funds and Why You Should Invest in Them Bajaj Finserv Mutual Fund,The Week,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LnRoZXdlZWsuaW4vd2lyZS11cGRhdGVzL2J1c2luZXNzLzIwMjMvMTAvMTkvZGNtMy1iYWphai1maW5zZXJ2LWFzc2V0LW1hbmFnZW1lbnQtbHRkLi5odG1s0gFpaHR0cHM6Ly93d3cudGhld2Vlay5pbi93aXJlLXVwZGF0ZXMvYnVzaW5lc3MvMjAyMy8xMC8xOS9kY20zLWJhamFqLWZpbnNlcnYtYXNzZXQtbWFuYWdlbWVudC1sdGQuLmFtcC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
16,"Market Highlights: Sensex closes sub-66,000, Nifty sheds 140 pts; Bank, Finance drag; Pharma shines | Mint",Mint,news.google.com/articles/CBMioAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9zZW5zZXgtdG9kYXktc2hhcmUtbWFya2V0LWxpdmUtdXBkYXRlcy1zZW5zZXgtbmlmdHktdG8tc3RhcnQtdW5kZXItY2F1dGlvbi1naWZ0LW5pZnR5LXRyYWRlcy1sb3dlci0xMTY5NzU4ODMwNTIzMS5odG1s0gGkAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3NlbnNleC10b2RheS1zaGFyZS1tYXJrZXQtbGl2ZS11cGRhdGVzLXNlbnNleC1uaWZ0eS10by1zdGFydC11bmRlci1jYXV0aW9uLWdpZnQtbmlmdHktdHJhZGVzLWxvd2VyL2FtcC0xMTY5NzU4ODMwNTIzMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
7,"Top gainers and losers on Nifty: Cipla, Tata motors up, Bajaj twins down",Moneycontrol,news.google.com/articles/CBMimAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL21hcmtldHMvdG9wLWdhaW5lcnMtYW5kLWxvc2Vycy1vbi1uaWZ0eS1hdC1taWQtZGF5LWNpcGxhLXRhdGEtbW90b3JzLXVwLWJhamFqLXR3aW5zLWRvd24tMTE1NTMwNjEuaHRtbNIBnAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL21hcmtldHMvdG9wLWdhaW5lcnMtYW5kLWxvc2Vycy1vbi1uaWZ0eS1hdC1taWQtZGF5LWNpcGxhLXRhdGEtbW90b3JzLXVwLWJhamFqLXR3aW5zLWRvd24tMTE1NTMwNjEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
29,"Stocks to watch: LIC, Bajaj Finance, IDFC & more",Republic World,news.google.com/articles/CBMigwFodHRwczovL3d3dy5yZXB1YmxpY3dvcmxkLmNvbS9idXNpbmVzcy9tYXJrZXRzL3N0b2Nrcy10by13YXRjaC1saWMtYmFqYWotZmluYW5jZS1pZGZjLW1hcnV0aS1zdXp1a2ktcmVsaWFuY2UtamlvLWJoYXJ0aS1haXJ0ZWwubmV3c9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
35,"Bajaj Finance, MMTC, Delta Corp, Ceat समेत इन स्टॉक्स पर रखें नजर, इंट्राडे में बनेगा कमाई का मौका",Zee Business हिंदी,news.google.com/articles/CBMingFodHRwczovL3d3dy56ZWViaXouY29tL2hpbmRpL3N0b2NrLW1hcmtldHMvc3RvY2tzL3N0b2Nrcy1pbi1uZXdzLXEyLXJlc3VsdHMtYnVzaW5lc3MtdXBkYXRlLWJhamFqLWZpbmFuY2UtZGVsdGEtY29ycC1sZW1vbi1ob3RlbHMtY2VhdC1jaGVjay1zaGFyZS1saXN0LTE0NjY4NNIBogFodHRwczovL3d3dy56ZWViaXouY29tL2hpbmRpL3N0b2NrLW1hcmtldHMvc3RvY2tzL3N0b2Nrcy1pbi1uZXdzLXEyLXJlc3VsdHMtYnVzaW5lc3MtdXBkYXRlLWJhamFqLWZpbmFuY2UtZGVsdGEtY29ycC1sZW1vbi1ob3RlbHMtY2VhdC1jaGVjay1zaGFyZS1saXN0LTE0NjY4NC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
21,Bajaj Finance Signs Term Sheet to Acquire a 26% Stake in Pennant ...,EquityPandit,news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmVxdWl0eXBhbmRpdC5jb20vYmFqYWotZmluYW5jZS1zaWducy10ZXJtLXNoZWV0LXRvLWFjcXVpcmUtYS0yNi1zdGFrZS1pbi1wZW5uYW50LXRlY2hub2xvZ2llcy1mb3ItcnMtMjY3LTUtY3JvcmUv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
1,"Q2 results today: Bajaj Finance, Tata Elxsi, L&T Technology, others to announce earnings | Mint",Mint,news.google.com/articles/CBMimwFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9xMi1yZXN1bHRzLWJhamFqLWZpbmFuY2UtdGF0YS1lbHhzaS1sLXQtdGVjaG5vbG9neS1vdGhlcnMtdG8tYW5ub3VuY2UtZWFybmluZ3MtdG9kYXktMTE2OTc1MTE5NTI1NjQuaHRtbNIBnwFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9xMi1yZXN1bHRzLWJhamFqLWZpbmFuY2UtdGF0YS1lbHhzaS1sLXQtdGVjaG5vbG9neS1vdGhlcnMtdG8tYW5ub3VuY2UtZWFybmluZ3MtdG9kYXkvYW1wLTExNjk3NTExOTUyNTY0Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
0,"Bajaj Finance Q2 Results Highlights: Net profit rises 27.8% to ₹3,550 crore, NIIs up 26% to ₹8,841 crore | Mint",Mint,news.google.com/articles/CBMisgFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9iYWphai1maW5hbmNlLXEyLXJlc3VsdHMtbGl2ZS11cGRhdGVzLWJhamFqLWZpbmFuY2UtcTItbmV0LXByb2ZpdC1iYWphai1maW5hbmNlLXEyLWVhcm5pbmdzLTE3LW9jdG9iZXItMjAyMy0xMTY5NzUxMTMxMjExNS5odG1s0gG2AWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2JhamFqLWZpbmFuY2UtcTItcmVzdWx0cy1saXZlLXVwZGF0ZXMtYmFqYWotZmluYW5jZS1xMi1uZXQtcHJvZml0LWJhamFqLWZpbmFuY2UtcTItZWFybmluZ3MtMTctb2N0b2Jlci0yMDIzL2FtcC0xMTY5NzUxMTMxMjExNS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
3,"Bajaj Finserv share price Today Live Updates : Bajaj Finserv closed today at ₹1646.2, up 0.73% from yesterday's ₹1634.35 | Mint",Mint,news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2JhamFqLWZpbnNlcnYtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0xMy1vY3QtMjAyMy0xMTY5NzE2NDc1NjEwOC5odG1s0gF1aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvYmFqYWotZmluc2Vydi1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTEzLW9jdC0yMDIzL2FtcC0xMTY5NzE2NDc1NjEwOC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-13
