,title,source,link,date
2,Retail India - Retail India News: Bata India Explores Strategic ...,Indian Retailer,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9uZXdzL3JldGFpbC1pbmRpYS1uZXdzLWJhdGEtaW5kaWEtZXhwbG9yZXMtc3RyYXRlZ2ljLWFsbGlhbmNlLWFkaWRhc9IBZ2h0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hbXAvbmV3cy9yZXRhaWwtaW5kaWEtbmV3cy1iYXRhLWluZGlhLWV4cGxvcmVzLXN0cmF0ZWdpYy1hbGxpYW5jZS1hZGlkYXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-20
6,Hold Bata India; target of Rs 1750: Sharekhan,Moneycontrol,news.google.com/articles/CBMia2h0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9zdG9ja3MvaG9sZC1iYXRhLWluZGlhLXRhcmdldC1vZi1ycy0xNzUwLXNoYXJla2hhbi0xMTIyNDI4MS5odG1s0gFvaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3N0b2Nrcy9ob2xkLWJhdGEtaW5kaWEtdGFyZ2V0LW9mLXJzLTE3NTAtc2hhcmVraGFuLTExMjI0MjgxLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-20
9,Moderation in demand is where the shoe pinches for footwear majors,Business Standard,news.google.com/articles/CBMikwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vbWFya2V0cy9zdG9jay1tYXJrZXQtbmV3cy9kZW1hbmQtbW9kZXJhdGlvbi1tYXktaW1wYWN0LW5lYXItdGVybS1wcm9zcGVjdHMtb2YtZm9vdHdlYXItbWFqb3JzLTEyMzA4MjAwMDI3OF8xLmh0bWzSAZcBaHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9tYXJrZXRzL3N0b2NrLW1hcmtldC1uZXdzL2RlbWFuZC1tb2RlcmF0aW9uLW1heS1pbXBhY3QtbmVhci10ZXJtLXByb3NwZWN0cy1vZi1mb290d2Vhci1tYWpvcnMtMTIzMDgyMDAwMjc4XzEuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-20
14,"Retail India - Retail India News: Samsonite Targets Rs 3,600 cr ...",Indian Retailer,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9uZXdzL3JldGFpbC1pbmRpYS1uZXdzLXNhbXNvbml0ZS10YXJnZXRzLXJzLTM2MDAtY3Itc2FsZXMtMjAyM9IBYWh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hbXAvbmV3cy9yZXRhaWwtaW5kaWEtbmV3cy1zYW1zb25pdGUtdGFyZ2V0cy1ycy0zNjAwLWNyLXNhbGVzLTIwMjM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-20
19,"Retail India - Retail India New: Transforming Indian Homes, Bay ...",Indian Retailer,news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9uZXdzL3JldGFpbC1pbmRpYS1uZXctdHJhbnNmb3JtaW5nLWluZGlhbi1ob21lcy1iYXktd2luZG93LWxhdW5jaGVzLW1pZC1sdXh1cnktbGlmZXN0eWxlLWJyYW5k0gGBAWh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hbXAvbmV3cy9yZXRhaWwtaW5kaWEtbmV3LXRyYW5zZm9ybWluZy1pbmRpYW4taG9tZXMtYmF5LXdpbmRvdy1sYXVuY2hlcy1taWQtbHV4dXJ5LWxpZmVzdHlsZS1icmFuZA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
36,HDFC Bank underperformance may continue for next 2 years: Sandip Sabharwal,The Economic Times,news.google.com/articles/CBMikwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9leHBlcnQtdmlldy9oZGZjLWJhbmstdW5kZXJwZXJmb3JtYW5jZS1tYXktY29udGludWUtZm9yLW5leHQtMi15ZWFycy1zYW5kaXAtc2FiaGFyd2FsL2FydGljbGVzaG93LzEwMjgyMTc2Ni5jbXPSAZcBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvZXhwZXJ0LXZpZXcvaGRmYy1iYW5rLXVuZGVycGVyZm9ybWFuY2UtbWF5LWNvbnRpbnVlLWZvci1uZXh0LTIteWVhcnMtc2FuZGlwLXNhYmhhcndhbC9hbXBfYXJ0aWNsZXNob3cvMTAyODIxNzY2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
33,"Federal Bank, Sanofi India among 10 stocks with RSI trending up",The Economic Times,news.google.com/articles/CBMiiAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9mZWRlcmFsLWJhbmstc2Fub2ZpLWluZGlhLWFtb25nLTEwLXN0b2Nrcy13aXRoLXJzaS10cmVuZGluZy11cC9hcnRpY2xlc2hvdy8xMDI4MzUwMjguY21z0gGMAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9uZXdzL2ZlZGVyYWwtYmFuay1zYW5vZmktaW5kaWEtYW1vbmctMTAtc3RvY2tzLXdpdGgtcnNpLXRyZW5kaW5nLXVwL2FtcF9hcnRpY2xlc2hvdy8xMDI4MzUwMjguY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
7,"Retail sector's fall deepens in Q1FY24, says Nuvama; picks Titan, while cautions on Page Industries, Bata India | Mint",Mint,news.google.com/articles/CBMisQFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9yZXRhaWwtc2VjdG9ycy1mYWxsLWRlZXBlbnMtaW4tcTFmeTI0LXNheXMtbnV2YW1hLXBpY2tzLXRpdGFuLXdoaWxlLWNhdXRpb25zLW9uLXBhZ2UtaW5kdXN0cmllcy1iYXRhLWluZGlhLTExNjkyMzY5NjEzOTgyLmh0bWzSAbUBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9jb21wYW55LXJlc3VsdHMvcmV0YWlsLXNlY3RvcnMtZmFsbC1kZWVwZW5zLWluLXExZnkyNC1zYXlzLW51dmFtYS1waWNrcy10aXRhbi13aGlsZS1jYXV0aW9ucy1vbi1wYWdlLWluZHVzdHJpZXMtYmF0YS1pbmRpYS9hbXAtMTE2OTIzNjk2MTM5ODIuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
8,"How did Bata, a European shoe company become Indian outshining the local brands? Here’s why Sushant Singh Rajput was signed as its brand ambassador",The Financial Express,news.google.com/articles/CBMixQFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9saWZlc3R5bGUvaG93LWRpZC1iYXRhLWFuLWV1cm9wZWFuLXNob2UtY29tcGFueS1iZWNvbWUtaW5kaWFuLW91dHNoaW5pbmctdGhlLWxvY2FsLWJyYW5kcy1oZXJlcy13aHktc3VzaGFudC1zaW5naC1yYWpwdXQtd2FzLXNpZ25lZC1hcy1pdHMtYnJhbmQtYW1iYXNzYWRvci8zMjAxMjI4L9IBygFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9saWZlc3R5bGUvaG93LWRpZC1iYXRhLWFuLWV1cm9wZWFuLXNob2UtY29tcGFueS1iZWNvbWUtaW5kaWFuLW91dHNoaW5pbmctdGhlLWxvY2FsLWJyYW5kcy1oZXJlcy13aHktc3VzaGFudC1zaW5naC1yYWpwdXQtd2FzLXNpZ25lZC1hcy1pdHMtYnJhbmQtYW1iYXNzYWRvci8zMjAxMjI4L2xpdGUv?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
12,Bata India and REC rise,Upstox,news.google.com/articles/CBMiN2h0dHBzOi8vdXBzdG94LmNvbS9tYXJrZXQtdGFsay9iYXRhLWluZGlhLWFuZC1yZWMtcmlzZS_SATtodHRwczovL3Vwc3RveC5jb20vbWFya2V0LXRhbGsvYmF0YS1pbmRpYS1hbmQtcmVjLXJpc2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
