,title,source,link,date
43,Fake money-laundering case: Techie loses Rs 1.4L to scamsters,Times of India,news.google.com/articles/CBMiiQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2JlbmdhbHVydS9mYWtlLW1vbmV5LWxhdW5kZXJpbmctY2FzZS10ZWNoaWUtbG9zZXMtcnMtMS00bC10by1zY2Ftc3RlcnMvYXJ0aWNsZXNob3cvMTA0OTA3NDM3LmNtc9IBjQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2JlbmdhbHVydS9mYWtlLW1vbmV5LWxhdW5kZXJpbmctY2FzZS10ZWNoaWUtbG9zZXMtcnMtMS00bC10by1zY2Ftc3RlcnMvYW1wX2FydGljbGVzaG93LzEwNDkwNzQzNy5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-02
45,"People can send Rs 2,000 notes by post to RBI offices for direct credit in bank accounts",Udayavani English,news.google.com/articles/CBMifmh0dHBzOi8vd3d3LnVkYXlhdmFuaS5jb20vZW5nbGlzaC1uZXdzL3Blb3BsZS1jYW4tc2VuZC1ycy0yMDAwLW5vdGVzLWJ5LXBvc3QtdG8tcmJpLW9mZmljZXMtZm9yLWRpcmVjdC1jcmVkaXQtaW4tYmFuay1hY2NvdW50c9IBfmh0dHBzOi8vd3d3LnVkYXlhdmFuaS5jb20vZW5nbGlzaC1uZXdzL3Blb3BsZS1jYW4tc2VuZC1ycy0yMDAwLW5vdGVzLWJ5LXBvc3QtdG8tcmJpLW9mZmljZXMtZm9yLWRpcmVjdC1jcmVkaXQtaW4tYmFuay1hY2NvdW50cw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-02
5,Canara Bank fraud: ED attaches assets worth Rs 538 crore off Naresh Goyal & family,National Herald,news.google.com/articles/CBMigwFodHRwczovL3d3dy5uYXRpb25hbGhlcmFsZGluZGlhLmNvbS9uYXRpb25hbC9jYW5hcmEtYmFuay1mcmF1ZC1lZC1hdHRhY2hlcy1hc3NldHMtdmFsdWVkLWF0LXJzLTUzOC1jcm9yZS1vZi1uYXJlc2gtZ295YWwtYW5kLW90aGVyc9IBjQFodHRwczovL3d3dy5uYXRpb25hbGhlcmFsZGluZGlhLmNvbS9hbXAvc3RvcnkvbmF0aW9uYWwvY2FuYXJhLWJhbmstZnJhdWQtZWQtYXR0YWNoZXMtYXNzZXRzLXZhbHVlZC1hdC1ycy01MzgtY3JvcmUtb2YtbmFyZXNoLWdveWFsLWFuZC1vdGhlcnM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-02
18,Canara Bank : Inviting Offers under SINGLE BID system for fixation ...,Marketscreener.com,news.google.com/articles/CBMisAFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svQ0FOQVJBLUJBTkstOTA1OTExMy9uZXdzL0NhbmFyYS1CYW5rLUludml0aW5nLU9mZmVycy11bmRlci1TSU5HTEUtQklELXN5c3RlbS1mb3ItZml4YXRpb24tb2YtcHJlbWlzZXMtb2YtcHJvcG9zZWQtQ0hBUklDSEFLLTQ1MjIwMjE2L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-02
28,6 Indian banks win $2bn case against GVK in London HC,IndiaTimes,news.google.com/articles/CBMiiQFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbnRlcm5hdGlvbmFsLWJ1c2luZXNzLzYtaW5kaWFuLWJhbmtzLXdpbi0yYm4tY2FzZS1hZ2FpbnN0LWd2ay1pbi1sb25kb24taGMvYXJ0aWNsZXNob3cvMTA0OTAwMTY4LmNtc9IBjQFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbnRlcm5hdGlvbmFsLWJ1c2luZXNzLzYtaW5kaWFuLWJhbmtzLXdpbi0yYm4tY2FzZS1hZ2FpbnN0LWd2ay1pbi1sb25kb24taGMvYW1wX2FydGljbGVzaG93LzEwNDkwMDE2OC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
51,"Canara Bank Fraud: केनरा बैंक धोखाधड़ी, ईडी की चार्जशीट में गोयल ...",CGWALL,news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmNnd2FsbC5jb20vY2FuYXJhLWJhbmstZnJhdWQtbmFtZXMtb2YtZ295YWwtd2lmZS1hbmQtY29tcGFueS1pbmNsdWRlZC1pbi1jYW5hcmEtYmFuay1mcmF1ZC1lZC1jaGFyZ2Utc2hlZXQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
40,"3 महीने के लिए खरीदें यह PSU Bank स्टॉक, मिलेगा 20% का तगड़ा रिटर्न; जानें Target समेत पूरी डीटेल",Zee Business हिंदी,news.google.com/articles/CBMipQFodHRwczovL3d3dy56ZWViaXouY29tL2hpbmRpL3N0b2NrLW1hcmtldHMvc3RvY2tzL3BzdS1iYW5rLXN0b2Nrcy10by1idXktZm9yLTMtbW9udGhzLWNhbmFyYS1iYW5rLXNoYXJlLWZvci0yMC1wZXJjZW50LXJldHVybi1rbm93LXRhcmdldC1hbmQtc3RvcGxvc3MtZGV0YWlscy0xNDg1NDHSAakBaHR0cHM6Ly93d3cuemVlYml6LmNvbS9oaW5kaS9zdG9jay1tYXJrZXRzL3N0b2Nrcy9wc3UtYmFuay1zdG9ja3MtdG8tYnV5LWZvci0zLW1vbnRocy1jYW5hcmEtYmFuay1zaGFyZS1mb3ItMjAtcGVyY2VudC1yZXR1cm4ta25vdy10YXJnZXQtYW5kLXN0b3Bsb3NzLWRldGFpbHMtMTQ4NTQxL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
23,Failure to prove source of cash deposit in Canara Bank by assessee ...,taxscan.in,news.google.com/articles/CBMingFodHRwczovL3d3dy50YXhzY2FuLmluL2ZhaWx1cmUtdG8tcHJvdmUtc291cmNlLW9mLWNhc2gtZGVwb3NpdC1pbi1jYW5hcmEtYmFuay1ieS1hc3Nlc3NlZS1hbmQtaW5jb21lLXRheC1kZXBhcnRtZW50LWl0YXQtZGlyZWN0cy1hby10by1yZWR1Y2UtYWRkaXRpb24vMzM3NjQyL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
30,Union Bank shares rose 102% from 52-week low in a year; more upside ahead?,Business Today,news.google.com/articles/CBMihAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvdG9wLXN0b3J5L3N0b3J5L3VuaW9uLWJhbmstc2hhcmVzLXJpc2UtNTItd2Vlay1sb3ctYnV5LXNlbGwtaG9sZC10YXJnZXQtcHJpY2UtNDA0MTU4LTIwMjMtMTEtMDHSAYgBaHR0cHM6Ly93d3cuYnVzaW5lc3N0b2RheS5pbi9hbXAvbWFya2V0cy90b3Atc3Rvcnkvc3RvcnkvdW5pb24tYmFuay1zaGFyZXMtcmlzZS01Mi13ZWVrLWxvdy1idXktc2VsbC1ob2xkLXRhcmdldC1wcmljZS00MDQxNTgtMjAyMy0xMS0wMQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
49,ব্যাঙ্ক প্রতারণায় অভিযুক্ত জেট এয়ারওয়েজ় কর্তা নরেশের ৫৩৮ কোটির সম্পত্তি বাজেয়াপ্ত করল ইডি,Anandabazar Patrika,news.google.com/articles/CBMimgFodHRwczovL3d3dy5hbmFuZGFiYXphci5jb20vaW5kaWEvZWQtYXR0YWNoZXMtYXNzZXRzLXdvcnRoLXJzLTUzOC1jci1vZi1qZXQtYWlyd2F5cy1mb3VuZGVyLW5hcmVzaC1nb3lhbC1hbmQtb3RoZXJzLWluLWluZGlhLWxvbmRvbi1kdWJhaS1kZ3RsL2NpZC8xNDcxMzc00gGeAWh0dHBzOi8vd3d3LmFuYW5kYWJhemFyLmNvbS9hbXAvaW5kaWEvZWQtYXR0YWNoZXMtYXNzZXRzLXdvcnRoLXJzLTUzOC1jci1vZi1qZXQtYWlyd2F5cy1mb3VuZGVyLW5hcmVzaC1nb3lhbC1hbmQtb3RoZXJzLWluLWluZGlhLWxvbmRvbi1kdWJhaS1kZ3RsL2NpZC8xNDcxMzc0?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-01
