,title,source,link,date
0,"Coal India share price Today Live Updates : Coal India closed today at ₹283.4, up 1.09% from yesterday's ₹280.35 | Mint",Mint,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2NvYWwtaW5kaWEtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yMi1zZXAtMjAyMy0xMTY5NTM1MDcyNzgzMy5odG1s0gFyaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvY29hbC1pbmRpYS1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTIyLXNlcC0yMDIzL2FtcC0xMTY5NTM1MDcyNzgzMy5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
9,"Jobs: Coal India, Neyveli Lignite conduct recruitment drives in mission mode",ETEnergyWorld,news.google.com/articles/CBMiigFodHRwczovL2VuZXJneS5lY29ub21pY3RpbWVzLmluZGlhdGltZXMuY29tL25ld3MvY29hbC9qb2JzLWNvYWwtaW5kaWEtbmV5dmVsaS1saWduaXRlLWNvbmR1Y3QtcmVjcnVpdG1lbnQtZHJpdmVzLWluLW1pc3Npb24tbW9kZS8xMDM4NTE4NTjSAY4BaHR0cHM6Ly9lbmVyZ3kuZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9hbXAvbmV3cy9jb2FsL2pvYnMtY29hbC1pbmRpYS1uZXl2ZWxpLWxpZ25pdGUtY29uZHVjdC1yZWNydWl0bWVudC1kcml2ZXMtaW4tbWlzc2lvbi1tb2RlLzEwMzg1MTg1OA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
88,Petronas nears $1.6 billion deal to acquire minority stake in AM ...,Mint,news.google.com/articles/CBMilQFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvcGV0cm9uYXMtbmVhcnMtMS02LWJpbGxpb24tZGVhbC10by1hY3F1aXJlLW1pbm9yaXR5LXN0YWtlLWluLWluZGlhLXMtYW0tZ3JlZW4tdW5pdC1yZXBvcnQtMTE2OTUzOTUzNDI1NDIuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
60,Top 4 Stocks Supplying Critical Components to the Defence Sector,Equitymaster,news.google.com/articles/CBMihgFodHRwczovL3d3dy5lcXVpdHltYXN0ZXIuY29tL2RldGFpbC5hc3A_ZGF0ZT0wOS8yMi8yMDIzJnN0b3J5PTYmdGl0bGU9VG9wLTQtU3RvY2tzLVN1cHBseWluZy1Dcml0aWNhbC1Db21wb25lbnRzLXRvLXRoZS1EZWZlbmNlLVNlY3RvctIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
38,HEC Staff: From Making Chandrayaan-3 Rocket Launchpad to Selling tea,NewsClick,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3Lm5ld3NjbGljay5pbi9oZWMtc3RhZmYtbWFraW5nLWNoYW5kcmF5YWFuLTMtcm9ja2V0LWxhdW5jaHBhZC1zZWxsaW5nLXRlYdIBWGh0dHBzOi8vd3d3Lm5ld3NjbGljay5pbi9oZWMtc3RhZmYtbWFraW5nLWNoYW5kcmF5YWFuLTMtcm9ja2V0LWxhdW5jaHBhZC1zZWxsaW5nLXRlYT9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
37,CFO inaugurates IREDA Pavilion at UP International Trade Show 2023,PSU Watch,news.google.com/articles/CBMiZmh0dHBzOi8vcHN1d2F0Y2guY29tL2V2ZW50cy1yZXBvcnRzL2Nmby1pbmF1Z3VyYXRlcy1pcmVkYS1wYXZpbGlvbi1hdC11cC1pbnRlcm5hdGlvbmFsLXRyYWRlLXNob3ctMjAyM9IBcGh0dHBzOi8vcHN1d2F0Y2guY29tL2FtcC9zdG9yeS9ldmVudHMtcmVwb3J0cy9jZm8taW5hdWd1cmF0ZXMtaXJlZGEtcGF2aWxpb24tYXQtdXAtaW50ZXJuYXRpb25hbC10cmFkZS1zaG93LTIwMjM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
36,Best Blue Chip Stocks Under Rs 500 - Wealth-Building on a Budget,Trade Brains,news.google.com/articles/CBMiOmh0dHBzOi8vdHJhZGVicmFpbnMuaW4vYmVzdC1ibHVlLWNoaXAtc3RvY2tzLXVuZGVyLXJzLTUwMC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
15,How is Coal India increasing coal output? CIL Chairman explains,BusinessLine,news.google.com/articles/CBMiiAFodHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbXVsdGltZWRpYS9hdWRpby9ob3ctaXMtY29hbC1pbmRpYS1pbmNyZWFzaW5nLWNvYWwtb3V0cHV0LWNpbC1jaGFpcm1hbi1leHBsYWlucy9hcnRpY2xlNjczMzQyMDUuZWNl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
10,Empowering Youth: Coal India Limited and NLCIL Surpass Recruitment Targets,SMEStreet,news.google.com/articles/CBMiZWh0dHBzOi8vc21lc3RyZWV0LmluL2xpbWVsaWdodC9lbXBvd2VyaW5nLXlvdXRoLWNvYWwtaW5kaWEtbGltaXRlZC1ubGNpbC1zdXJwYXNzLXJlY3J1aXRtZW50LXRhcmdldHMv0gFpaHR0cHM6Ly9zbWVzdHJlZXQuaW4vbGltZWxpZ2h0L2VtcG93ZXJpbmcteW91dGgtY29hbC1pbmRpYS1saW1pdGVkLW5sY2lsLXN1cnBhc3MtcmVjcnVpdG1lbnQtdGFyZ2V0cy9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
95,Some headwinds emerge for India's cement sector amidst high valuations,Business Standard,news.google.com/articles/CBMiigFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vaW5kdXN0cnkvbmV3cy9zb21lLWhlYWR3aW5kcy1lbWVyZ2UtZm9yLWluZGlhLXMtY2VtZW50LXNlY3Rvci1hbWlkc3QtaGlnaC12YWx1YXRpb25zLTEyMzA5MjIwMTE0MF8xLmh0bWzSAY4BaHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9pbmR1c3RyeS9uZXdzL3NvbWUtaGVhZHdpbmRzLWVtZXJnZS1mb3ItaW5kaWEtcy1jZW1lbnQtc2VjdG9yLWFtaWRzdC1oaWdoLXZhbHVhdGlvbnMtMTIzMDkyMjAxMTQwXzEuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-22
