,title,source,link,date
0,"HCL Tech Consolidated September 2023 Net Sales at Rs 26,672.00 crore, up 8.05% Y-o-Y",Moneycontrol,news.google.com/articles/CBMikwFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvZWFybmluZ3MvaGNsLXRlY2gtY29uc29saWRhdGVkLXNlcHRlbWJlci0yMDIzLW5ldC1zYWxlcy1hdC1ycy0yNjY3Mi0wMC1jcm9yZS11cC04LTA1LXktby15LTExNTc3NTYxLmh0bWzSAZcBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL2Vhcm5pbmdzL2hjbC10ZWNoLWNvbnNvbGlkYXRlZC1zZXB0ZW1iZXItMjAyMy1uZXQtc2FsZXMtYXQtcnMtMjY2NzItMDAtY3JvcmUtdXAtOC0wNS15LW8teS0xMTU3NzU2MS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-21
19,"Top 10 stocks to watch on October 20, 2023: Tata Motors, Zomato, Airtel, Paytm, Tejas Network, HCL Tech & more",Business Today,news.google.com/articles/CBMipwFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL3Zpc3VhbHN0b3JpZXMvc3RvY2svdG9wLTEwLXN0b2Nrcy10by13YXRjaC1vbi1vY3RvYmVyLTIwLTIwMjMtdGF0YS1tb3RvcnMtem9tYXRvLWFpcnRlbC1wYXl0bS10ZWphcy1uZXR3b3JrLWhjbC10ZWNoLW1vcmUtNzEwNzMtMjAtMTAtMjAyM9IBpwFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL3Zpc3VhbHN0b3JpZXMvc3RvY2svdG9wLTEwLXN0b2Nrcy10by13YXRjaC1vbi1vY3RvYmVyLTIwLTIwMjMtdGF0YS1tb3RvcnMtem9tYXRvLWFpcnRlbC1wYXl0bS10ZWphcy1uZXR3b3JrLWhjbC10ZWNoLW1vcmUtNzEwNzMtMjAtMTAtMjAyMw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-20
2,HCL Tech dividend: IT majors stock trades ex-date,Zee Business,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy1oY2wtdGVjaC1kaXZpZGVuZC1pdC1tYWpvci1zLXN0b2NrLXRyYWRlcy1leC1kYXRlLTI2MDU0OdIBZ2h0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy1oY2wtdGVjaC1kaXZpZGVuZC1pdC1tYWpvci1zLXN0b2NrLXRyYWRlcy1leC1kYXRlLTI2MDU0OS9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-20
42,"LTIMindtree Is Seen As Best Alternative To Tier-I IT Firms, Says President",BQ Prime,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmJxcHJpbWUuY29tL2J1c2luZXNzL2x0aW1pbmR0cmVlLWlzLXNlZW4tYXMtYmVzdC1hbHRlcm5hdGl2ZS10by10aWVyLWktaXQtZmlybXMtc2F5cy1wcmVzaWRlbnTSAW5odHRwczovL3d3dy5icXByaW1lLmNvbS9hbXAvYnVzaW5lc3MvbHRpbWluZHRyZWUtaXMtc2Vlbi1hcy1iZXN0LWFsdGVybmF0aXZlLXRvLXRpZXItaS1pdC1maXJtcy1zYXlzLXByZXNpZGVudA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-20
33,Global Capability Centres wooing IT talent with higher salaries | Mint,Mint,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9pbmR1c3RyeS9pbmZvdGVjaC9nY2NzLXdvb2luZy1pdC10YWxlbnQtd2l0aC1oaWdoZXItc2FsYXJpZXMtMTE2OTc3NzMyMzMxOTQuaHRtbNIBbWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9pbmR1c3RyeS9pbmZvdGVjaC9nY2NzLXdvb2luZy1pdC10YWxlbnQtd2l0aC1oaWdoZXItc2FsYXJpZXMvYW1wLTExNjk3NzczMjMzMTk0Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-20
1,"Hcl Tech share price Today Live Updates : Hcl Tech closed today at ₹1258.65, down -0.7% from yesterday's ₹1267.5 | Mint",Mint,news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2hjbC10ZWNoLXNoYXJlLXByaWNlLWxpdmUtYmxvZy1mb3ItMjAtb2N0LTIwMjMtMTE2OTc3Njk0NTcxMDguaHRtbNIBcGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2hjbC10ZWNoLXNoYXJlLXByaWNlLWxpdmUtYmxvZy1mb3ItMjAtb2N0LTIwMjMvYW1wLTExNjk3NzY5NDU3MTA4Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-20
38,HCL Tech: ప్రముఖ ఐటీ కంపెనీ కీలక నిర్ణయం.. ఇక ఉద్యోగులకు తప్పదు.. వారంలో 3 రోజులూ..!,సమయం తెలుగు (Samayam Telugu),news.google.com/articles/CBMipQFodHRwczovL3RlbHVndS5zYW1heWFtLmNvbS9idXNpbmVzcy9idXNpbmVzcy1uZXdzL2hjbC10ZWNoLWhjbC10ZWNobm9sb2dpZXMtaXMtbWFuZGF0aW5nLXRoYXQtZW1wbG95ZWVzLXNob3VsZC1jb21lLXRvLW9mZmljZS0zLWRheXMtYS13ZWVrL2FydGljbGVzaG93LzEwNDQxNTQzMC5jbXPSAakBaHR0cHM6Ly90ZWx1Z3Uuc2FtYXlhbS5jb20vYnVzaW5lc3MvYnVzaW5lc3MtbmV3cy9oY2wtdGVjaC1oY2wtdGVjaG5vbG9naWVzLWlzLW1hbmRhdGluZy10aGF0LWVtcGxveWVlcy1zaG91bGQtY29tZS10by1vZmZpY2UtMy1kYXlzLWEtd2Vlay9hbXBfYXJ0aWNsZXNob3cvMTA0NDE1NDMwLmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
34,"Coforge, Cyient outliers amid weak quarter for tech services | Mint",Mint,news.google.com/articles/CBMipwFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvbWlkY2FwLWl0LXNlcnZpY2UtcHJvdmlkZXJzLWNvZm9yZ2UtYW5kLWN5aWVudC1vdXRwZXJmb3JtLXBlZXJzLXdpdGgtc3Ryb25nLXEzLWVhcm5pbmdzLWFuZC1zdGFibGUtZ3VpZGFuY2UtMTE2OTc3MzQwODgzMjQuaHRtbNIBqwFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvbWlkY2FwLWl0LXNlcnZpY2UtcHJvdmlkZXJzLWNvZm9yZ2UtYW5kLWN5aWVudC1vdXRwZXJmb3JtLXBlZXJzLXdpdGgtc3Ryb25nLXEzLWVhcm5pbmdzLWFuZC1zdGFibGUtZ3VpZGFuY2UvYW1wLTExNjk3NzM0MDg4MzI0Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
22,"HUL, ITC, Cyient, HCL Technologies, Cyient, Mphasis, UBL, and Zomato among top stocks to track today",Zee Business,news.google.com/articles/CBMifGh0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy1odWwtaXRjLWN5aWVudC1oY2wtdGVjaG5vbG9naWVzLXN0b2Nrcy10by13YXRjaC1vdXQtdG8td2F0Y2gtZm9yLW9uLWZyaWRheS0yNjA1MjTSAYABaHR0cHM6Ly93d3cuemVlYml6LmNvbS9tYXJrZXRzL3N0b2Nrcy9uZXdzLWh1bC1pdGMtY3lpZW50LWhjbC10ZWNobm9sb2dpZXMtc3RvY2tzLXRvLXdhdGNoLW91dC10by13YXRjaC1mb3Itb24tZnJpZGF5LTI2MDUyNC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
76,Oracle NetSuite to help enterprises with Gen AI capabilities,TechCircle,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnRlY2hjaXJjbGUuaW4vMjAyMy8xMC8xOS9vcmFjbGUtbmV0c3VpdGUtdG8taGVscC1lbnRlcnByaXNlcy13aXRoLWdlbi1haS1jYXBhYmlsaXRpZXMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-19
