,title,source,link,date
0,Hindustan Motors to Sell Scrap and Obsolete Equipment at ...,Marketscreener.com,news.google.com/articles/CBMirAFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svSElORFVTVEFOLU1PVE9SUy1MSU1JVEVELTk3NDMzMjEvbmV3cy9IaW5kdXN0YW4tTW90b3JzLXRvLVNlbGwtU2NyYXAtYW5kLU9ic29sZXRlLUVxdWlwbWVudC1hdC1VdHRhcnBhcmEtUGxhbnQtaW4tSW5kaWEtNDUwMDA1MjYv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-06
1,"Tata Tech IPO coming soon, experts predict share price; full details",Hindustan Times,news.google.com/articles/CBMigAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vYnVzaW5lc3MvdGF0YS1maXJtcy1pcG8tY29taW5nLXNvb24tZXhwZXJ0cy1wcmVkaWN0LXNoYXJlLXByaWNlLWZ1bGwtZGV0YWlscy0xMDE2OTY1NzAzODc2MzAuaHRtbNIBhAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vYnVzaW5lc3MvdGF0YS1maXJtcy1pcG8tY29taW5nLXNvb24tZXhwZXJ0cy1wcmVkaWN0LXNoYXJlLXByaWNlLWZ1bGwtZGV0YWlscy0xMDE2OTY1NzAzODc2MzAtYW1wLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-06
2,"Share Market Highlights 06 October 2023: Sensex up 364 pts, Nifty closes above 19,650; TCS to consider share buyback next week",BusinessLine,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3N0b2NrLW1hcmtldC1oaWdobGlnaHRzLTA2LW9jdG9iZXItMjAyMy9hcnRpY2xlNjczODQ5NTUuZWNl0gFtaHR0cHM6Ly93d3cudGhlaGluZHVidXNpbmVzc2xpbmUuY29tL21hcmtldHMvc3RvY2stbWFya2V0LWhpZ2hsaWdodHMtMDYtb2N0b2Jlci0yMDIzL2FydGljbGU2NzM4NDk1NS5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-06
30,Indian Air Force 91st anniversary: Atamnirbharta in aerospace critical to nations strategic autonomy,Firstpost,news.google.com/articles/CBMikwFodHRwczovL3d3dy5maXJzdHBvc3QuY29tL29waW5pb24vaW5kaWFuLWFpci1mb3JjZS05MXN0LWFubml2ZXJzYXJ5LWF0YW1uaXJiaGFydGEtaW4tYWVyb3NwYWNlLWNyaXRpY2FsLXRvLW5hdGlvbnMtc3RyYXRlZ2ljLWF1dG9ub215LTEzMjExOTAyLmh0bWzSAZcBaHR0cHM6Ly93d3cuZmlyc3Rwb3N0LmNvbS9vcGluaW9uL2luZGlhbi1haXItZm9yY2UtOTFzdC1hbm5pdmVyc2FyeS1hdGFtbmlyYmhhcnRhLWluLWFlcm9zcGFjZS1jcml0aWNhbC10by1uYXRpb25zLXN0cmF0ZWdpYy1hdXRvbm9teS0xMzIxMTkwMi5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-06
3,Trade setup for Friday: 15 things to know before opening bell,Moneycontrol,news.google.com/articles/CBMif2h0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9tYXJrZXRzL3RyYWRlLXNldHVwLWZvci1mcmlkYXktMTUtdGhpbmdzLXRvLWtub3ctYmVmb3JlLW9wZW5pbmctYmVsbC0zLTExNDg1MzYxLmh0bWzSAYMBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL21hcmtldHMvdHJhZGUtc2V0dXAtZm9yLWZyaWRheS0xNS10aGluZ3MtdG8ta25vdy1iZWZvcmUtb3BlbmluZy1iZWxsLTMtMTE0ODUzNjEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-05
4,"HAL, BEL, Bharat Forge, Tata Motors, BDL get a boost from Centres 5th defence indigenisation list",Zee Business,news.google.com/articles/CBMiwgFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvc3RvY2tzL25ld3MtZGVmZW5jZS1zdG9ja3MtaGFsLWJlbC1jb2NoaW4tc2hpcHlhcmQtbWF6YWdvbi1kb2NrLXRhdGEtbW90b3JzLWJlbWwtc2hhcmUtcHJpY2UtZGVmZW5jZS1taW5pc3RyeS1maWZ0aC1pbmRpZ2VuaXNhdGlvbi1saXN0LW5zZS1ic2UtcHJpY2UtdGFyZ2V0LTI1NzY0NdIBxgFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvc3RvY2tzL25ld3MtZGVmZW5jZS1zdG9ja3MtaGFsLWJlbC1jb2NoaW4tc2hpcHlhcmQtbWF6YWdvbi1kb2NrLXRhdGEtbW90b3JzLWJlbWwtc2hhcmUtcHJpY2UtZGVmZW5jZS1taW5pc3RyeS1maWZ0aC1pbmRpZ2VuaXNhdGlvbi1saXN0LW5zZS1ic2UtcHJpY2UtdGFyZ2V0LTI1NzY0NS9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-05
5,Hindustan Zinc signs deal to deploy GreenLine's LNG-powered trucks,Moneycontrol,news.google.com/articles/CBMifWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9jb21wYW5pZXMtMi9oaW5kdXN0YW4temluYy1zaWducy1kZWFsLXRvLWRlcGxveS1ncmVlbmxpbmVzLWxuZy1wb3dlcmVkLXRydWNrcy0xMTQ3OTEyMS5odG1s0gGBAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9jb21wYW5pZXMtMi9oaW5kdXN0YW4temluYy1zaWducy1kZWFsLXRvLWRlcGxveS1ncmVlbmxpbmVzLWxuZy1wb3dlcmVkLXRydWNrcy0xMTQ3OTEyMS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-04
9,Fate of e-bike scheme uncertain as it awaits state govt nod,Hindustan Times,news.google.com/articles/CBMigAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vY2l0aWVzL3B1bmUtbmV3cy9mYXRlLW9mLWUtYmlrZS1zY2hlbWUtdW5jZXJ0YWluLWFzLWl0LWF3YWl0cy1zdGF0ZS1nb3Z0LW5vZC0xMDE2OTYzNTc2MDU3ODEuaHRtbNIBhAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vY2l0aWVzL3B1bmUtbmV3cy9mYXRlLW9mLWUtYmlrZS1zY2hlbWUtdW5jZXJ0YWluLWFzLWl0LWF3YWl0cy1zdGF0ZS1nb3Z0LW5vZC0xMDE2OTYzNTc2MDU3ODEtYW1wLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-04
16,"Sensex, Nifty Tank Nearly 1% As Axis Bank, ICIC Bank Drag: Midday Market Update",BQ Prime,news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmJxcHJpbWUuY29tL21hcmtldHMvc2Vuc2V4LW5pZnR5LXRhbmstbmVhcmx5LTEtYXMtYXhpcy1iYW5rLWljaWMtYmFuay1kcmFnLW1pZGRheS1tYXJrZXQtdXBkYXRl0gFvaHR0cHM6Ly93d3cuYnFwcmltZS5jb20vYW1wL21hcmtldHMvc2Vuc2V4LW5pZnR5LXRhbmstbmVhcmx5LTEtYXMtYXhpcy1iYW5rLWljaWMtYmFuay1kcmFnLW1pZGRheS1tYXJrZXQtdXBkYXRl?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-04
17,"Stocks To Watch Today: Maruti Suzuki, CIL, Adani Energy, Tata Motors & More",Goodreturns,news.google.com/articles/CBMicmh0dHBzOi8vd3d3Lmdvb2RyZXR1cm5zLmluL25ld3Mvc3RvY2tzLXRvLXdhdGNoLXRvZGF5LW1hcnV0aS1zdXp1a2ktY2lsLWFkYW5pLWVuZXJneS10YXRhLW1vdG9ycy1tb3JlLTEzMDM4MDUuaHRtbNIBemh0dHBzOi8vd3d3Lmdvb2RyZXR1cm5zLmluL2FtcGh0bWwvbmV3cy9zdG9ja3MtdG8td2F0Y2gtdG9kYXktbWFydXRpLXN1enVraS1jaWwtYWRhbmktZW5lcmd5LXRhdGEtbW90b3JzLW1vcmUtMTMwMzgwNS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-03
