,title,source,link,date
0,"Trade Spotlight | Your game plan for Grasim Industries, Infosys, JB Chemicals today",Moneycontrol,news.google.com/articles/CBMikAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy90cmFkZS1zcG90bGlnaHQteW91ci1nYW1lLXBsYW4tZm9yLWdyYXNpbS1pbmR1c3RyaWVzLWluZm9zeXMtamItY2hlbWljYWxzLXRvZGF5LTExMzU3MzkxLmh0bWzSAZQBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL21hcmtldHMvdHJhZGUtc3BvdGxpZ2h0LXlvdXItZ2FtZS1wbGFuLWZvci1ncmFzaW0taW5kdXN0cmllcy1pbmZvc3lzLWpiLWNoZW1pY2Fscy10b2RheS0xMTM1NzM5MS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
5,"J B Chemicals & Pharmaceuticals share price Today Live Updates : J B Chemicals & Pharmaceuticals closed today at ₹2940.95, up 0.48% from yesterday's ₹2926.8",MintGenie,news.google.com/articles/CBMirgFodHRwczovL21pbnRnZW5pZS5saXZlbWludC5jb20vbmV3cy9tYXJrZXRzL2otYi1jaGVtaWNhbHMtcGhhcm1hY2V1dGljYWxzLXNoYXJlLXByaWNlLXRvZGF5LWxpdmUtdXBkYXRlcy1qLWItY2hlbWljYWxzLXBoYXJtYWNldXRpY2Fscy1zdXJnZXMtaW4tdHJhZGluZy10b2RheS0xNTE2OTQ1NzMxMzQ4NTHSAYECaHR0cHM6Ly9taW50Z2VuaWUubGl2ZW1pbnQuY29tL2FtcC9uZXdzL21hcmtldHMvai1iLWNoZW1pY2Fscy1waGFybWFjZXV0aWNhbHMtc2hhcmUtcHJpY2UtdG9kYXktbGl2ZS11cGRhdGVzLWotYi1jaGVtaWNhbHMtcGhhcm1hY2V1dGljYWxzLWNsb3NlZC10b2RheS1hdC1zcGFuLWNsYXNzLXdlYnJ1cGVlLXNwYW4tMjk0MDk1LXVwLTA0OC1mcm9tLXllc3RlcmRheS1zLXNwYW4tY2xhc3Mtd2VicnVwZWUtc3Bhbi0yOTI2OC0xNTE2OTQ1NzMxMzQ4NTE?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
13,"Traders Diary: Buy, sell or hold strategy on Maruti Suzuki, Quess Corp, Divis, CAMS, Mankind Pharma, over a...",Zee Business,news.google.com/articles/CBMirwFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvc3RvY2tzL25ld3MtdHJhZGVycy1kaWFyeS1idXktc2VsbC1vci1ob2xkLXN0cmF0ZWd5LW9uLW1hcnV0aS1zdXp1a2ktcXVlc3MtY29ycC1kaXZpcy1jYW1zLW1hbmtpbmQtcGhhcm1hLW92ZXItYS1kb3plbi1vdGhlci1zdG9ja3MtdG9kYXktMjUzNjkw0gGzAWh0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy10cmFkZXJzLWRpYXJ5LWJ1eS1zZWxsLW9yLWhvbGQtc3RyYXRlZ3ktb24tbWFydXRpLXN1enVraS1xdWVzcy1jb3JwLWRpdmlzLWNhbXMtbWFua2luZC1waGFybWEtb3Zlci1hLWRvemVuLW90aGVyLXN0b2Nrcy10b2RheS0yNTM2OTAvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
7,700 per cent returns and 52-week high: Board announced stock split ...,Dalal Street Investment Journal,news.google.com/articles/CBMilQFodHRwczovL3d3dy5kc2lqLmluL2RzaWphcnRpY2xlZGV0YWlsLzcwMC1wZXItY2VudC1yZXR1cm5zLWFuZC01Mi13ZWVrLWhpZ2gtYm9hcmQtYW5ub3VuY2VkLXN0b2NrLXNwbGl0LW9mLWVxdWl0eS1zaGFyZXMtZmlpcy1pbmNyZWFzZWQtc3Rha2UtMzMyMjQtMdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
93,A new discovery of the bioluminescent terrestrial snail genus ...,Nature.com,news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyMy00MjM2NC150gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
4,J B Chemicals & Pharmaceuticals share price Today Live Updates : J B Chemicals,MintGenie,news.google.com/articles/CBMi_QFodHRwczovL21pbnRnZW5pZS5saXZlbWludC5jb20vbmV3cy9tYXJrZXRzL2otYi1jaGVtaWNhbHMtcGhhcm1hY2V1dGljYWxzLXNoYXJlLXByaWNlLXRvZGF5LWxpdmUtdXBkYXRlcy1qLWItY2hlbWljYWxzLXBoYXJtYWNldXRpY2Fscy1jbG9zZWQtdG9kYXktYXQtc3Bhbi1jbGFzcy13ZWJydXBlZS1zcGFuLTI5NDA5NS11cC0wNDgtZnJvbS15ZXN0ZXJkYXktcy1zcGFuLWNsYXNzLXdlYnJ1cGVlLXNwYW4tMjkyNjgtMTUxNjk0NTczMTM0ODUx0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-13
19,At record high! Mid and small-cap indices witness incredible bull run; should you still buy or stay cautious?,MintGenie,news.google.com/articles/CBMipgFodHRwczovL21pbnRnZW5pZS5saXZlbWludC5jb20vbmV3cy9tYXJrZXRzL2F0LXJlY29yZC1oaWdoLW1pZC1hbmQtc21hbGwtY2FwLWluZGljZXMtd2l0bmVzcy1pbmNyZWRpYmxlLWJ1bGwtcnVuLXNob3VsZC15b3Utc3RpbGwtYnV5LW9yLXN0YXktY2F1dGlvdXMtMTUxNjk0NTA4MTk4ODc30gGqAWh0dHBzOi8vbWludGdlbmllLmxpdmVtaW50LmNvbS9hbXAvbmV3cy9tYXJrZXRzL2F0LXJlY29yZC1oaWdoLW1pZC1hbmQtc21hbGwtY2FwLWluZGljZXMtd2l0bmVzcy1pbmNyZWRpYmxlLWJ1bGwtcnVuLXNob3VsZC15b3Utc3RpbGwtYnV5LW9yLXN0YXktY2F1dGlvdXMtMTUxNjk0NTA4MTk4ODc3?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-12
65,"Discarded paper, cardboard to help local food pantries",The Steubenville Herald-Star,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmhlcmFsZHN0YXJvbmxpbmUuY29tL25ld3MvbG9jYWwtbmV3cy8yMDIzLzA5L2Rpc2NhcmRlZC1wYXBlci1jYXJkYm9hcmQtdG8taGVscC1sb2NhbC1mb29kLXBhbnRyaWVzL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-12
60,"Diclofenac Sodium Market Size, Current Insights and Demographic Trends 2023-2030",Benzinga,news.google.com/articles/CBMihQFodHRwczovL3d3dy5iZW56aW5nYS5jb20vcHJlc3NyZWxlYXNlcy8yMy8wOS8zNDQ4NTQxNC9kaWNsb2ZlbmFjLXNvZGl1bS1tYXJrZXQtc2l6ZS1jdXJyZW50LWluc2lnaHRzLWFuZC1kZW1vZ3JhcGhpYy10cmVuZHMtMjAyMy0yMDMw0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzM0NDg1NDE0?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-12
6,"While institutions own 25% of J. B. Chemicals & Pharmaceuticals Limited (NSE:JBCHEPHARM), private equity firms are its largest shareholders with 54% ownership",Simply Wall St,news.google.com/articles/CBMirQFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2luL3BoYXJtYWNldXRpY2Fscy1iaW90ZWNoL25zZS1qYmNoZXBoYXJtL2otYi1jaGVtaWNhbHMtcGhhcm1hY2V1dGljYWxzLXNoYXJlcy9uZXdzL3doaWxlLWluc3RpdHV0aW9ucy1vd24tMjUtb2Ytai1iLWNoZW1pY2Fscy1waGFybWFjZXV0aWNhbHMtbNIBsQFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2luL3BoYXJtYWNldXRpY2Fscy1iaW90ZWNoL25zZS1qYmNoZXBoYXJtL2otYi1jaGVtaWNhbHMtcGhhcm1hY2V1dGljYWxzLXNoYXJlcy9uZXdzL3doaWxlLWluc3RpdHV0aW9ucy1vd24tMjUtb2Ytai1iLWNoZW1pY2Fscy1waGFybWFjZXV0aWNhbHMtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-12
