,title,source,link,date
17,"Mahindra XUV 700: A Luxurious, Feature-Packed SUV For Family Adventures",News24,news.google.com/articles/CBMia2h0dHBzOi8vbmV3czI0b25saW5lLmNvbS9hdXRvL21haGluZHJhLXh1di03MDAtYS1sdXh1cmlvdXMtZmVhdHVyZS1wYWNrZWQtc3V2LWZvci1mYW1pbHktYWR2ZW50dXJlcy8xODExMTIv0gFvaHR0cHM6Ly9uZXdzMjRvbmxpbmUuY29tL2F1dG8vbWFoaW5kcmEteHV2LTcwMC1hLWx1eHVyaW91cy1mZWF0dXJlLXBhY2tlZC1zdXYtZm9yLWZhbWlseS1hZHZlbnR1cmVzLzE4MTExMi9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
39,New Tata Nexon ev vs Mahindra XUV400 - which is the better ev? - MotorOctane,MotorOctane,news.google.com/articles/CBMiX2h0dHBzOi8vbW90b3JvY3RhbmUuY29tL25ld3MvMjYyNTc0LW5ldy10YXRhLW5leG9uLWV2LXZzLW1haGluZHJhLXh1djQwMC13aGljaC1pcy10aGUtYmV0dGVyLWV20gFoaHR0cHM6Ly9tLm1vdG9yb2N0YW5lLmNvbS9hcnRpY2xlL25ldy10YXRhLW5leG9uLWV2LXZzLW1haGluZHJhLXh1djQwMC13aGljaC1pcy10aGUtYmV0dGVyLWV2LzI2MjU3NC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
87,"Used Cars Offers: आधी कीमत में यहां मिल रही है Mahindra Bolero, शोरूम जाएंगे तो खर्च होंगे 8 से 11 लाख, जानें क्या है ऑफर",Jansatta,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmphbnNhdHRhLmNvbS9hdXRvbW9iaWxlL3NlY29uZC1oYW5kLW1haGluZHJhLWJvbGVyby1pbi1ycy00LWxha2gtd2l0aC1maW5hbmNlLXBsYW4vMzA0MzQ1OC_SAXBodHRwczovL20uamFuc2F0dGEuY29tL2FydGljbGUvYXV0b21vYmlsZS9zZWNvbmQtaGFuZC1tYWhpbmRyYS1ib2xlcm8taW4tcnMtNC1sYWtoLXdpdGgtZmluYW5jZS1wbGFuLzMwNDM0NTgvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
29,Hyundai Venue vs Mahindra XUV300: Comparing Their Variants Priced Rs 10-11 Lakh for Style-conscious Car Buyers,CarToq.com,news.google.com/articles/CBMikwFodHRwczovL3d3dy5jYXJ0b3EuY29tL2J1eWluZy1hZHZpY2UvaHl1bmRhaS12ZW51ZS12cy1tYWhpbmRyYS14dXYzMDAtY29tcGFyaW5nLXRoZWlyLXZhcmlhbnRzLXByaWNlZC1ycy0xMC0xMS1sYWtoLWZvci1zdHlsZS1jb25zY2lvdXMtY2FyLWJ1eWVycy_SAZcBaHR0cHM6Ly93d3cuY2FydG9xLmNvbS9idXlpbmctYWR2aWNlL2h5dW5kYWktdmVudWUtdnMtbWFoaW5kcmEteHV2MzAwLWNvbXBhcmluZy10aGVpci12YXJpYW50cy1wcmljZWQtcnMtMTAtMTEtbGFraC1mb3Itc3R5bGUtY29uc2Npb3VzLWNhci1idXllcnMvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
70,"Upcoming Mahindra SUVs: મહિન્દ્રા લાવી રહી છે ત્રણ નવી અપડેટેડ ICE એસયુવી કારો, વાંચો ખાસિયત....",ABP Asmita,news.google.com/articles/CBMijQFodHRwczovL2d1amFyYXRpLmFicGxpdmUuY29tL2F1dG8vdXBjb21pbmctbWFoaW5kcmEtc3V2cy1yZWFkLXRoZS1zdG9yeS1vZi1sYXRlc3QtdXBjb21pbmctbWFoaW5kcmEtc3V2LW1vZGVsLXdpdGgtaWNlLW1vZGVscy1pbi1pbmRpYS04NjE1NTHSAZEBaHR0cHM6Ly9ndWphcmF0aS5hYnBsaXZlLmNvbS9hdXRvL3VwY29taW5nLW1haGluZHJhLXN1dnMtcmVhZC10aGUtc3Rvcnktb2YtbGF0ZXN0LXVwY29taW5nLW1haGluZHJhLXN1di1tb2RlbC13aXRoLWljZS1tb2RlbHMtaW4taW5kaWEtODYxNTUxL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
65,"Upcoming Mahindra SUVs: তিন নতুন এসইউভি আনতে চলেছে মহিন্দ্রা, দেখুন কী কী বদল হবে গাড়িতে",ABP Ananda,news.google.com/articles/CBMiXGh0dHBzOi8vYmVuZ2FsaS5hYnBsaXZlLmNvbS9hdXRvL3VwY29taW5nLW1haGluZHJhLXN1dnMtdXBjb21pbmctbWFoaW5kcmEtaWNlLW1vZGVscy0xMDE2NzU10gFgaHR0cHM6Ly9iZW5nYWxpLmFicGxpdmUuY29tL2F1dG8vdXBjb21pbmctbWFoaW5kcmEtc3V2cy11cGNvbWluZy1tYWhpbmRyYS1pY2UtbW9kZWxzLTEwMTY3NTUvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
57,"Upcoming Mahindra SUVs: महिंद्रा लाने वाली है तीन नई अपडेटेड आईसीई एसयूवी, देखिए क्या होंगे बदलाव",ABP न्यूज़,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmFicGxpdmUuY29tL2F1dG8vdXBjb21pbmctbWFoaW5kcmEtc3V2cy11cGNvbWluZy1tYWhpbmRyYS1pY2UtbW9kZWxzLTI1MTQ5NjHSAVxodHRwczovL3d3dy5hYnBsaXZlLmNvbS9hdXRvL3VwY29taW5nLW1haGluZHJhLXN1dnMtdXBjb21pbmctbWFoaW5kcmEtaWNlLW1vZGVscy0yNTE0OTYxL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
20,4 men & a Mahindra Thar 4x4 go on a 2 day off-road expedition,Team-BHP,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LnRlYW0tYmhwLmNvbS9uZXdzLzQtbWVuLW1haGluZHJhLXRoYXItNHg0LWdvLTItZGF5LXJvYWQtZXhwZWRpdGlvbtIBUmh0dHBzOi8vd3d3LnRlYW0tYmhwLmNvbS9uZXdzLzQtbWVuLW1haGluZHJhLXRoYXItNHg0LWdvLTItZGF5LXJvYWQtZXhwZWRpdGlvbj9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-15
32,"Fed up with issues in new Mahindra XUV300, owner wants to set it on fire [Video]",CarToq.com,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LmNhcnRvcS5jb20vZmVkLXVwLXdpdGgtaXNzdWVzLWluLW5ldy1tYWhpbmRyYS14dXYzMDAtb3duZXItd2FudHMtdG8tc2V0LWl0LW9uLWZpcmUtdmlkZW8v0gFpaHR0cHM6Ly93d3cuY2FydG9xLmNvbS9mZWQtdXAtd2l0aC1pc3N1ZXMtaW4tbmV3LW1haGluZHJhLXh1djMwMC1vd25lci13YW50cy10by1zZXQtaXQtb24tZmlyZS12aWRlby9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-14
95,"Anand Mahindra: 'అతడి ధైర్యం, సంకల్పం అన్‌స్టాపబుల్.. కచ్చితంగా ఆదుకుంటా'",andhrajyothy,news.google.com/articles/CBMikwFodHRwczovL3d3dy5hbmRocmFqeW90aHkuY29tLzIwMjMvcHJhdGh5ZWthbS9hbmFuZC1tYWhpbmRyYS10d2VldC1hYm91dC1kYWlseS13YWdlLXdvcmtlci10by1hc2lhbi1nYW1lcy1tZWRhbGxpc3QtZ29lcy12aXJhbC1yYW1zLXNwbC0xMTU0MzAyLmh0bWzSAZcBaHR0cHM6Ly93d3cuYW5kaHJhanlvdGh5LmNvbS8yMDIzL3ByYXRoeWVrYW0vYW5hbmQtbWFoaW5kcmEtdHdlZXQtYWJvdXQtZGFpbHktd2FnZS13b3JrZXItdG8tYXNpYW4tZ2FtZXMtbWVkYWxsaXN0LWdvZXMtdmlyYWwtcmFtcy1zcGwtMTE1NDMwMi5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-14
