,title,source,link,date
0,Simplifying Investments with Stock Baskets Motilal Oswal Now Lets ...,Business Wire India,news.google.com/articles/CBMiuQFodHRwczovL3d3dy5idXNpbmVzc3dpcmVpbmRpYS5jb20vc2ltcGxpZnlpbmctaW52ZXN0bWVudHMtd2l0aC1zdG9jay1iYXNrZXRzLW1vdGlsYWwtb3N3YWwtbm93LWxldHMteW91LWludmVzdC1pbi1zdG9ja3MtdGhhdC1jYW4tYmVuZWZpdC1mcm9tLXRoZS1tZW5zLWNyaWNrZXQtd29ybGQtY3VwLTIwMjMtODcwMzEuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
11,"Wipro Q2 Results Highlights: Revenue flat at ₹22,515 crore; headcount drops by 5,051 in 4th straight quarter decline | Mint",Mint,news.google.com/articles/CBMitQFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9iYWphai1hdXRvLXEyLXJlc3VsdHMtbGl2ZS11cGRhdGVzLWJhamFqLWF1dG8tcTItbmV0LXByb2ZpdC13aXByby1xMi1yZXN1bHRzLXdpcHJvLXEyLWVhcm5pbmdzLTE4LW9jdG9iZXItMjAyMy0xMTY5NzU5NzY4MDY3OS5odG1s0gG5AWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2JhamFqLWF1dG8tcTItcmVzdWx0cy1saXZlLXVwZGF0ZXMtYmFqYWotYXV0by1xMi1uZXQtcHJvZml0LXdpcHJvLXEyLXJlc3VsdHMtd2lwcm8tcTItZWFybmluZ3MtMTgtb2N0b2Jlci0yMDIzL2FtcC0xMTY5NzU5NzY4MDY3OS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
9,Bajaj Finance share price drops over 2% post Q2 results; what should you do? Here's what top brokerages say | Mint,Mint,news.google.com/articles/CBMirQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JhamFqLWZpbmFuY2Utc2hhcmUtcHJpY2UtZHJvcHMtb3Zlci0yLXBvc3QtcTItcmVzdWx0cy13aGF0LXNob3VsZC15b3UtZG8taGVyZXMtd2hhdC10b3AtYnJva2VyYWdlcy1zYXktMTE2OTc2MDE2MTE5MzYuaHRtbNIBsQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JhamFqLWZpbmFuY2Utc2hhcmUtcHJpY2UtZHJvcHMtb3Zlci0yLXBvc3QtcTItcmVzdWx0cy13aGF0LXNob3VsZC15b3UtZG8taGVyZXMtd2hhdC10b3AtYnJva2VyYWdlcy1zYXkvYW1wLTExNjk3NjAxNjExOTM2Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
10,7 things that changed for the stock market overnight - Gift Nifty to robust US retail sales | Mint,Mint,news.google.com/articles/CBMinwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzLzctdGhpbmdzLXRoYXQtY2hhbmdlZC1mb3ItdGhlLXN0b2NrLW1hcmtldC1vdmVybmlnaHQtZ2lmdC1uaWZ0eS10by1yb2J1c3QtdXMtcmV0YWlsLXNhbGVzLTExNjk3NTkxNzgzNjgzLmh0bWzSAaMBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy83LXRoaW5ncy10aGF0LWNoYW5nZWQtZm9yLXRoZS1zdG9jay1tYXJrZXQtb3Zlcm5pZ2h0LWdpZnQtbmlmdHktdG8tcm9idXN0LXVzLXJldGFpbC1zYWxlcy9hbXAtMTE2OTc1OTE3ODM2ODMuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-18
42,"FII, DII data: FPIs sold shares worth Rs 593 cr, DIIs added shares worth Rs 1184 cr on October 16, Monday",The Financial Express,news.google.com/articles/CBMilgFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9tYXJrZXQvZmlpLWRpaS1kYXRhLWZwaXMtc29sZC1zaGFyZXMtd29ydGgtcnMtNTkzLWNyLWRpaXMtYWRkZWQtc2hhcmVzLXdvcnRoLXJzLTExODQtY3Itb24tb2N0b2Jlci0xNi1tb25kYXktMzI3NDc5Ni_SAZsBaHR0cHM6Ly93d3cuZmluYW5jaWFsZXhwcmVzcy5jb20vbWFya2V0L2ZpaS1kaWktZGF0YS1mcGlzLXNvbGQtc2hhcmVzLXdvcnRoLXJzLTU5My1jci1kaWlzLWFkZGVkLXNoYXJlcy13b3J0aC1ycy0xMTg0LWNyLW9uLW9jdG9iZXItMTYtbW9uZGF5LTMyNzQ3OTYvbGl0ZS8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
36,Groww overtakes Zerodha in active NSE clients as market sees ...,Investing.com,news.google.com/articles/CBMihQFodHRwczovL3d3dy5pbnZlc3RpbmcuY29tL25ld3Mvc3RvY2stbWFya2V0LW5ld3MvZ3Jvd3ctb3ZlcnRha2VzLXplcm9kaGEtaW4tYWN0aXZlLW5zZS1jbGllbnRzLWFzLW1hcmtldC1zZWVzLXZvbGF0aWxpdHktOTNDSC0zMjAwNTcy0gGNAWh0dHBzOi8vbS5pbnZlc3RpbmcuY29tL25ld3Mvc3RvY2stbWFya2V0LW5ld3MvZ3Jvd3ctb3ZlcnRha2VzLXplcm9kaGEtaW4tYWN0aXZlLW5zZS1jbGllbnRzLWFzLW1hcmtldC1zZWVzLXZvbGF0aWxpdHktOTNDSC0zMjAwNTcyP2FtcE1vZGU9MQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
21,"HDFC Bank shares rise post Q2 results. To buy, sell or hold stock?",Hindustan Times,news.google.com/articles/CBMifGh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9idXNpbmVzcy9oZGZjLWJhbmstc2hhcmVzLXJpc2UtcG9zdC1xMi1yZXN1bHRzLXRvLWJ1eS1zZWxsLW9yLWhvbGQtc3RvY2stMTAxNjk3NTE4ODI2MjM2Lmh0bWzSAYABaHR0cHM6Ly93d3cuaGluZHVzdGFudGltZXMuY29tL2J1c2luZXNzL2hkZmMtYmFuay1zaGFyZXMtcmlzZS1wb3N0LXEyLXJlc3VsdHMtdG8tYnV5LXNlbGwtb3ItaG9sZC1zdG9jay0xMDE2OTc1MTg4MjYyMzYtYW1wLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
14,Bajaj Finance acquires 26% stake in Pennant Technologies for ₹267.50 crore | Mint,Mint,news.google.com/articles/CBMihAFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvYmFqYWotZmluYW5jZS1hY3F1aXJlcy0yNi1zdGFrZS1pbi1wZW5uYW50LXRlY2hub2xvZ2llcy1mb3ItMjY3LTUwLWNyb3JlLTExNjk3NTEyNTMzOTQwLmh0bWzSAYgBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL2JhamFqLWZpbmFuY2UtYWNxdWlyZXMtMjYtc3Rha2UtaW4tcGVubmFudC10ZWNobm9sb2dpZXMtZm9yLTI2Ny01MC1jcm9yZS9hbXAtMTE2OTc1MTI1MzM5NDAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
26,ICICI Securities Shares Hit 52-Week High After Q2 Profit Beats Estimates,BQ Prime,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmJxcHJpbWUuY29tL2J1c2luZXNzL2ljaWNpLXNlY3VyaXRpZXMtc2hhcmVzLWhpdC01Mi13ZWVrLWhpZ2gtYWZ0ZXItcTItcHJvZml0LWJlYXRzLWVzdGltYXRlc9IBbWh0dHBzOi8vd3d3LmJxcHJpbWUuY29tL2FtcC9idXNpbmVzcy9pY2ljaS1zZWN1cml0aWVzLXNoYXJlcy1oaXQtNTItd2Vlay1oaWdoLWFmdGVyLXEyLXByb2ZpdC1iZWF0cy1lc3RpbWF0ZXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
6,Titan to raise funds: Board approves issuance of Non Convertible debentures up to ₹2500 Crore | Mint,Mint,news.google.com/articles/CBMikgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3RpdGFuLXRvLXJhaXNlLWZ1bmRzLWJvYXJkLWFwcHJvdmVzLWlzc3VhbmNlLW9mLW5vbi1jb252ZXJ0aWJsZS1kZWJlbnR1cmVzLXVwLXRvLXJzLTI1MDAtY3JvcmUtMTE2OTc1MzY5MTU5MjUuaHRtbNIBlgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3RpdGFuLXRvLXJhaXNlLWZ1bmRzLWJvYXJkLWFwcHJvdmVzLWlzc3VhbmNlLW9mLW5vbi1jb252ZXJ0aWJsZS1kZWJlbnR1cmVzLXVwLXRvLXJzLTI1MDAtY3JvcmUvYW1wLTExNjk3NTM2OTE1OTI1Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-17
