,title,source,link,date
0,APL Apollo Tube Ltd Selects Newgen to Transform its Accounts ...,PR Newswire,news.google.com/articles/CBMihwFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2FwbC1hcG9sbG8tdHViZS1sdGQtc2VsZWN0cy1uZXdnZW4tdG8tdHJhbnNmb3JtLWl0cy1hY2NvdW50cy1wYXlhYmxlLXByb2Nlc3MtMzAxOTg3MDI3Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-14
6,"Enterprise Content Management market will grow USD 20.61 billion from 2022 to 2027|Acquia Inc., Adobe Inc., Alfresco Software Ltd. and more among the key companies in the market - Technavio",Yahoo Finance,news.google.com/articles/CBMiV2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9lbnRlcnByaXNlLWNvbnRlbnQtbWFuYWdlbWVudC1tYXJrZXQtZ3Jvdy0wMTE1MDA3OTMuaHRtbNIBX2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2VudGVycHJpc2UtY29udGVudC1tYW5hZ2VtZW50LW1hcmtldC1ncm93LTAxMTUwMDc5My5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-13
40,Newgenが2023年10月にガートナー（R）マジック・クアドラント（TM）の ...,株式会社　上毛新聞社,news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmpvbW8tbmV3cy5jby5qcC9hcnRpY2xlcy8tLzM3MzIwM9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
41,"LendTech Market to Reach $61.9 billion, Globally, by 2031 at 23.2% CAGR: Allied Market Research",EIN News,news.google.com/articles/CBMihAFodHRwczovL3d3dy5laW5uZXdzLmNvbS9wcl9uZXdzLzY2NzYyNzE4NC9sZW5kdGVjaC1tYXJrZXQtdG8tcmVhY2gtNjEtOS1iaWxsaW9uLWdsb2JhbGx5LWJ5LTIwMzEtYXQtMjMtMi1jYWdyLWFsbGllZC1tYXJrZXQtcmVzZWFyY2jSAYgBaHR0cHM6Ly93d3cuZWlubmV3cy5jb20vYW1wL3ByX25ld3MvNjY3NjI3MTg0L2xlbmR0ZWNoLW1hcmtldC10by1yZWFjaC02MS05LWJpbGxpb24tZ2xvYmFsbHktYnktMjAzMS1hdC0yMy0yLWNhZ3ItYWxsaWVkLW1hcmtldC1yZXNlYXJjaA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
44,"[PRNewswire] Newgen, 2023 Gartner(R) Magic Quadrant(TM) 등재",연합뉴스,news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L1JQUjIwMjMxMTEwMDAyOTAwMzUz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
69,WFIS grabbed major headlines in Indonesia after a splendid fintech ...,Siliconindia.com,news.google.com/articles/CBMihwFodHRwczovL3d3dy5zaWxpY29uaW5kaWEuY29tL25ld3MvZ2VuZXJhbC93ZmlzLWdyYWJiZWQtbWFqb3ItaGVhZGxpbmVzLWluLWluZG9uZXNpYS1hZnRlci1hLXNwbGVuZGlkLWZpbnRlY2gtc2hvdy1uaWQtMjI2NDEzLWNpZC0xLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
16,"Customer Communications Management Market Report 2023-2032: Market Size, Growth, Share And Insights | Adobe, C",openPR,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8zMjgxODIyL2N1c3RvbWVyLWNvbW11bmljYXRpb25zLW1hbmFnZW1lbnQtbWFya2V0LXJlcG9ydC0yMDIzLTIwMzLSAV1odHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8zMjgxODIyL2N1c3RvbWVyLWNvbW11bmljYXRpb25zLW1hbmFnZW1lbnQtbWFya2V0LXJlcG9ydC0yMDIzLTIwMzI?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-09
42,Newgen recibió el reconocimiento en octubre de 2023 del ...,Forbes España,news.google.com/articles/CBMieWh0dHBzOi8vZm9yYmVzLmVzL3VsdGltYS1ob3JhLzM2NDU0OS9uZXdnZW4tcmVjaWJpby1lbC1yZWNvbm9jaW1pZW50by1lbi1vY3R1YnJlLWRlLTIwMjMtZGVsLWN1YWRyYW50ZS1tYWdpY28tZGUtZ2FydG5lci_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-09
3,Newgen Recognized in October 2023 Gartner® Magic Quadrant ...,Canada NewsWire,news.google.com/articles/CBMitQFodHRwczovL3d3dy5uZXdzd2lyZS5jYS9uZXdzLXJlbGVhc2VzL25ld2dlbi1yZWNvZ25pemVkLWluLW9jdG9iZXItMjAyMy1nYXJ0bmVyLXItbWFnaWMtcXVhZHJhbnQtdG0tZm9yLWVudGVycHJpc2UtbG93LWNvZGUtYXBwbGljYXRpb24tcGxhdGZvcm1zLWZvdXJ0aC10aW1lLWluLWEtcm93LTg3NDMzMTgyMS5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-08
2,"Newgen Software Technologies Limited (NSE:NEWGEN) Top Key Executive Diwakar Nigam, the company's largest shareholder sees 7.4%reduction in holdings value",Simply Wall St,news.google.com/articles/CBMimQFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2luL3NvZnR3YXJlL25zZS1uZXdnZW4vbmV3Z2VuLXNvZnR3YXJlLXRlY2hub2xvZ2llcy1zaGFyZXMvbmV3cy9uZXdnZW4tc29mdHdhcmUtdGVjaG5vbG9naWVzLWxpbWl0ZWQtbnNlbmV3Z2VuLXRvcC1rZXktZXhlY3XSAZ0BaHR0cHM6Ly9zaW1wbHl3YWxsLnN0L3N0b2Nrcy9pbi9zb2Z0d2FyZS9uc2UtbmV3Z2VuL25ld2dlbi1zb2Z0d2FyZS10ZWNobm9sb2dpZXMtc2hhcmVzL25ld3MvbmV3Z2VuLXNvZnR3YXJlLXRlY2hub2xvZ2llcy1saW1pdGVkLW5zZW5ld2dlbi10b3Ata2V5LWV4ZWN1L2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-04
