,title,source,link,date
0,"Punjab National Bank share price Today Live Updates : Punjab National Bank closed today at ₹79.63, down -2.32% from yesterday's ₹81.52 | Mint",Mint,news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3B1bmphYi1uYXRpb25hbC1iYW5rLXNoYXJlLXByaWNlLWxpdmUtYmxvZy1mb3ItMjgtc2VwLTIwMjMtMTE2OTU4Njg5MTA0NjUuaHRtbNIBfGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3B1bmphYi1uYXRpb25hbC1iYW5rLXNoYXJlLXByaWNlLWxpdmUtYmxvZy1mb3ItMjgtc2VwLTIwMjMvYW1wLTExNjk1ODY4OTEwNDY1Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
10,Punjab National Bank share price Today Live Updates : Punjab National Bank Stocks Plunge Amidst Negative Trading,MintGenie,news.google.com/articles/CBMidmh0dHBzOi8vbWludGdlbmllLmxpdmVtaW50LmNvbS9uZXdzL21hcmtldHMvcHVuamFiLW5hdGlvbmFsLWJhbmstc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yOC1zZXAtMjAyMy0xNTE2OTU4NzM0NzM5MzDSAXpodHRwczovL21pbnRnZW5pZS5saXZlbWludC5jb20vYW1wL25ld3MvbWFya2V0cy9wdW5qYWItbmF0aW9uYWwtYmFuay1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI4LXNlcC0yMDIzLTE1MTY5NTg3MzQ3MzkzMA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
51,"HDFC Vs PNB Vs ICICI: इन तीनों बैंकों में से कौन दे रहा है FD पर सबसे ज्यादा ब्याज, अभी है निवेश का बेस्ट मौका",मनी कंट्रोल,news.google.com/articles/CBMilwFodHRwczovL2hpbmRpLm1vbmV5Y29udHJvbC5jb20vbmV3cy95b3VyLW1vbmV5L2JhbmstZmQtcmF0ZXMtb2YtaGRmYy1wbmItaWNpY2ktYmFuay1jaGVjay1sYXRlc3QtZmQtcmF0ZXMtYmVmb3JlLXJiaS1tcGMtbWVldGluZy1uZXh0LXdlZWstMTUxMzE3MS5odG1s0gGbAWh0dHBzOi8vaGluZGkubW9uZXljb250cm9sLmNvbS9uZXdzL3lvdXItbW9uZXkvYmFuay1mZC1yYXRlcy1vZi1oZGZjLXBuYi1pY2ljaS1iYW5rLWNoZWNrLWxhdGVzdC1mZC1yYXRlcy1iZWZvcmUtcmJpLW1wYy1tZWV0aW5nLW5leHQtd2Vlay0xNTEzMTcxLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
49,Current Affairs 28 September 2023,AffairsCloud.com,news.google.com/articles/CBMiO2h0dHBzOi8vYWZmYWlyc2Nsb3VkLmNvbS9jdXJyZW50LWFmZmFpcnMtMjgtc2VwdGVtYmVyLTIwMjMv0gE_aHR0cHM6Ly9hZmZhaXJzY2xvdWQuY29tL2N1cnJlbnQtYWZmYWlycy0yOC1zZXB0ZW1iZXItMjAyMy8_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
46,Fintech firm CRED launches vehicle management platform 'CRED Garage',Business Standard,news.google.com/articles/CBMihwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vY29tcGFuaWVzL25ld3MvZmludGVjaC1maXJtLWNyZWQtbGF1bmNoZXMtdmVoaWNsZS1tYW5hZ2VtZW50LXBsYXRmb3JtLWNyZWQtZ2FyYWdlLTEyMzA5MjgwMTAxN18xLmh0bWzSAYsBaHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9jb21wYW5pZXMvbmV3cy9maW50ZWNoLWZpcm0tY3JlZC1sYXVuY2hlcy12ZWhpY2xlLW1hbmFnZW1lbnQtcGxhdGZvcm0tY3JlZC1nYXJhZ2UtMTIzMDkyODAxMDE3XzEuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
40,4 people detained following attack on bank manager in Assam,The Assam Tribune,news.google.com/articles/CBMiYmh0dHBzOi8vYXNzYW10cmlidW5lLmNvbS9hc3NhbS80LXBlb3BsZS1kZXRhaW5lZC1mb2xsb3dpbmctYXR0YWNrLW9uLWJhbmstbWFuYWdlci1pbi1hc3NhbS0xNDk3MDM00gFmaHR0cHM6Ly9hc3NhbXRyaWJ1bmUuY29tL2FtcC9hc3NhbS80LXBlb3BsZS1kZXRhaW5lZC1mb2xsb3dpbmctYXR0YWNrLW9uLWJhbmstbWFuYWdlci1pbi1hc3NhbS0xNDk3MDM0?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
35,Manipur: Miscreants allegedly attack Kuki man in Assam,India Today NE,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmluZGlhdG9kYXluZS5pbi9hc3NhbS9zdG9yeS9tYW5pcHVyLW1pc2NyZWFudHMtYWxsZWdlZGx5LWF0dGFjay1rdWtpLW1hbi1pbi1hc3NhbS02ODU4NDgtMjAyMy0wOS0yONIBc2h0dHBzOi8vd3d3LmluZGlhdG9kYXluZS5pbi9hbXAvYXNzYW0vc3RvcnkvbWFuaXB1ci1taXNjcmVhbnRzLWFsbGVnZWRseS1hdHRhY2sta3VraS1tYW4taW4tYXNzYW0tNjg1ODQ4LTIwMjMtMDktMjg?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
33,"AIBEA calls two-day nation-wide strike on Jan 19 & 20, 2024 ...",United News of India,news.google.com/articles/CBMidmh0dHA6Ly93d3cudW5paW5kaWEuY29tL2FpYmVhLWNhbGxzLXR3by1kYXktbmF0aW9uLXdpZGUtc3RyaWtlLW9uLWphbi0xOS0yMC0yMDI0LXZlbmthdGFjaGFsYW0vc291dGgvbmV3cy8zMDU5MjIyLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
16,BSE : Listing of new debt securities of Punjab National Bank,Marketscreener.com,news.google.com/articles/CBMiiQFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svQlNFLUxJTUlURUQtMzM5MzAwNjIvbmV3cy9CU0UtTGlzdGluZy1vZi1uZXctZGVidC1zZWN1cml0aWVzLW9mLVB1bmphYi1OYXRpb25hbC1CYW5rLTQ0OTM4MTU0L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
31,"Thursday Market Opening: Manappuram Finance, Omaxe Get Bullish For Good Returns, PNB, Tata Investment Safe Bets",BW Businessworld,news.google.com/articles/CBMiowFodHRwczovL3d3dy5idXNpbmVzc3dvcmxkLmluL2FydGljbGUvVGh1cnNkYXktTWFya2V0LU9wZW5pbmctTWFuYXBwdXJhbS1GaW5hbmNlLU9tYXhlLUdldC1CdWxsaXNoLUZvci1Hb29kLVJldHVybnMtUE5CLVRhdGEtSW52ZXN0bWVudC1TYWZlLUJldHMtLzI4LTA5LTIwMjMtNDkyOTkx0gGjAWh0dHBzOi8vYnVzaW5lc3N3b3JsZC5pbi9hbXAvYXJ0aWNsZS9UaHVyc2RheS1NYXJrZXQtT3BlbmluZy1NYW5hcHB1cmFtLUZpbmFuY2UtT21heGUtR2V0LUJ1bGxpc2gtRm9yLUdvb2QtUmV0dXJucy1QTkItVGF0YS1JbnZlc3RtZW50LVNhZmUtQmV0cy0vMjgtMDktMjAyMy00OTI5OTE?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
