,title,source,link,date
7,"Diwali 2023: RIL, HDFC Bank, L&T among top Nifty stock picks for Samvat 2080, suggests BT Markets Online survey",Business Today,news.google.com/articles/CBMitQFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9kaXdhbGktMjAyMy1yaWwtaGRmYy1iYW5rLWx0LWFtb25nLXRvcC1uaWZ0eS1zdG9jay1waWNrcy1mb3Itc2FtdmF0LTIwODAtc3VnZ2VzdHMtYnQtbWFya2V0cy1vbmxpbmUtc3VydmV5LTQwNTQzNS0yMDIzLTExLTEx0gG5AWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9kaXdhbGktMjAyMy1yaWwtaGRmYy1iYW5rLWx0LWFtb25nLXRvcC1uaWZ0eS1zdG9jay1waWNrcy1mb3Itc2FtdmF0LTIwODAtc3VnZ2VzdHMtYnQtbWFya2V0cy1vbmxpbmUtc3VydmV5LTQwNTQzNS0yMDIzLTExLTEx?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-11
93,L'entreprise indienne Tata Chemicals affiche une baisse de 32 % de ...,Zonebourse.com,news.google.com/articles/CBMiugFodHRwczovL3d3dy56b25lYm91cnNlLmNvbS9jb3Vycy9hY3Rpb24vVEFUQS1DSEVNSUNBTFMtTElNSVRFRC02NDkzMjYwL2FjdHVhbGl0ZS9MLWVudHJlcHJpc2UtaW5kaWVubmUtVGF0YS1DaGVtaWNhbHMtYWZmaWNoZS11bmUtYmFpc3NlLWRlLTMyLWRlLXNvbi1iZW5lZmljZS1hdS1kZXV4aWVtZS10cmltZS00NTI5ODEzMS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
76,"United Kingdom Crop Protection Chemicals Market Size, Share, Report, Forecast 2024-2032",openPR,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8zMjgzOTY1L3VuaXRlZC1raW5nZG9tLWNyb3AtcHJvdGVjdGlvbi1jaGVtaWNhbHMtbWFya2V0LXNpemUtc2hhcmXSAV1odHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8zMjgzOTY1L3VuaXRlZC1raW5nZG9tLWNyb3AtcHJvdGVjdGlvbi1jaGVtaWNhbHMtbWFya2V0LXNpemUtc2hhcmU?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
34,UPS ropes in Grgory Goba-Bl as MD for India operations,Republic World,news.google.com/articles/CBMieWh0dHBzOi8vd3d3LnJlcHVibGljd29ybGQuY29tL2J1c2luZXNzL2ludGVybmF0aW9uYWwtYnVzaW5lc3MvdXBzLXJvcGVzLWluLWdyZ29yeS1nb2JhLWJsLWFzLW1kLWZvci1pbmRpYS1vcGVyYXRpb25zLm5ld3PSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
9,India's Tata Chemicals posts 32% drop in Q2 profit on weak demand ...,Reuters India,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL2luZGlhcy10YXRhLWNoZW1pY2Fscy1wb3N0cy0zMi1kcm9wLXEyLXByb2ZpdC13ZWFrLWRlbWFuZC1wcmljZXMtMjAyMy0xMS0xMC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-10
55,"Share Market Highlights 09 November 2023: Sensex sheds 143 pts; Nifty ends below 19,400; auto stocks shine",BusinessLine,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTA5LW5vdmVtYmVyLTIwMjMvYXJ0aWNsZTY3NTEzNDc3LmVjZdIBbmh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTA5LW5vdmVtYmVyLTIwMjMvYXJ0aWNsZTY3NTEzNDc3LmVjZS9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-09
50,Khandu flags off mountain bike race from Tawang,PSU Watch,news.google.com/articles/CBMiNmh0dHBzOi8vcHN1d2F0Y2guY29tL25ld3N1cGRhdGVzL3ByZXNzLXJlbGVhc2UvYXItcmFjZdIBQGh0dHBzOi8vcHN1d2F0Y2guY29tL2FtcC9zdG9yeS9uZXdzdXBkYXRlcy9wcmVzcy1yZWxlYXNlL2FyLXJhY2U?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-09
26,India’s Bayer Cropscience post jump in Q2 profit as rainfall recovery aids demand (Nov. 3),ThePrint,news.google.com/articles/CBMieWh0dHBzOi8vdGhlcHJpbnQuaW4vaW5kaWEvaW5kaWFzLWJheWVyLWNyb3BzY2llbmNlLXBvc3QtanVtcC1pbi1xMi1wcm9maXQtYXMtcmFpbmZhbGwtcmVjb3ZlcnktYWlkcy1kZW1hbmQtbm92LTMvMTgzNzAwMi_SAX1odHRwczovL3RoZXByaW50LmluL2luZGlhL2luZGlhcy1iYXllci1jcm9wc2NpZW5jZS1wb3N0LWp1bXAtaW4tcTItcHJvZml0LWFzLXJhaW5mYWxsLXJlY292ZXJ5LWFpZHMtZGVtYW5kLW5vdi0zLzE4MzcwMDIvP2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-08
53,"Global Biofertilizers Market 2023 Future Outlook, Global Trends, Recent Development And Forecast To 2032 | Maj",openPR,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8zMjc5OTg0L2dsb2JhbC1iaW9mZXJ0aWxpemVycy1tYXJrZXQtMjAyMy1mdXR1cmUtb3V0bG9vay1nbG9iYWzSAVpodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8zMjc5OTg0L2dsb2JhbC1iaW9mZXJ0aWxpemVycy1tYXJrZXQtMjAyMy1mdXR1cmUtb3V0bG9vay1nbG9iYWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-08
31,Rodenticides Industry Recent Developments – Bayer AG (Germany ...,Argyle Report,news.google.com/articles/CBMijAFodHRwczovL3d3dy5hcmd5bGVyZXBvcnQuY29tL2dvbGYvcm9kZW50aWNpZGVzLWluZHVzdHJ5LXJlY2VudC1kZXZlbG9wbWVudHMtYmF5ZXItYWctZ2VybWFueS1zeW5nZW50YS1hZy1zd2l0emVybGFuZC1iYXNmLXNlLWdlcm1hbnkvMzMzNjcwL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-08
